Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	4	0.544701	1.53	0.00	2.80	0.00	5.14	0.00	0.00	0.00	1.53	-0.00
1	1	1	4	0.561198	1.53	0.00	0.00	0.00	-169.87	0.00	0.00	0.00	1.53	-0.00
1	1	1	4	0.577434	1.02	0.00	-31.34	0.00	-1930.07	0.00	0.00	0.00	1.02	-0.00
1	1	1	4	0.594225	1.02	0.00	0.00	0.00	1866.35	0.00	0.00	0.00	1.02	-0.00
1	1	1	4	0.610115	1.27	0.00	16.01	0.00	1007.51	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.627332	1.27	0.00	0.00	0.00	-929.88	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.643536	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.661614	1.02	0.00	-14.07	0.00	-778.39	0.00	0.00	0.00	1.02	-0.00
1	1	1	4	0.677503	1.27	0.00	16.01	0.00	1893.37	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.695256	1.53	0.00	14.33	0.00	-94.69	0.00	0.00	0.00	1.53	-0.00
1	1	1	4	0.710887	1.27	0.00	-16.28	0.00	-1958.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.727223	1.27	0.00	0.00	0.00	996.31	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.743660	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.761912	1.02	0.00	-13.94	0.00	-763.66	0.00	0.00	0.00	1.02	-0.00
1	1	1	4	0.777365	1.27	0.00	16.46	0.00	1967.28	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.793879	1.27	0.00	0.00	0.00	-996.88	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.810441	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.827211	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.843859	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.861912	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.877277	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.893839	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.910560	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.926957	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.945352	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.961696	2.04	0.00	46.70	0.00	2856.92	0.00	0.00	0.00	2.04	-0.00
1	1	1	4	0.978324	1.27	0.00	-45.90	0.00	-5568.59	0.00	0.00	0.00	1.27	-0.00
1	1	1	4	0.995341	1.53	0.00	14.95	0.00	3575.90	0.00	0.00	0.00	1.53	-0.00
1	1	1	4	1.010694	3.05	0.00	99.42	0.00	5502.12	0.00	0.00	0.00	3.05	-0.00
1	1	1	4	1.027233	6.11	0.00	184.58	0.00	5149.17	0.00	0.00	0.00	6.11	-0.00
1	1	1	4	1.043914	8.40	0.00	137.26	0.00	-2837.15	0.00	0.00	0.00	8.40	-0.00
1	1	1	4	1.060594	14.96	-1.27	393.33	-75.99	15352.19	-4555.53	0.00	-1.27	14.96	-0.00
1	1	1	4	1.076761	22.92	-4.73	492.68	-214.40	6145.06	-8561.73	0.00	-4.73	22.92	-0.00
1	1	1	4	1.094206	44.65	-12.27	1245.38	-431.75	43147.11	-12459.00	0.00	-12.27	44.65	-0.00
1	1	1	4	1.110266	69.81	-15.40	1566.65	-195.31	20003.71	14721.80	0.00	-15.40	69.81	-0.00
1	1	1	4	1.126686	89.74	-17.00	1213.59	-97.12	-21502.39	5980.38	0.00	-17.00	89.74	-0.00
1	1	1	4	1.143867	110.84	-17.34	1228.63	-20.12	875.39	4481.87	0.00	-17.34	110.84	-0.00
1	1	1	4	1.159941	128.83	-17.40	1119.02	-3.30	-6818.53	1045.96	0.00	-17.40	128.83	-0.00
1	1	1	4	1.178750	128.73	-18.14	-5.44	-39.44	-59782.58	-1921.38	0.00	-18.14	128.73	-0.00
1	1	1	4	1.195336	128.11	-22.06	-37.04	-236.63	-1904.90	-11888.54	0.00	-22.06	128.11	-0.00
1	1	1	4	1.211304	127.09	-27.36	-64.22	-331.61	-1702.14	-5948.04	0.00	-27.36	127.09	-0.00
1	1	1	4	1.227474	125.99	-32.05	-68.14	-290.28	-242.82	2555.85	-0.00	-32.05	125.99	-0.00
1	1	1	4	1.243790	124.80	-36.39	-72.58	-265.94	-271.83	1491.50	-0.00	-36.39	124.80	-0.00
1	1	1	4	1.260160	124.87	-36.17	4.00	13.76	4677.77	17086.04	-0.00	-36.17	124.87	-0.00
1	0	1	4	1.281622	125.13	-35.26	97.63	-27.51	76.18	-21.47	-0.00	-35.26	125.13	-0.00
1	0	1	4	1.299935	125.13	-35.26	0.00	0.00	-5331.11	1502.31	-0.00	-35.26	125.13	-0.00
1	0	1	4	1.313589	125.38	-34.35	18.52	66.66	1356.71	4882.31	-0.00	-34.35	125.38	-0.00
1	0	1	4	1.327133	125.38	-34.35	0.00	0.00	-1367.68	-4921.79	-0.00	-34.35	125.38	-0.00
1	0	1	4	1.344823	125.38	-34.35	0.00	0.00	0.00	0.00	-0.00	-34.35	125.38	-0.00
1	0	1	4	1.360738	125.38	-34.35	0.00	0.00	0.00	0.00	-0.00	-34.35	125.38	-0.00
1	0	1	4	1.376721	125.50	-33.89	7.78	28.60	486.80	1789.60	-0.00	-33.89	125.50	-0.00
1	0	1	4	1.394590	125.63	-33.43	6.88	25.66	-50.44	-164.78	-0.00	-33.43	125.63	-0.00
1	0	1	4	1.410839	125.81	-32.74	11.18	42.48	264.75	1035.23	-0.00	-32.74	125.81	-0.00
1	0	1	4	1.427532	126.05	-31.82	14.20	55.41	181.14	774.62	-0.00	-31.82	126.05	-0.00
1	0	1	4	1.443423	126.45	-30.19	25.21	102.64	692.36	2972.12	-0.00	-30.19	126.45	-0.00
1	0	1	4	1.460518	126.93	-28.07	28.50	123.97	192.87	1247.83	0.00	-28.07	126.93	-0.00
1	0	1	4	1.477294	127.49	-25.45	32.88	156.31	260.78	1927.43	0.00	-25.45	127.49	-0.00
1	0	1	4	1.494305	125.96	-21.08	-89.70	256.91	-7206.16	5914.24	0.00	-21.08	125.96	-0.00
1	0	1	4	1.510228	122.78	-18.37	-199.50	170.18	-6895.13	-5447.09	0.00	-18.37	122.78	-0.00
1	0	1	4	1.527325	121.04	-16.14	-101.79	130.32	5714.95	-2331.31	0.00	-16.14	121.04	-0.00
1	0	1	4	1.545064	118.57	-15.39	-139.09	42.25	-2103.16	-4964.82	0.00	-15.39	118.57	-0.00
1	0	1	4	1.561064	114.66	-13.89	-244.64	93.68	-6596.75	3214.48	0.00	-13.89	114.66	-0.00
1	0	1	4	1.578378	111.48	-10.13	-183.85	216.96	3511.38	7120.37	0.00	-10.13	111.48	-0.00
1	0	1	4	1.594631	108.07	-8.12	-209.58	124.05	-1583.31	-5716.00	0.00	-8.12	108.07	-0.00
1	0	1	4	1.610886	101.31	-6.35	-416.07	108.92	-12703.25	-931.33	0.00	-6.35	101.31	-0.00
1	0	1	4	1.628425	95.34	-3.31	-340.06	173.46	4333.91	3680.14	0.00	-3.31	95.34	-0.00
1	0	1	4	1.644103	85.20	-2.03	-646.94	81.04	-19573.68	-5894.75	0.00	-2.03	85.20	-0.00
1	0	1	4	1.660631	78.09	-1.27	-430.14	46.15	13117.40	-2110.93	0.00	-1.27	78.09	-0.00
1	0	1	4	1.677776	65.63	-1.02	-726.95	14.84	-17312.56	-1826.57	0.00	-1.02	65.63	-0.00
1	0	1	4	1.694280	52.15	0.00	-816.47	61.65	-5423.69	2836.37	0.00	0.00	52.15	-0.00
1	0	1	4	1.709977	36.89	0.00	-972.48	0.00	-9939.46	-3927.66	0.00	0.00	36.89	-0.00
1	0	1	4	1.727467	20.86	0.00	-916.35	0.00	3209.43	0.00	0.00	0.00	20.86	-0.00
1	0	1	4	1.745085	10.18	0.00	-606.49	0.00	17587.69	0.00	0.00	0.00	10.18	-0.00
1	0	1	4	1.761524	0.00	0.00	-619.01	0.00	-761.58	0.00	0.00	0.00	0.00	-0.00
1	0	1	4	1.778405	0.00	0.00	0.00	0.00	36669.95	0.00	0.00	0.00	0.00	-0.00
1	0	1	4	1.794534	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
