Event Number	Event Type	Onset
1	cue	0.0306362220
2	trial	0.5593679689
3	return	1.2980504850
4	trial	1.9478495209
5	return	2.6802124269
6	trial	3.3974658420
7	return	4.8808037849
8	trial	5.5985704219
9	return	6.3153272129
10	trial	7.0316709770
11	return	7.7479404580
12	trial	8.4650230829
13	return	9.1815729239
14	trial	9.8984268820
15	return	10.6155555659
16	trial	11.3317938850
17	return	12.4654828539
18	trial	13.1826910040
19	return	14.0326648479
20	trial	14.7490939599
21	return	15.4663325689
22	trial	16.1834600520
23	return	16.9494890140
24	trial	17.5836898719
25	return	18.3667599020
26	trial	19.0839003839
27	return	19.8005201949
28	trial	20.5180956300
29	return	21.2330374550
30	trial	21.9509881500
31	return	22.6677648779
32	trial	23.3837201230
33	return	24.5508680380
34	trial	25.2680252560
35	return	25.9847707050
36	trial	26.7012655049
37	return	27.4687519500
38	trial	28.1850522700
39	return	28.9012962320
40	trial	29.6182628750
41	return	30.5511221190
42	trial	31.2684823610
43	return	31.9855028470
44	trial	32.7016619020
45	return	33.4184535439
46	trial	34.1362212009
47	return	35.1029297239
48	trial	35.8188222660
49	return	36.5357522409
50	trial	37.2524469990
51	return	38.0696317620
52	trial	38.7859765040
53	return	39.9365605940
54	trial	40.6535778709
55	return	41.6038011019
56	trial	42.3194480820
57	return	43.1043724209
58	trial	43.8199434540
59	return	44.5377676360
60	trial	45.2544469909
61	return	46.3704146879
62	trial	47.0874391450
63	return	47.8052017490
64	trial	48.5205559010
65	return	49.2376289769
66	trial	49.9550126380
67	return	51.0883694979
68	trial	51.8052595430
69	return	52.5221228020
70	trial	53.2372732339
71	return	54.2726497559
72	trial	54.9883035689
73	return	56.0387753630
74	trial	56.7554424990
75	return	57.4728231620
76	trial	58.1900223660
77	return	59.6396514879
78	trial	60.3565781970
79	return	61.3728780140
80	trial	62.0899445020
81	return	62.8899811030
82	rest	63.6065397180
83	cue	75.6253149239
84	trial	76.1421689510
85	return	77.3756676359
86	trial	78.0929212479
87	return	78.8091217889
88	trial	79.5251603209
89	return	80.2428629879
90	trial	80.9597655210
91	return	81.6763710349
92	trial	82.3925599169
93	return	83.1097989660
94	trial	83.8270109390
95	return	84.5600328950
96	trial	85.2763068309
97	return	85.9935245879
98	trial	86.7104130839
99	return	87.4615893420
100	trial	88.1779733599
101	return	88.8944259119
102	trial	89.6104047820
103	return	90.5944396090
104	trial	91.3108221580
105	return	92.2116712730
106	trial	92.9278477440
107	return	93.9281337049
108	trial	94.6451201059
109	return	95.6122455420
110	trial	96.3289034669
111	return	97.6126245559
112	trial	98.3282836239
113	return	99.1959610069
114	trial	99.9115769799
115	return	100.6296592150
116	trial	101.3460395680
117	return	102.0790072989
118	trial	102.7964343190
119	return	103.5789024830
120	trial	104.2964993529
121	return	105.1464893890
122	trial	105.8635960279
123	return	106.5799377810
124	trial	107.2965853569
125	return	108.0134268029
126	trial	108.7311041920
127	return	109.5636958650
128	trial	110.2804072050
129	return	111.0143173990
130	trial	111.7303830560
131	return	112.4482463000
132	trial	113.1642559170
133	return	113.9479323899
134	trial	114.6648865129
135	return	115.5149005259
136	trial	116.2315342489
137	return	116.9490001670
138	trial	117.6648715440
139	return	118.3813646670
140	trial	119.0981692349
141	return	119.8155984010
142	trial	120.5327152950
143	return	121.3155831769
144	trial	122.0316808299
145	return	122.7500146020
146	trial	123.4660136519
147	return	124.1832014309
148	trial	124.8998102009
149	return	125.6163225890
150	trial	126.2498495230
151	return	126.9673856290
152	trial	127.7006566370
153	return	128.4163503969
154	trial	129.1338588690
155	return	129.8505102340
156	trial	130.5672550210
157	return	131.6339778500
158	trial	132.3510341110
159	return	133.0667940020
160	trial	133.7847694820
161	return	134.5018999300
162	trial	135.2174441890
163	return	136.3008873260
164	trial	137.0183904349
165	return	137.9187082830
166	trial	138.6348162850
167	return	139.6021573760
168	trial	140.3184820709
169	return	141.2525017329
170	trial	141.9681937409
171	return	142.7362150629
172	trial	143.4518660239
173	return	144.1697525169
174	trial	144.8853952959
175	return	146.0859619159
176	trial	146.8023492970
177	return	147.8370168030
178	trial	148.5538034210
179	return	149.4534487260
180	trial	150.1700638169
181	return	151.0034943379
182	trial	151.7209110319
183	return	152.4374130330
184	trial	153.1534013529
185	return	153.8874924890
186	trial	154.6041869159
187	return	155.3204774240
188	trial	156.0372943949
189	return	156.7713581220
190	trial	157.4876997550
191	return	158.2045790639
192	trial	158.9220547080
193	return	159.6380739829
194	trial	160.3554230459
195	return	161.0718492760
196	trial	161.7889000040
197	return	162.5216272849
198	trial	163.2391759090
199	return	163.9556119730
200	trial	164.6723196600
201	return	165.3894850779
202	trial	166.1061011479
203	return	166.8397087250
204	trial	167.5559133219
205	return	168.3222547160
206	trial	169.0401217180
207	return	169.7567163350
208	trial	170.4726766810
209	return	171.1894328790
210	trial	171.9072683250
211	return	172.7405006089
212	trial	173.4574770409
213	return	174.2897506360
214	trial	175.0073470550
215	return	175.7243275420
216	trial	176.4415941850
217	return	177.1570481929
218	trial	177.8747445249
219	return	178.5909617379
220	trial	179.3078008420
221	return	180.4078084499
222	trial	181.1245136680
