Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.5594	4	0.5853	-0.155204	1.222502e+01	1.404823e+03	1.734282e+01	100.0000	0	1
1	0	1.2981	4	0.4479	0.000000	1.984616e+01	4.858222e+03	3.526074e+01	51.1151	1	0
2	1	1.9478	1	0.5841	-0.082933	4.583895e+00	4.613732e+02	8.366449e+00	100.0000	1	1
2	0	2.6802	1	0.4021	0.000000	8.131119e+00	1.695774e+03	8.874760e+00	52.5446	1	0
3	1	3.3975	2	1.3349	0.000000	2.444708e+00	2.534224e+02	1.061675e+01	92.2887	1	1
3	0	4.8808	2	0.3853	0.000000	5.283369e-01	1.151899e+02	1.526147e+00	68.1513	1	0
4	1	5.5986	3	0.4011	-0.073041	1.022083e+00	1.063244e+02	7.611745e+00	100.0000	1	1
4	0	6.3153	3	0.4512	0.000000	1.253385e+01	3.215137e+03	2.655238e+01	66.3988	1	0
5	1	7.0317	4	0.5513	0.000000	2.703141e-01	2.654474e+01	1.776724e+00	26.6225	1	1
5	0	7.7479	4	0.3851	0.000000	5.186069e+00	1.060562e+03	6.853520e+00	50.0685	1	0
6	1	8.4650	1	0.5680	0.000000	3.297742e-15	3.204811e-13	5.950681e-15	100.0000	1	1
6	0	9.1816	1	0.4019	0.000000	2.690371e+00	5.679770e+02	4.066252e+00	66.7845	1	0
7	1	9.8984	3	0.5008	-0.077166	3.087177e+00	3.038235e+02	7.609382e+00	100.0000	1	1
7	0	10.6156	3	0.4845	0.000000	4.714945e+00	1.054030e+03	7.616123e+00	53.5062	1	0
8	1	11.3318	2	0.9520	0.021387	2.327942e-01	2.226300e+01	2.288940e+00	98.1313	1	1
8	0	12.4655	2	0.4190	0.000000	8.094791e+00	1.538203e+03	1.704520e+01	84.8255	1	0
9	1	13.1827	3	0.7010	0.000000	7.657590e-15	1.014968e-12	1.799224e-14	100.0000	1	1
9	0	14.0327	3	0.3512	0.000000	2.728356e+00	5.308460e+02	6.590263e+00	65.3913	1	0
10	1	14.7491	2	0.5192	0.000000	1.055149e+00	1.054943e+02	5.851272e+00	0.0000	1	1
10	0	15.4663	2	0.3343	0.000000	6.102754e-02	1.217420e+01	1.015201e+00	100.0000	1	0
11	1	16.1835	4	0.6174	-0.132552	9.931820e+00	9.391957e+02	2.160036e+01	1.0749	0	1
11	0	16.9495	4	0.4024	0.000000	1.393103e+01	3.077539e+03	1.637898e+01	53.4134	1	0
12	1	17.5837	1	0.6172	-0.082044	5.372941e+00	5.135853e+02	8.360058e+00	95.1457	1	1
12	0	18.3668	1	0.3188	0.000000	5.183762e+00	9.804711e+02	7.608666e+00	51.2225	1	0
13	1	19.0839	3	0.4509	-0.016626	6.165119e-01	6.727633e+01	1.780576e+00	100.0000	1	1
13	0	19.8005	3	0.3687	0.000000	3.609039e+00	8.139152e+02	6.349696e+00	57.7054	1	0
14	1	20.5181	4	0.5331	0.000000	1.383097e-14	1.403938e-12	2.486201e-14	100.0000	1	1
14	0	21.2330	4	0.2528	0.000000	4.879599e+00	1.078989e+03	6.247332e+00	90.0490	1	0
15	1	21.9510	2	0.4677	0.096784	1.086075e+01	1.133032e+03	1.477128e+01	78.4750	1	1
15	0	22.6678	2	0.3347	0.000000	1.077459e+00	2.062595e+02	7.760695e+00	95.3812	1	0
16	1	23.3837	1	1.0023	0.052036	1.118020e+01	1.261083e+03	2.361094e+01	75.2382	1	1
16	0	24.5509	1	0.3520	0.000000	2.113718e+00	4.377543e+02	4.826303e+00	61.9768	1	0
17	1	25.2680	3	0.4850	0.000000	1.236906e-01	1.189463e+01	1.017613e+00	0.0000	1	1
17	0	25.9848	3	0.4517	0.000000	1.734531e-14	3.852289e-12	2.196456e-14	53.8373	1	0
18	1	26.7013	1	0.6027	0.000000	3.261382e-15	3.252447e-13	6.106458e-15	100.0000	1	1
18	0	27.4688	1	0.3841	0.000000	5.080336e-15	1.074029e-12	6.713988e-15	51.8652	1	0
19	1	28.1851	4	0.5177	-0.070748	8.667780e+00	8.398715e+02	1.163013e+01	31.3265	1	1
19	0	28.9013	4	0.3512	0.000000	4.453082e+00	1.091282e+03	5.337960e+00	53.0527	1	0
20	1	29.6183	2	0.7692	0.000000	1.290399e-14	1.257319e-12	2.614337e-14	100.0000	1	1
20	0	30.5511	2	0.3685	0.000000	2.343139e-14	5.394722e-12	2.938353e-14	53.8122	1	0
21	1	31.2685	3	0.4848	0.000000	1.017822e-14	9.839612e-13	2.544031e-01	0.0000	1	1
21	0	31.9855	3	0.3021	0.000000	1.549954e-14	3.126902e-12	1.986157e-14	53.5939	1	0
22	1	32.7017	1	0.5026	0.000000	3.250977e-15	3.192447e-13	6.012992e-15	100.0000	1	1
22	0	33.4185	1	0.3355	0.000000	5.125269e-15	9.870405e-13	6.464745e-15	55.0859	1	0
23	1	34.1362	4	0.8017	0.000000	9.739746e+00	9.700543e+02	1.553910e+01	92.0103	1	1
23	0	35.1029	4	0.3510	0.000000	6.311973e+00	1.271551e+03	1.187565e+01	51.3971	1	0
24	1	35.8188	2	0.5190	0.000000	1.243618e-14	1.293995e-12	2.601875e-14	100.0000	1	1
24	0	36.5358	2	0.2358	0.000000	2.111524e-14	4.335029e-12	2.776345e-14	53.9033	1	0
25	1	37.2524	1	0.6529	-0.117566	9.886620e+00	9.516714e+02	1.465622e+01	68.9036	1	1
25	0	38.0696	1	0.3857	0.000000	3.504636e+00	7.523996e+02	4.067902e+00	53.5283	1	0
26	1	38.7860	2	1.0017	0.000000	1.281511e+01	1.260976e+03	4.605718e+01	7.4231	1	1
26	0	39.9366	2	0.3349	0.000000	2.102408e-14	4.118415e-12	2.707803e-14	53.6364	1	0
27	1	40.6536	4	0.8012	0.000000	1.813557e+00	1.891636e+02	2.747554e+01	0.0000	1	1
27	0	41.6038	4	0.3015	0.000000	2.008811e-14	4.226366e-12	2.679364e-14	51.9952	1	0
28	1	42.3194	3	0.6190	-0.018323	1.354381e-01	1.660552e+01	1.780523e+00	100.0000	1	1
28	0	43.1044	3	0.2837	0.000000	3.628423e+00	7.796571e+02	6.578715e+00	78.8832	1	0
29	1	43.8199	1	0.4689	0.000000	3.819126e-15	4.090426e-13	6.558211e-15	100.0000	1	1
29	0	44.5378	1	0.3843	0.000000	6.308411e-15	1.524635e-12	7.975782e-15	53.8947	1	0
30	1	45.2544	2	0.9671	0.000000	2.234651e+01	2.200104e+03	6.348807e+01	18.8495	1	1
30	0	46.3704	2	0.3025	0.000000	2.314372e-14	5.198958e-12	2.913429e-14	54.2469	1	0
31	1	47.0874	4	0.5191	0.000000	1.697078e-14	2.007600e-12	2.897452e-14	100.0000	1	1
31	0	47.8052	4	0.3012	0.000000	3.540629e-01	6.348486e+01	2.034668e+00	59.2926	1	0
32	1	48.5206	3	0.5529	0.000000	9.968813e-15	9.941502e-13	1.831937e-14	100.0000	1	1
32	0	49.2376	3	0.4189	0.000000	2.286868e-02	5.056103e+00	7.624890e-01	100.0000	1	0
