Event Number	Event Type	Onset
1	cue	0.0155112670
2	trial	0.7761305900
3	return	1.7246714840
4	trial	2.5269722400
5	return	3.4259354990
6	trial	4.1424707130
7	return	5.2762354960
8	trial	5.9929769570
9	return	6.8099689790
10	trial	7.5267269210
11	return	8.2759012050
12	trial	8.9928855760
13	return	9.9099036680
14	trial	10.7936088300
15	return	11.6607453449
16	trial	12.2935031190
17	return	13.4275155010
18	trial	14.1443907070
19	return	14.9438949750
20	trial	15.6607024680
21	return	16.3776418819
22	trial	17.0948954300
23	return	18.0609006389
24	trial	18.7782723340
25	return	20.0286096809
26	trial	20.7450444410
27	return	21.5118966619
28	trial	22.2283575940
29	return	23.1619135630
30	trial	23.8789127329
31	return	25.0123677420
32	trial	25.7294884770
33	return	26.6627707320
34	rest	27.4135903630
35	cue	32.4434276950
36	trial	32.9964892110
37	return	33.9472340550
38	trial	34.5808803290
39	return	35.4306528370
40	trial	36.3309892929
41	return	37.2475707630
42	trial	37.9639565099
43	return	38.9313274710
44	trial	39.8151100629
45	return	40.7147963860
46	trial	41.5145926609
47	return	42.4488811800
48	trial	43.3652222790
49	return	44.3313998010
50	trial	45.0656838380
51	return	45.8486872350
52	trial	46.4826168159
53	return	47.3490114840
54	trial	47.9822070560
55	return	49.3155776950
56	trial	50.0334769470
57	return	50.8325544950
58	trial	51.5835097460
59	return	52.2994786680
60	trial	52.9664989039
61	return	53.8504993930
62	trial	54.6840413570
63	return	55.6172874999
64	trial	56.3844476030
65	return	57.2169458059
66	trial	57.9003286000
67	return	58.8513985560
68	rest	59.4839606880
69	cue	64.5137941950
70	trial	65.0317007920
71	return	66.0692323000
72	trial	66.7858886060
73	return	67.5022436810
74	trial	68.2356356700
75	return	69.5186473950
76	trial	70.2353774190
77	return	70.9528017340
78	trial	71.6699204070
79	return	72.7863164360
80	trial	73.5033461620
81	return	74.2203302170
82	trial	74.9372831039
83	return	75.9372176140
84	trial	76.6539069680
85	return	77.7033502030
86	trial	78.4201544990
87	return	79.3872523230
88	trial	80.1041055570
89	return	80.8379204770
90	trial	81.5539860650
91	return	82.2714259630
92	trial	82.9873340180
93	return	84.1713837060
94	trial	84.8887158390
95	return	85.6054778349
96	trial	86.3225782110
97	return	87.4565022250
98	trial	88.1720278480
99	return	88.9057583670
100	trial	89.6227145990
101	return	90.3391107069
102	rest	91.0558606620
103	cue	96.0864662940
104	trial	96.6020638880
105	return	97.3896980390
106	trial	98.2407541600
107	return	99.1065600290
108	trial	99.8071732920
109	return	100.6577694750
110	trial	101.2914343170
111	return	102.0574819120
112	trial	102.7243023179
113	return	103.7413465540
114	trial	104.4244586820
115	return	105.1414208920
116	trial	105.7741467430
117	return	106.4913479700
118	trial	107.3086217620
119	return	108.1249100940
120	trial	108.7582907589
121	return	109.4748763930
122	trial	110.1258714760
123	return	110.8426045480
124	trial	111.6755599220
125	return	112.4086737760
126	trial	113.0426995250
127	return	113.7589241080
128	trial	114.3928446710
129	return	115.1090108380
130	trial	115.7423684500
131	return	116.4760114209
132	trial	117.1096309529
133	return	117.8934453810
134	trial	118.6099488790
135	return	122.2943225720
136	rest	123.0107897300
