Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	1.3999	3	2.1740	0.000000	9.919369e-15	1.203718e-12	1.771184e-14	100.0000	1	1
1	0	3.8044	3	1.0887	0.000000	1.479721e-14	2.815814e-12	1.827264e-14	52.2727	1	0
2	1	5.0569	4	1.2048	-0.124999	1.170290e+01	1.128438e+03	1.380247e+01	55.9795	1	1
2	0	6.4095	4	0.7038	0.000000	7.551243e+00	1.766429e+03	1.570742e+01	90.3277	1	0
3	1	7.2444	1	1.2212	0.000000	3.494446e+00	3.360413e+02	1.027402e+01	60.9759	1	1
3	0	8.5971	1	0.5200	0.000000	4.634509e-01	8.772010e+01	2.796862e+00	66.4226	1	0
4	1	9.3486	2	0.9544	0.000000	1.222261e-14	1.169161e-12	2.592528e-14	100.0000	1	1
4	0	10.4508	2	0.4199	0.000000	1.198019e-01	2.947646e+01	1.015116e+00	100.0000	1	0
5	1	11.2022	3	0.8040	0.000000	9.235877e-15	8.834631e-13	1.757164e-14	100.0000	1	1
5	0	12.1541	3	0.5536	0.000000	1.561143e-14	3.236852e-12	2.023543e-14	53.1288	1	0
6	1	12.9056	1	1.0709	0.060772	2.340593e+00	2.250786e+02	8.360058e+00	94.7594	1	1
6	0	14.1080	1	0.7038	0.000000	1.121398e+00	2.251250e+02	4.192018e+00	100.0000	1	0
7	1	14.9428	4	1.1879	0.000000	9.933490e-02	1.012584e+01	3.547705e+00	1.9577	1	1
7	0	16.2620	4	0.4363	0.000000	2.056926e-14	4.479349e-12	2.754137e-14	52.1028	1	0
8	1	17.0134	2	0.9879	0.000000	1.419021e-14	1.418743e-12	2.645493e-14	100.0000	1	1
8	0	18.1324	2	0.4362	0.000000	1.579592e+00	3.941039e+02	6.491603e+00	91.1039	1	0
9	1	18.8839	3	0.9375	0.000000	9.632559e-15	9.508146e-13	1.813244e-14	100.0000	1	1
9	0	19.9525	3	0.5032	0.000000	5.255267e+00	1.035793e+03	1.468948e+01	73.1854	1	0
10	1	20.7041	4	0.7203	0.000000	1.282130e-14	1.242738e-12	2.374041e-14	100.0000	1	1
10	0	21.5558	4	0.3360	0.000000	1.372109e-01	2.820246e+01	1.526274e+00	54.4568	1	0
11	1	22.3071	1	0.8206	0.000000	3.122003e-15	2.986370e-13	5.857215e-15	100.0000	1	1
11	0	23.2588	1	0.4200	0.000000	9.732342e-01	1.839622e+02	4.063821e+00	69.5096	1	0
12	1	24.0103	2	0.8040	-0.063240	2.116165e+00	2.037826e+02	6.093470e+00	100.0000	1	1
12	0	24.9624	2	0.5700	0.000000	3.247614e+00	7.617455e+02	6.858523e+00	53.6087	1	0
13	1	25.7137	1	1.0880	0.044825	2.759531e+00	2.658034e+02	6.837835e+00	74.4074	1	1
13	0	26.9494	1	0.4866	0.000000	2.362552e+00	4.397310e+02	4.828020e+00	53.6540	1	0
14	1	27.7010	3	1.0542	0.000000	9.388414e-15	9.267155e-13	1.813244e-14	100.0000	1	1
14	0	28.8865	3	0.3863	0.000000	2.884315e+00	6.273808e+02	1.034949e+01	70.5895	1	0
15	1	29.6381	2	0.7369	0.000000	1.244636e-14	1.212728e-12	2.614337e-14	100.0000	1	1
15	0	30.5064	2	0.4699	0.000000	2.210568e-14	5.179477e-12	2.938353e-14	52.8773	1	0
16	1	31.2578	4	0.8374	0.000000	1.249192e-14	1.210812e-12	2.374041e-14	100.0000	1	1
16	0	32.2264	4	0.4697	0.000000	3.353158e+00	6.868853e+02	1.071903e+01	91.3832	1	0
17	3	38.6555	2	1.3547	0.003601	1.561913e+01	1.505968e+03	3.439797e+01	29.3141	1	1
17	0	40.1418	2	1.0208	0.000000	1.069012e+01	2.283739e+03	2.996580e+01	87.5965	1	0
18	3	41.2940	3	1.5217	0.127105	2.127463e+01	2.023510e+03	3.332447e+01	71.8911	1	1
18	0	43.1643	3	1.0375	0.000000	9.018082e+00	1.698855e+03	2.454790e+01	74.0468	1	0
19	3	44.3332	4	1.1212	0.523599	2.591921e+01	2.209967e+03	4.922701e+01	100.0000	0	1
19	0	45.6025	4	0.9875	0.000000	3.104516e+01	7.224206e+03	4.420647e+01	48.6829	1	0
20	3	46.7213	1	1.8224	0.072730	1.716556e+01	1.901695e+03	3.293060e+01	69.5606	1	1
20	0	48.6918	1	0.8537	0.000000	2.582546e+00	4.824390e+02	7.816268e+00	85.9184	1	0
21	3	49.6770	4	1.1545	0.204250	1.891629e+01	1.908055e+03	2.845354e+01	84.0800	1	1
21	0	50.9628	4	0.7036	0.000000	1.089913e+01	1.922370e+03	1.961253e+01	85.3785	1	0
22	3	51.7978	3	1.5050	0.097163	1.892545e+01	1.973634e+03	3.739726e+01	65.7611	1	1
22	0	53.4343	3	0.5699	0.000000	7.623531e+00	1.595070e+03	1.894315e+01	79.9476	1	0
23	3	54.1858	1	1.2546	0.031568	2.167795e+01	2.067071e+03	3.644695e+01	67.2712	1	1
23	0	55.5718	1	0.5366	0.000000	2.784649e+00	4.929860e+02	8.925340e+00	67.5580	1	0
24	3	56.3233	2	1.0374	0.523599	2.623248e+01	2.259795e+03	4.973581e+01	100.0000	0	1
24	0	57.4922	2	0.8539	0.000000	3.642553e+01	8.714760e+03	5.639360e+01	46.3480	1	0
25	3	58.4774	4	1.3884	0.042171	9.392567e+00	1.118873e+03	2.381110e+01	61.4154	1	1
25	0	59.9970	4	0.6367	0.000000	1.252364e+01	2.547148e+03	2.436925e+01	86.1588	1	0
26	3	60.7652	2	1.2213	0.260508	1.984722e+01	1.829562e+03	2.890728e+01	59.2793	0	1
26	0	62.1179	2	0.6872	0.000000	1.553030e+01	3.103084e+03	2.528744e+01	51.0389	1	0
27	3	62.9528	1	1.5554	0.051477	1.759186e+01	1.943749e+03	3.351001e+01	70.2249	1	1
27	0	64.6395	1	0.8372	0.000000	2.233707e+00	4.154885e+02	4.060798e+00	71.4415	1	0
28	3	65.6080	3	1.8389	0.070646	1.067622e+01	1.188816e+03	2.591969e+01	55.1343	1	1
28	0	67.5785	3	0.6034	0.000000	3.813969e+00	7.242331e+02	1.028090e+01	68.5481	1	0
29	3	68.3133	2	1.1710	0.086826	2.075378e+01	2.022406e+03	3.447162e+01	63.2191	1	1
29	0	69.6157	2	0.5699	0.000000	7.505378e+00	1.435616e+03	2.363414e+01	94.0592	1	0
30	3	70.3672	3	1.3715	0.011083	1.418029e+01	1.365644e+03	2.407664e+01	45.9424	1	1
30	0	71.8702	3	0.7202	0.000000	8.986945e+00	1.807011e+03	2.235890e+01	90.4722	1	0
