::Queue started at 24-Feb-2013 10:22:29, with machine clock reading 97272.9091.::
space	194549.8024
RightShift	194551.7637
::Experiment started at 24-Feb-2013 10:22:32, with machine clock reading 97275.9576.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	194551.9106
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.016024 ::
cue	0.0160
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.53355 ::
trial	0.5336
::Onset of return expected: [N/A SELF PACED]  recorded: 1.8528 ::
return	1.8528
::Onset of trial expected: [N/A SELF PACED]  recorded: 2.5876 ::
trial	2.5876
::Onset of return expected: [N/A SELF PACED]  recorded: 3.673 ::
return	3.6730
::Onset of trial expected: [N/A SELF PACED]  recorded: 4.4078 ::
trial	4.4078
::Onset of return expected: [N/A SELF PACED]  recorded: 5.4597 ::
return	5.4597
::Onset of trial expected: [N/A SELF PACED]  recorded: 6.2112 ::
trial	6.2112
::Onset of return expected: [N/A SELF PACED]  recorded: 7.2966 ::
return	7.2966
::Onset of trial expected: [N/A SELF PACED]  recorded: 8.0481 ::
trial	8.0481
::Onset of return expected: [N/A SELF PACED]  recorded: 9.1502 ::
return	9.1502
::Onset of trial expected: [N/A SELF PACED]  recorded: 9.9016 ::
trial	9.9016
::Onset of return expected: [N/A SELF PACED]  recorded: 11.1708 ::
return	11.1708
::Onset of trial expected: [N/A SELF PACED]  recorded: 11.9223 ::
trial	11.9223
::Onset of return expected: [N/A SELF PACED]  recorded: 13.0411 ::
return	13.0411
::Onset of trial expected: [N/A SELF PACED]  recorded: 13.7925 ::
trial	13.7925
::Onset of return expected: [N/A SELF PACED]  recorded: 14.7111 ::
return	14.7111
::Onset of trial expected: [N/A SELF PACED]  recorded: 15.4625 ::
trial	15.4625
::Onset of return expected: [N/A SELF PACED]  recorded: 16.6314 ::
return	16.6314
::Onset of trial expected: [N/A SELF PACED]  recorded: 17.383 ::
trial	17.3830
::Onset of return expected: [N/A SELF PACED]  recorded: 18.4516 ::
return	18.4516
