Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.555098	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.584221	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.599229	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.615322	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.632835	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.649076	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.666594	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.682788	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.698652	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.715515	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.732521	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.748447	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.765352	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.782491	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.799379	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.815313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.832490	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.849521	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.865997	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.882785	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.899123	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.915935	0.00	-1.30	0.00	-77.43	0.00	-4606.05	0.00	0.00	-0.00	-1.30
1	1	1	3	0.933058	0.00	-5.12	0.00	-223.11	0.00	-8507.92	0.00	0.00	-0.00	-5.12
1	1	1	3	0.948736	0.52	-11.63	33.20	-415.27	2117.54	-12256.46	0.52	0.00	-0.00	-11.63
1	1	1	3	0.966152	1.56	-21.53	59.83	-568.29	1529.03	-8786.09	1.56	0.00	-0.00	-21.53
1	1	1	3	0.982444	2.60	-30.65	63.96	-559.55	253.39	536.50	2.60	0.00	-0.00	-30.65
1	1	1	3	0.999963	2.86	-34.55	14.83	-223.03	-2804.35	19209.02	2.86	0.00	-0.00	-34.55
1	1	1	3	1.016373	3.39	-40.02	31.78	-333.31	1032.91	-6720.50	3.39	0.00	-0.00	-40.02
1	1	1	3	1.032920	3.65	-42.37	15.70	-141.65	-971.73	11583.39	3.65	0.00	-0.00	-42.37
1	1	1	3	1.048874	3.91	-43.93	16.34	-97.93	40.35	2739.70	3.91	0.00	-0.00	-43.93
1	1	1	3	1.066010	4.17	-44.97	15.22	-60.81	-65.75	2166.63	4.17	0.00	-0.00	-44.97
1	1	1	3	1.083069	4.95	-47.06	45.80	-122.17	1792.84	-3597.13	4.95	0.00	-0.00	-47.06
1	1	1	3	1.099031	5.47	-50.35	32.61	-206.67	-826.32	-5293.69	5.47	0.00	-0.00	-50.35
1	1	1	3	1.115642	5.73	-52.70	15.70	-141.15	-1018.12	3943.98	5.73	0.00	-0.00	-52.70
1	1	1	3	1.132561	5.73	-54.78	0.00	-123.11	-927.73	1066.05	5.73	0.00	-0.00	-54.78
1	1	1	3	1.148656	5.73	-55.82	0.00	-64.74	0.00	3626.88	5.73	0.00	-0.00	-55.82
1	1	1	3	1.165735	5.47	-56.61	-15.27	-45.75	-893.98	1112.19	5.47	0.00	-0.00	-56.61
1	1	1	3	1.182876	4.69	-57.65	-45.58	-60.79	-1768.19	-877.56	4.69	0.00	-0.00	-57.65
1	1	1	3	1.198801	3.39	-59.73	-81.74	-130.87	-2271.20	-4400.56	3.39	0.00	-0.00	-59.73
1	1	1	3	1.215789	1.82	-62.86	-92.03	-183.95	-605.56	-3124.75	1.82	0.00	-0.00	-62.86
1	1	1	3	1.232758	-0.26	-67.02	-122.76	-245.63	-1810.61	-3634.77	-0.26	0.00	-0.00	-67.02
1	1	1	3	1.248495	-1.82	-71.97	-99.28	-314.42	1491.45	-4371.23	-1.82	0.00	-0.00	-71.97
1	1	1	3	1.265719	-2.87	-75.10	-60.50	-181.49	2251.94	7717.73	-2.87	0.00	-0.00	-75.10
1	1	1	3	1.282705	-3.39	-77.70	-30.70	-153.33	1754.14	1657.76	-3.39	0.00	-0.00	-77.70
1	1	1	3	1.299191	-3.65	-79.79	-15.76	-126.35	906.47	1636.47	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.315447	-3.65	-79.79	0.00	0.00	969.32	7772.81	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.333327	-3.65	-79.79	0.00	0.00	0.00	0.00	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.349536	-3.65	-79.79	0.00	0.00	0.00	0.00	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.365956	-3.65	-79.79	0.00	0.00	0.00	0.00	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.383410	-3.65	-79.79	0.00	0.00	0.00	0.00	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.399520	-3.65	-79.79	0.00	0.00	0.00	0.00	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.416023	-3.65	-79.79	0.00	0.00	0.00	0.00	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.432402	-3.65	-79.79	0.00	0.00	0.00	0.00	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.450086	-3.65	-79.79	0.00	0.00	0.00	0.00	-3.65	0.00	-0.00	-79.79
1	1	1	3	1.466461	-3.82	-81.18	-10.62	-84.86	-648.27	-5182.53	-3.82	0.00	-0.00	-81.18
1	1	1	3	1.482803	-3.82	-82.93	0.00	-107.09	649.61	-1360.11	-3.82	0.00	-0.00	-82.93
1	1	1	3	1.498930	-3.82	-86.83	0.00	-242.21	0.00	-8378.55	-3.82	0.00	-0.00	-86.83
1	1	1	3	1.515950	-3.56	-98.55	15.26	-688.65	896.75	-26230.48	-3.56	0.00	-0.00	-98.55
2	1	0	4	1.916829	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.933780	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.949850	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.966015	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.982614	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.999112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.016599	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.032582	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.048780	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.065606	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.082563	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.099201	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.115431	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.132771	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.149329	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.165772	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.183120	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.199082	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.215526	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.232973	-0.50	4.25	-28.66	243.60	-1642.69	13962.85	0.00	4.25	-0.50	0.00
2	1	1	4	2.248997	-1.02	5.29	-32.54	65.02	-242.36	-11144.01	0.00	5.29	-1.02	0.00
2	1	1	4	2.266170	-1.20	5.81	-10.12	30.37	1305.58	-2018.18	0.00	5.81	-1.20	0.00
2	1	1	4	2.282354	-1.20	5.81	0.00	0.00	625.45	-1876.35	0.00	5.81	-1.20	0.00
2	1	1	4	2.299843	-1.20	6.07	0.00	14.85	0.00	849.26	0.00	6.07	-1.20	0.00
2	1	1	4	2.332464	4.27	6.33	167.67	7.99	5140.07	-210.29	0.00	6.33	4.27	-0.00
2	1	1	4	2.349870	13.39	6.33	523.76	0.00	20458.15	-459.23	0.00	6.33	13.39	-0.00
2	1	1	4	2.366337	26.41	5.03	790.83	-79.05	16218.51	-4800.71	0.00	5.03	26.41	-0.00
2	1	1	4	2.382378	35.79	4.25	584.56	-48.76	-12858.78	1888.22	0.00	4.25	35.79	-0.00
2	1	1	4	2.398787	43.86	3.47	492.05	-47.61	-5637.62	70.33	0.00	3.47	43.86	-0.00
2	1	1	4	2.415473	49.42	3.47	333.01	0.00	-9530.94	2853.28	0.00	3.47	49.42	-0.00
2	1	1	4	2.433363	52.55	3.47	174.68	0.00	-8850.45	0.00	0.00	3.47	52.55	-0.00
2	1	1	4	2.448915	55.41	3.47	184.24	0.00	614.81	0.00	0.00	3.47	55.41	-0.00
2	1	1	4	2.466306	57.23	3.47	104.83	0.00	-4565.79	0.00	0.00	3.47	57.23	-0.00
2	1	1	4	2.482643	59.32	2.69	127.57	-47.82	1391.42	-2927.32	0.00	2.69	59.32	-0.00
2	1	1	4	2.499903	61.14	1.65	105.63	-60.37	-1270.66	-727.02	0.00	1.65	61.14	-0.00
2	1	1	4	2.516107	63.22	0.34	128.54	-80.33	1413.82	-1231.90	0.00	0.34	63.22	-0.00
2	1	1	4	2.532656	65.57	-0.70	141.69	-62.97	794.34	1049.43	0.00	-0.70	65.57	-0.00
2	1	1	4	2.549207	66.87	-1.48	78.65	-47.20	-3808.73	952.45	0.00	-1.48	66.87	-0.00
2	1	1	4	2.565713	69.48	-2.00	157.78	-31.59	4793.98	945.70	0.00	-2.00	69.48	-0.00
2	1	1	4	2.582096	71.82	-2.52	143.12	-31.77	-895.06	-10.93	0.00	-2.52	71.82	-0.00
2	1	1	4	2.599639	73.64	-2.52	103.93	0.00	-2234.04	1811.03	0.00	-2.52	73.64	-0.00
2	1	1	4	2.616073	73.64	-2.52	0.00	0.00	-6324.16	0.00	0.00	-2.52	73.64	-0.00
2	1	1	4	2.633419	73.64	-2.52	0.00	0.00	0.00	0.00	0.00	-2.52	73.64	-0.00
2	1	1	4	2.649671	73.64	-2.52	0.00	0.00	0.00	0.00	0.00	-2.52	73.64	-0.00
2	1	1	4	2.666306	73.64	-2.52	0.00	0.00	0.00	0.00	0.00	-2.52	73.64	-0.00
2	1	1	4	2.682687	73.64	-2.52	0.00	0.00	0.00	0.00	0.00	-2.52	73.64	-0.00
2	1	1	4	2.700042	73.64	-2.52	0.00	0.00	0.00	0.00	0.00	-2.52	73.64	-0.00
2	1	1	4	2.715914	73.64	-2.52	0.00	0.00	0.00	0.00	0.00	-2.52	73.64	-0.00
