Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	9.359275e-01	-3.611264e-02	2.810947e+00	2.770266e+02	5.729492e+00	5.664401e+01	1	1
2	1	4	9.333508e-01	-7.102083e-03	3.241073e+00	3.186411e+02	6.333984e+00	1.362034e+01	1	1
3	1	1	9.178022e-01	-9.182675e-03	8.008542e-01	7.656526e+01	1.465820e+00	7.853196e+01	1	1
4	1	2	1.083418e+00	6.392645e-03	2.790423e+00	2.651393e+02	3.906250e+00	8.364406e+01	1	1
5	1	3	7.336780e-01	-1.176536e-01	7.888685e+00	7.628220e+02	1.351270e+01	8.285178e+01	1	1
6	1	1	4.003385e-01	-6.768359e-02	2.005211e+00	1.925942e+02	6.510742e+00	100	1	1
7	1	4	8.335729e-01	6.640990e-03	3.644904e+00	3.757206e+02	5.632813e+00	5.215764e+01	1	1
8	1	2	5.670307e-01	9.944141e-02	3.197834e+00	3.088752e+02	9.636719e+00	100	1	1
9	1	3	5.009864e-01	1.914850e-02	2.828385e-01	2.691303e+01	1.822266e+00	100	1	1
10	1	4	4.679924e-01	1.052016e-01	1.024142e+01	1.081310e+03	1.104297e+01	100	1	1
11	1	1	4.011789e-01	-1.483606e-01	7.605942e+00	7.157384e+02	1.406445e+01	100	1	1
12	1	2	3.342127e-01	-1.010694e-01	1.018419e+01	1.143564e+03	1.138770e+01	6.288756e+01	1	1
13	1	1	4.840787e-01	-2.812567e-02	2.080593e+00	2.111051e+02	2.854492e+00	100	1	1
14	1	3	5.517879e-01	-2.301101e-02	2.180483e+00	2.211252e+02	2.333984e+00	4.426694e+01	1	1
15	1	2	5.336258e-01	1.890911e-01	1.095711e+01	1.084358e+03	1.893945e+01	100	0	1
16	1	4	4.340493e-01	8.267990e-02	7.069143e+00	6.861073e+02	8.042969e+00	100	1	1
