Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	-3.272116e+05	1.570796e+00	3.735467e+00	4.565675e-15	5.870841e+00	100	0	0
2	1	4	-3.272102e+05	2.449294e-16	6.516751e-15	5.101175e-13	1.514632e-14	100	1	0
3	1	1	-3.272088e+05	0	4.069252e+01	2.867160e-13	5.753425e+01	5.000000e+01	1	0
4	1	2	-3.272074e+05	-3.141593e+00	3.000921e-16	1.350708e-15	5.032795e-16	100	0	0
5	1	3	-3.272060e+05	1.570796e+00	4.228996e+00	8.969547e-15	4.696673e+00	4.745763e+01	0	0
6	1	1	-3.272046e+05	-1.570796e+00	4.857318e+00	3.899701e-15	7.827789e+00	9.850746e+01	0	0
7	1	4	-3.272032e+05	2.449294e-16	2.556194e-15	5.452546e-14	3.978305e-15	100	1	0
8	1	2	-3.272018e+05	-3.141593e+00	2.181220e-15	5.975946e-14	2.468466e-15	9.928571e+01	0	0
9	1	3	-3.272004e+05	1.570796e+00	2.130111e+01	1.163931e-13	2.485323e+01	9.671053e+01	0	0
10	1	4	-3.271990e+05	0	0	0	0	0	1	0
11	1	1	-3.271976e+05	1.570796e+00	2.010932e+00	6.988039e-16	4.500978e+00	1.000000e+02	0	0
12	1	2	-3.271962e+05	0	4.034225e-16	4.263173e-15	5.991423e-16	4.629630e+01	1	0
13	1	1	-3.271948e+05	6.123234e-17	6.445944e-17	3.658168e-16	8.387992e-17	3.103448e+01	1	0
14	1	3	-3.271934e+05	-3.141593e+00	2.744364e-16	2.201936e-15	3.954339e-16	3.170732e+01	0	0
15	1	2	-3.271920e+05	-1.570796e+00	1.625571e+00	2.921844e-15	2.935421e+00	9.466667e+01	0	0
16	1	4	-3.271906e+05	1.570796e+00	1.708749e+00	3.358011e-15	2.152642e+00	7.073171e+01	0	0
17	3	2	-3.271760e+05	-6.055447e-01	9.263355e+00	5.888364e+02	2.587651e+01	4.070797e+01	0	0
18	3	3	-3.271739e+05	1.171087e-01	1.729359e+01	1.679561e+03	3.596941e+01	7.758721e+00	1	0
19	3	4	-3.271718e+05	0	1.416406e+01	1.366336e+03	7.805709e+01	6.090569e+00	1	0
20	3	1	1.270230e+00	-2.494285e-02	7.440912e+00	7.176572e+02	1.481432e+01	5.237502e+01	1	1
21	3	4	8.685674e-01	8.702794e-02	1.986774e+01	1.882423e+03	3.024101e+01	5.044091e+01	1	1
22	3	3	1.269081e+00	1.478006e-01	2.382082e+01	2.666838e+03	4.439758e+01	5.263115e+01	1	1
23	3	1	7.680469e-01	1.845581e-01	1.828188e+01	1.754938e+03	2.526956e+01	8.382884e+01	0	1
24	3	2	8.025458e-01	1.282127e-01	3.240993e+01	3.057131e+03	5.470807e+01	6.502842e+01	1	1
25	3	4	1.068638e+00	3.803661e-02	5.506892e+00	5.287531e+02	1.033699e+01	8.040015e+01	1	1
26	3	2	1.019109e+00	-6.221469e-02	4.743833e+00	4.520226e+02	1.556216e+01	8.574296e+01	1	1
27	3	1	7.179706e-01	1.871059e-01	1.298236e+01	1.223156e+03	1.934968e+01	7.513372e+01	0	1
