Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.526703	0.00	-0.39	0.00	-0.74	0.00	-1.41	0.00	0.00	-0.00	-0.39
1	1	1	3	1.115819	0.00	-0.39	0.00	0.00	0.00	1.26	0.00	0.00	-0.00	-0.39
1	1	1	3	1.138986	0.00	-0.39	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.39
1	1	1	3	1.155553	0.00	0.00	0.00	23.62	0.00	1425.93	0.00	0.00	-0.00	-0.00
1	1	1	3	1.172298	0.00	0.00	0.00	0.00	0.00	-1410.82	0.00	0.00	-0.00	-0.00
1	1	1	3	1.189080	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.205800	0.00	-0.39	0.00	-23.41	0.00	-1400.13	0.00	0.00	-0.00	-0.39
1	1	1	3	1.222453	0.00	-0.39	0.00	0.00	0.00	1405.66	0.00	0.00	-0.00	-0.39
1	1	1	3	1.239097	0.00	-0.39	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.39
1	1	1	3	1.255748	0.00	-0.39	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.39
1	1	1	3	1.272875	0.00	0.00	0.00	22.85	0.00	1334.32	0.00	0.00	-0.00	-0.00
1	1	1	3	1.289588	0.00	0.00	0.00	0.00	0.00	-1367.35	0.00	0.00	-0.00	-0.00
1	1	1	3	1.306169	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.322551	0.00	-0.39	0.00	-23.89	0.00	-1458.32	0.00	0.00	-0.00	-0.39
1	1	1	3	1.339313	0.00	-0.39	0.00	0.00	0.00	1425.36	0.00	0.00	-0.00	-0.39
1	1	1	3	1.356084	0.00	-0.39	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.39
1	1	1	3	1.372701	0.00	-0.39	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.39
1	1	1	3	1.389608	0.00	0.00	0.00	23.15	0.00	1369.27	0.00	0.00	-0.00	-0.00
