Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.516905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.532013	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.549307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.565198	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.582616	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.598989	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.616266	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.632461	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.649582	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.665269	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.681747	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.698908	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.716268	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.732435	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.749168	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.764821	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.781874	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.798939	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.815967	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.831501	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.848765	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.865880	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.881676	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.898746	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.916073	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.932250	0.00	0.59	0.00	36.29	0.00	2243.57	-0.00	0.00	0.00	0.59
1	1	1	3	0.949363	0.00	0.00	0.00	-34.31	0.00	-4125.30	0.00	0.00	-0.00	-0.00
1	1	1	3	0.965776	0.00	0.00	0.00	0.00	0.00	2090.09	0.00	0.00	-0.00	-0.00
1	1	1	3	0.982707	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.998742	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.015938	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.031756	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.048696	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.065835	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.081977	0.00	-1.57	0.00	-96.99	0.00	-6008.26	0.00	0.00	-0.00	-1.57
1	1	1	3	1.098681	0.00	-7.44	0.00	-351.46	0.00	-15233.78	0.00	0.00	-0.00	-7.44
1	1	1	3	1.115753	0.00	-16.63	0.00	-538.77	0.00	-10972.55	0.00	0.00	-0.00	-16.63
1	1	1	3	1.131640	0.00	-38.16	0.00	-1354.91	0.00	-51369.47	0.00	0.00	-0.00	-38.16
1	1	1	3	1.149021	0.00	-56.36	0.00	-1047.14	0.00	17708.20	0.00	0.00	-0.00	-56.36
1	1	1	3	1.166363	-0.98	-88.84	-56.42	-1872.88	-3253.22	-47614.60	-0.98	0.00	-0.00	-88.84
1	1	1	3	1.182593	-3.32	-99.94	-144.58	-684.22	-5432.38	73239.94	-3.32	0.00	-0.00	-99.94
2	1	0	4	1.911704	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.928150	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.943623	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.962444	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.978406	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.994143	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.011119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.027195	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.045882	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.061173	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.077940	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.095424	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.111652	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.127051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.144278	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.161296	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.178040	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.194801	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.212066	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.227982	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.244942	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.260992	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.277713	0.00	-0.20	0.00	-11.70	0.00	-699.91	-0.00	-0.20	0.00	-0.00
2	1	1	4	2.295494	0.00	-6.07	0.00	-330.17	0.00	-17910.09	-0.00	-6.07	0.00	-0.00
2	1	1	4	2.311489	0.00	-14.29	0.00	-513.87	0.00	-11485.14	-0.00	-14.29	0.00	-0.00
2	1	1	4	2.328791	0.00	-38.94	0.00	-1425.08	0.00	-52663.50	-0.00	-38.94	0.00	-0.00
2	1	1	4	2.344456	0.00	-63.41	0.00	-1561.57	0.00	-8713.22	-0.00	-63.41	0.00	-0.00
2	1	1	4	2.362156	0.00	-84.34	0.00	-1183.01	0.00	21387.57	-0.00	-84.34	0.00	-0.00
2	1	1	4	2.377828	0.00	-100.00	0.00	-998.97	0.00	11743.51	-0.00	-100.00	0.00	-0.00
3	1	0	1	3.315418	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.333625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.349568	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.365341	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.382915	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.399162	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.414895	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.432643	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.448643	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.465958	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.481875	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.499004	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.516312	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.532018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.549684	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.565542	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.582081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.599348	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.615556	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.632320	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.648726	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.665866	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.682070	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.699399	0.00	2.74	0.00	158.10	0.00	9123.52	-0.00	0.00	0.00	2.74
3	1	1	1	3.715404	0.00	8.41	0.00	354.59	0.00	12276.73	-0.00	0.00	0.00	8.41
3	1	1	1	3.733047	-1.17	23.85	-66.47	874.62	-3767.51	29475.11	-1.17	0.00	0.00	23.85
3	1	1	1	3.748832	-8.83	45.13	-485.34	1348.42	-26534.90	30014.05	-8.83	0.00	0.00	45.13
3	1	1	1	3.766348	-18.19	70.29	-534.01	1436.22	-2778.24	5012.82	-18.19	0.00	0.00	70.29
3	1	1	1	3.781978	-26.42	96.45	-526.91	1673.53	454.03	15182.80	-26.42	0.00	0.00	96.45
4	1	0	2	4.716237	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	0.00
4	1	1	2	4.732765	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	0.00
4	1	1	2	4.749819	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	0.00
4	1	1	2	4.765793	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	0.00
4	1	1	2	4.782257	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	0.00
4	1	1	2	4.799483	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	0.00
4	1	1	2	4.815660	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	0.00
