Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	-1.200521e+04	1.540080e+00	3.836365e+01	2.026616e+02	7.025004e+01	7.408692e+01	0	0
2	1	4	1.025273e+00	-1.395776e+00	7.343249e+01	1.231121e+03	9.481091e+01	100	0	1
3	1	1	-1.200240e+04	0	5.971932e+00	7.605998e+02	1.765561e+01	5.358095e+01	1	0
4	1	2	4.698246e-01	-1.777902e-01	6.686188e+00	6.593671e+02	1.772012e+01	100	0	1
5	1	3	5.367301e-01	5.473978e-02	7.705801e-01	7.694259e+01	5.471245e+00	100	1	1
6	1	1	5.534929e-01	6.123234e-17	3.369643e-15	3.303701e-13	6.003406e-15	100	1	1
7	1	4	5.031244e-01	2.449294e-16	1.307977e-14	1.249105e-12	2.339051e-14	100	1	1
8	1	2	9.040125e-01	7.812341e-03	5.980385e-01	1.217278e+02	2.932483e+00	5.646827e+01	1	1
9	1	3	6.367561e-01	6.204451e-02	3.660016e+00	3.567190e+02	6.054863e+00	100	1	1
10	1	4	5.032740e-01	8.589382e-02	5.567158e+00	5.546634e+02	8.578824e+00	100	1	1
11	1	1	5.200713e-01	6.630889e-02	3.640449e+00	3.782040e+02	6.638998e+00	100	1	1
12	1	2	1.026075e-01	2.523180e-01	1.243833e+01	1.206806e+03	2.501378e+01	100	0	1
