Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	6.526419e-01	-3.325584e-02	6.794143e-01	6.870161e+01	3.324971e+00	1.000000e+02	1	1
2	1	4	4.515487e-01	-1.570796e+00	5.995994e+01	1.468595e-12	100	100	0	1
3	1	1	4.504296e-01	2.674108e-01	1.404788e+01	1.354859e+03	2.642351e+01	100	0	1
4	1	2	3.348414e-01	-1.506432e+00	9.307277e+01	5.998125e+02	9.998822e+01	100	0	1
5	1	3	1.515159e-01	-3.141593e+00	1.072341e-14	1.038765e-12	1.779453e-14	100	0	1
6	1	1	2.346215e-01	-1.952877e-02	2.748225e-01	2.753079e+01	1.956574e+00	100	1	1
7	1	4	3.844440e-01	2.449294e-16	1.470478e-14	1.412925e-12	2.353431e-14	100	1	1
8	1	2	4.510732e-01	9.765315e-03	5.411718e-01	5.422050e+01	9.784269e-01	100	1	1
9	1	3	4.352498e-01	1.836970e-16	1.073264e-14	1.073264e-12	1.836970e-14	100	1	1
10	1	4	4.362307e-01	-9.784424e-03	1.512240e-01	1.512168e+01	9.784267e-01	1.000000e+02	1	1
11	1	1	3.348005e-01	1.815717e-01	1.030450e+01	1.015494e+03	1.809290e+01	100	0	1
12	1	2	5.012735e-01	2.642957e-16	1.494311e-14	1.497235e-12	2.648129e-14	100	1	1
13	1	1	6.021343e-01	-3.709235e-02	4.398370e+00	4.403946e+02	6.423215e+00	6.162367e+01	1	1
14	1	3	4.188770e-01	-7.228090e-02	2.804051e+00	2.796729e+02	7.221798e+00	100	1	1
15	1	2	4.514336e-01	1.953123e-03	2.025709e-02	2.029669e+00	1.956943e-01	100	1	1
16	1	4	3.337146e-01	-9.784424e-03	1.301610e-01	1.301548e+01	9.784267e-01	1.000000e+02	1	1
