Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.5674	3	4.6511	0.000000	1.305579e-01	2.906254e+01	1.017356e+00	35.8908	1	1
1	0	5.3671	3	0.7188	0.000000	1.590694e-14	3.144344e-12	1.976810e-14	54.4402	1	0
2	1	6.2342	4	1.2524	-0.222327	2.418177e+01	2.256188e+03	3.169044e+01	85.6748	1	1
2	0	7.6515	4	0.5348	0.000000	5.316182e+00	1.041279e+03	1.673270e+01	100.0000	1	0
3	1	8.3675	1	1.0186	-0.065523	1.256845e+00	1.663259e+02	6.848652e+00	94.1912	1	1
3	0	9.5345	1	0.4519	0.000000	4.182099e+00	8.527209e+02	6.095491e+00	51.9431	1	0
4	1	10.2510	2	0.7023	0.041751	1.837765e+00	1.789092e+02	4.066903e+00	100.0000	1	1
4	0	11.1179	2	0.4021	0.000000	3.794203e+00	8.220376e+02	4.067947e+00	53.5117	1	0
5	1	11.8350	3	0.7182	-0.182748	8.930273e+00	8.824529e+02	1.826218e+01	100.0000	1	1
5	0	12.7016	3	0.6018	0.000000	8.923348e+00	1.895344e+03	1.660973e+01	52.8437	1	0
6	1	13.4515	1	0.8528	0.010666	1.385119e+00	1.321345e+02	3.558086e+00	83.3880	1	1
6	0	14.4685	1	0.4181	0.000000	6.387379e-01	1.236602e+02	2.535244e+00	90.1990	1	0
7	1	15.1858	4	0.9014	-0.061257	2.405067e+00	2.293533e+02	6.344188e+00	94.0833	1	1
7	0	16.2524	4	0.3356	0.000000	9.262262e+00	1.803203e+03	1.605133e+01	79.1682	1	0
8	1	16.9693	2	1.3181	0.000000	4.502411e+00	4.524200e+02	8.861147e+00	89.6303	1	1
8	0	18.4360	2	0.4521	0.000000	4.823690e+00	9.038056e+02	1.055124e+01	73.0926	1	0
9	1	19.1529	3	1.2017	0.000000	2.890288e+00	2.757981e+02	6.818189e+00	58.4854	1	1
9	0	20.5189	3	0.5529	0.000000	2.323267e+00	4.491782e+02	8.140972e+00	90.6745	1	0
10	1	21.2367	4	1.0349	0.000000	1.213454e-14	1.173084e-12	2.342886e-14	100.0000	1	1
10	0	22.4368	4	0.3183	0.000000	4.325777e+00	7.973416e+02	1.154773e+01	83.5014	1	0
11	1	23.1529	1	1.0018	0.000000	3.149387e-15	3.060637e-13	5.888370e-15	100.0000	1	1
11	0	24.3031	1	0.4861	0.000000	7.372665e+00	1.616737e+03	2.036050e+01	69.6631	1	0
12	1	25.0207	2	0.7010	0.000000	2.145905e+00	2.063596e+02	3.300611e+00	54.1241	1	1
12	0	25.8709	2	0.4340	0.000000	3.710418e-01	7.163041e+01	2.507041e+00	100.0000	1	0
13	1	26.5875	1	1.4017	0.057229	3.610987e+00	3.531315e+02	7.839273e+00	73.1897	1	1
13	0	28.1371	1	0.5845	0.000000	8.201782e+00	1.981970e+03	2.111320e+01	68.3196	1	0
14	1	28.8704	3	1.3359	-0.031735	1.561067e+00	1.500434e+02	3.559138e+00	98.6575	1	1
14	0	30.3707	3	0.4357	0.000000	3.259708e+00	6.338115e+02	4.573934e+00	61.3760	1	0
15	1	31.0879	2	1.2519	0.000000	1.411210e-14	1.428884e-12	2.586297e-14	100.0000	1	1
15	0	32.5043	2	0.4189	0.000000	2.272488e-14	5.509561e-12	3.016242e-14	53.7251	1	0
16	1	33.2214	4	0.9693	-0.012531	2.254207e-01	2.322385e+01	1.271916e+00	100.0000	1	1
16	0	34.3547	4	0.2515	0.000000	2.032719e+00	4.451817e+02	2.788768e+00	91.1027	1	0
17	3	40.6723	2	0.8025	0.525898	3.173915e+01	3.094326e+03	5.555285e+01	100.0000	0	1
17	0	41.6394	2	0.5681	0.000000	4.140367e+01	8.984630e+03	6.534740e+01	52.0418	1	0
18	3	42.3732	3	1.0851	0.124133	1.437707e+01	1.518789e+03	2.257836e+01	62.8767	1	1
18	0	43.6236	3	0.6514	0.000000	1.379022e+01	2.671513e+03	3.490122e+01	82.4701	1	0
19	3	44.4235	4	1.3512	0.148120	1.485325e+01	1.451620e+03	3.040117e+01	55.2316	0	1
19	0	45.9241	4	0.7341	0.000000	1.602427e+01	3.295735e+03	3.525113e+01	93.4422	1	0
20	3	46.8065	1	1.5194	0.178043	2.042469e+01	2.139689e+03	3.676125e+01	70.2502	1	1
20	0	48.4903	1	0.5518	0.000000	4.999850e+00	9.101419e+02	6.438499e+00	54.2499	1	0
21	3	49.2069	4	1.2856	0.069445	1.583900e+01	1.605971e+03	3.565030e+01	61.8359	1	1
21	0	50.6580	4	0.6344	0.000000	9.185793e+00	1.734335e+03	3.084474e+01	95.2840	1	0
22	3	51.4579	3	1.2177	0.097976	1.926802e+01	1.884240e+03	3.520789e+01	63.9202	1	1
22	0	52.8245	3	0.6851	0.000000	1.060062e+01	2.109300e+03	1.535387e+01	54.1748	1	0
23	3	53.6576	1	1.3853	0.193848	1.696969e+01	1.843463e+03	3.510763e+01	70.0307	0	1
23	0	55.2074	1	0.6359	0.000000	1.167289e+01	2.249913e+03	1.969050e+01	52.8733	1	0
24	3	56.0078	2	0.9689	0.181931	2.352309e+01	2.273764e+03	4.185548e+01	80.2965	1	1
24	0	57.1581	2	0.4519	0.000000	9.225469e+00	1.747602e+03	2.379451e+01	97.0864	1	0
25	3	57.8750	4	1.2190	0.063156	9.466099e+00	9.388167e+02	2.102682e+01	47.8835	1	1
25	0	59.2584	4	0.5687	0.000000	1.390010e+01	2.700225e+03	3.671492e+01	93.1980	1	0
26	3	59.9762	2	0.9846	0.201046	2.557898e+01	2.519991e+03	4.389084e+01	84.5977	1	1
26	0	61.1598	2	0.4009	0.000000	8.429339e+00	1.588686e+03	1.740525e+01	99.0551	1	0
