Event Number	Event Type	Onset
1	cue	0.0174658160
2	trial	0.5673682170
3	return	5.3670743410
4	trial	6.2341659910
5	return	7.6514989740
6	trial	8.3675492340
7	return	9.5344544100
8	trial	10.2509601450
9	return	11.1178640240
10	trial	11.8349900540
11	return	12.7015915579
12	trial	13.4515483170
13	return	14.4684597320
14	trial	15.1858283640
15	return	16.2523664300
16	trial	16.9693435259
17	return	18.4359790310
18	trial	19.1529226881
19	return	20.5188629500
20	trial	21.2367134590
21	return	22.4368222150
22	trial	23.1529098180
23	return	24.3030873990
24	trial	25.0207299039
25	return	25.8708943700
26	trial	26.5874704500
27	return	28.1371155500
28	trial	28.8704431410
29	return	30.3706965230
30	trial	31.0879203320
31	return	32.5043209540
32	trial	33.2213658290
33	return	34.3546801599
34	rest	35.1052811390
35	cue	40.1233313259
36	trial	40.6722588000
37	return	41.6394093850
38	trial	42.3732222100
39	return	43.6235761599
40	trial	44.4234592230
41	return	45.9240761460
42	trial	46.8065113541
43	return	48.4903301870
44	trial	49.2068897550
45	return	50.6580334180
46	trial	51.4578965940
47	return	52.8245017130
48	trial	53.6576489840
49	return	55.2074465140
50	trial	56.0077593970
51	return	57.1580855710
52	trial	57.8749968680
53	return	59.2583640750
54	trial	59.9762297710
55	return	61.1598229320
56	trial	61.8755466710
57	return	63.0929891490
58	trial	63.8099207930
59	return	64.7264265090
60	trial	65.4602204270
61	return	66.7593088580
62	trial	67.4773898131
63	return	68.7603255080
64	trial	69.4934372180
65	return	70.7775847460
66	trial	71.5434755650
67	return	73.0941626300
68	rest	73.8109217010
69	cue	78.8277680690
70	trial	79.3458727819
71	return	80.4123664370
72	trial	81.1287361770
73	return	81.9787455610
74	trial	82.6960499000
75	return	83.6454049960
76	trial	84.3625343640
77	return	85.2460565470
78	trial	85.9631761010
79	return	86.9636698790
80	trial	87.6795471490
81	return	88.5298074679
82	trial	89.2461269370
83	return	90.1467890220
84	trial	90.8641127420
85	return	91.5801638809
86	trial	92.2974658920
87	return	93.1641117820
88	trial	93.8808852010
89	return	94.5978596590
90	trial	95.3149081990
91	return	96.0807096320
92	trial	96.7977871830
93	return	97.7157337450
94	trial	98.4311653380
95	return	99.1487834750
96	trial	99.8647944561
97	return	100.9650651130
98	trial	101.6815145659
99	return	102.4651344570
100	trial	103.1820719050
101	return	103.9657232910
102	rest	104.6821232480
103	cue	109.6995524360
104	trial	110.2333525770
105	return	111.0838932660
106	trial	111.9667379970
107	return	113.1674144249
108	trial	113.8832944820
109	return	114.7001377970
110	trial	115.3512180250
111	return	116.7177533180
112	trial	117.3848434840
113	return	118.5348497439
114	trial	119.2517732290
115	return	120.3854759830
116	trial	121.1015486900
117	return	121.9017186520
118	trial	122.8515811490
119	return	124.1852706710
120	trial	124.9029111610
121	return	126.2360426800
122	trial	127.0023625520
123	return	127.8020322190
124	trial	128.5531180720
125	return	129.8533025240
126	trial	130.5029742830
127	return	132.0862552830
128	trial	132.8037702370
129	return	134.1366207200
130	trial	134.8534016110
131	return	136.3710470659
132	trial	137.0880997630
133	return	138.5714199001
134	trial	139.3879270280
135	return	140.9888470200
136	rest	141.7048711400
