Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.631179	-47.46	118.29	-75.19	187.41	-119.13	296.93	-47.46	0.00	0.00	118.29
1	1	1	3	0.763462	-47.66	118.21	-1.54	-0.62	556.79	-1421.42	-47.66	0.00	0.00	118.21
1	1	1	3	0.783378	-47.86	118.13	-10.18	-4.11	-434.03	-175.58	-47.86	0.00	0.00	118.13
1	1	1	3	0.799982	-47.88	118.40	-0.81	16.20	564.38	1223.70	-47.88	0.00	0.00	118.40
1	1	1	3	0.817577	-47.86	118.13	0.76	-15.29	89.41	-1789.80	-47.86	0.00	0.00	118.13
1	1	1	3	0.833400	-47.86	118.13	0.00	0.00	-48.27	966.25	-47.86	0.00	0.00	118.13
1	1	1	3	0.850002	-47.66	118.21	12.21	4.94	735.59	297.32	-47.66	0.00	0.00	118.21
1	0	1	3	1.067206	-46.85	118.53	-43.90	111.07	-41.13	104.08	-46.85	0.00	0.00	118.53
1	0	1	3	1.083871	-46.85	118.53	0.00	0.00	2633.95	-6664.69	-46.85	0.00	0.00	118.53
1	0	1	3	1.100390	-46.65	118.88	11.65	21.14	705.13	1279.71	-46.65	0.00	0.00	118.88
1	0	1	3	1.116479	-46.65	118.88	0.00	0.00	-723.99	-1313.94	-46.65	0.00	0.00	118.88
1	0	1	3	1.133153	-46.64	118.62	0.75	-16.10	44.73	-965.56	-46.64	0.00	0.00	118.62
1	0	1	3	1.150133	-46.64	118.62	0.00	0.00	-43.92	948.14	-46.64	0.00	0.00	118.62
1	0	1	3	1.166672	-46.64	118.62	0.00	0.00	0.00	0.00	-46.64	0.00	0.00	118.62
1	0	1	3	1.183158	-46.64	118.62	0.00	0.00	0.00	0.00	-46.64	0.00	0.00	118.62
1	0	1	3	1.199816	-46.65	118.88	-0.75	16.11	-44.81	967.35	-46.65	0.00	0.00	118.88
1	0	1	3	1.216548	-46.65	118.88	0.00	0.00	44.61	-963.11	-46.65	0.00	0.00	118.88
1	0	1	3	1.233210	-46.65	118.88	0.00	0.00	0.00	0.00	-46.65	0.00	0.00	118.88
1	0	1	3	1.250045	-46.64	118.62	0.74	-15.95	43.87	-947.20	-46.64	0.00	0.00	118.62
1	0	1	3	1.266451	-46.64	118.62	0.00	0.00	-45.02	971.95	-46.64	0.00	0.00	118.62
1	0	1	3	1.283411	-46.64	118.62	0.00	0.00	0.00	0.00	-46.64	0.00	0.00	118.62
1	0	1	3	1.299813	-46.64	118.62	0.00	0.00	0.00	0.00	-46.64	0.00	0.00	118.62
1	0	1	3	1.316895	-46.65	118.88	-0.73	15.72	-42.61	920.00	-46.65	0.00	0.00	118.88
1	0	1	3	1.333807	-46.44	118.70	12.87	-11.11	804.10	-1586.21	-46.44	0.00	0.00	118.70
1	0	1	3	1.349831	-46.23	118.78	12.84	5.01	-2.20	1006.12	-46.23	0.00	0.00	118.78
1	0	1	3	1.366516	-46.23	118.78	0.00	0.00	-769.32	-300.21	-46.23	0.00	0.00	118.78
1	0	1	3	1.383112	-47.05	118.45	-49.42	-19.43	-2977.88	-1170.93	-47.05	0.00	0.00	118.45
