Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.7570	3	-0.0176	-2.760054	4.745806e+01	5.613860e+03	4.745806e+01	100.0000	0	1
1	0	1.0824	3	1.7346	0.000000	3.231187e+01	1.204757e+04	7.816690e+01	37.1003	1	0
2	1	2.9740	1	0.8012	0.010610	2.168417e+00	2.118681e+02	9.610814e+00	2.5222	1	1
2	0	3.9074	1	0.5515	0.000000	6.596574e+00	1.382852e+03	1.290453e+01	88.3105	1	0
3	1	4.6312	2	1.2174	-0.000000	2.495730e+01	2.615085e+03	3.907919e+01	18.6387	1	1
3	0	5.9974	2	0.4680	0.000000	1.093943e+00	2.345564e+02	5.211260e+00	97.6831	1	0
4	1	6.7139	4	1.3673	0.132902	1.011677e+01	1.067454e+03	2.681215e+01	94.0173	1	1
4	0	8.2134	4	1.0174	0.000000	7.618532e+00	1.475192e+03	2.257193e+01	81.4532	1	0
5	1	9.3629	4	1.2177	-0.079408	1.161614e+01	1.151553e+03	1.874880e+01	57.0845	1	1
5	0	10.7292	4	0.7842	0.000000	9.126189e+00	1.639135e+03	1.112097e+01	54.0376	1	0
6	1	11.6622	2	0.7011	-0.032247	5.186392e+00	7.167721e+02	1.126147e+01	27.7995	1	1
6	0	12.5120	2	0.1843	0.000000	7.920132e+00	1.743658e+03	9.382744e+00	53.1007	1	0
7	1	13.2284	3	2.3003	-0.024060	7.022881e+00	7.617115e+02	1.935568e+01	6.7243	1	1
7	0	15.6609	3	0.8011	0.000000	4.930681e+00	8.819485e+02	1.375515e+01	67.3976	1	0
8	1	16.5939	1	0.5182	-0.140483	1.519228e+01	1.668911e+03	2.012533e+01	21.7906	0	1
8	0	17.3104	1	0.4179	0.000000	2.630206e+01	6.362407e+03	3.339044e+01	50.8498	1	0
9	1	18.2101	2	0.7176	0.059209	5.829911e+00	6.417326e+02	1.018796e+01	2.0317	1	1
9	0	19.0598	2	0.2348	0.000000	3.935636e+00	7.566263e+02	9.669555e+00	100.0000	1	0
10	1	19.7766	3	2.1848	-0.024060	6.397999e+00	6.605313e+02	1.143545e+01	5.3111	1	1
10	0	22.1436	3	0.7846	0.000000	2.838341e+00	5.223631e+02	8.543417e+00	97.2174	1	0
