::Queue started at 07-Feb-2013 16:41:44, with machine clock reading 659589.442.::
::Experiment started at 07-Feb-2013 16:55:30, with machine clock reading 660414.5141.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
space	1320829.0104
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.015593 ::
cue	0.0156
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.75875 ::
trial	0.7587
::Onset of return expected: [N/A SELF PACED]  recorded: 1.8747 ::
return	1.8747
::Onset of trial expected: [N/A SELF PACED]  recorded: 2.676 ::
trial	2.6760
::Onset of return expected: [N/A SELF PACED]  recorded: 4.2928 ::
return	4.2928
::Onset of trial expected: [N/A SELF PACED]  recorded: 5.0098 ::
trial	5.0098
::Onset of return expected: [N/A SELF PACED]  recorded: 6.009 ::
return	6.0090
::Onset of trial expected: [N/A SELF PACED]  recorded: 6.7263 ::
trial	6.7263
::Onset of return expected: [N/A SELF PACED]  recorded: 7.7592 ::
return	7.7592
::Onset of trial expected: [N/A SELF PACED]  recorded: 8.4761 ::
trial	8.4761
::Onset of return expected: [N/A SELF PACED]  recorded: 9.3106 ::
return	9.3106
::Onset of trial expected: [N/A SELF PACED]  recorded: 9.9435 ::
trial	9.9435
::Onset of return expected: [N/A SELF PACED]  recorded: 11.0603 ::
return	11.0603
::Onset of trial expected: [N/A SELF PACED]  recorded: 11.7766 ::
trial	11.7766
::Onset of return expected: [N/A SELF PACED]  recorded: 13.2937 ::
return	13.2937
::Onset of trial expected: [N/A SELF PACED]  recorded: 14.011 ::
trial	14.0110
::Onset of return expected: [N/A SELF PACED]  recorded: 15.0106 ::
return	15.0106
::Onset of trial expected: [N/A SELF PACED]  recorded: 15.728 ::
trial	15.7280
::Onset of return expected: [N/A SELF PACED]  recorded: 16.4437 ::
return	16.4437
::Onset of trial expected: [N/A SELF PACED]  recorded: 17.1608 ::
trial	17.1608
::Onset of return expected: [N/A SELF PACED]  recorded: 18.6112 ::
return	18.6112
::Onset of trial expected: [N/A SELF PACED]  recorded: 19.3283 ::
trial	19.3283
::Onset of return expected: [N/A SELF PACED]  recorded: 20.3108 ::
return	20.3108
::Onset of trial expected: [N/A SELF PACED]  recorded: 21.0282 ::
trial	21.0282
::Onset of return expected: [N/A SELF PACED]  recorded: 21.8626 ::
return	21.8626
::Onset of trial expected: [N/A SELF PACED]  recorded: 22.5788 ::
trial	22.5788
