Event Number	Event Type	Onset
1	cue	0.0235187080
2	trial	0.7569954030
3	return	1.0824281459
4	trial	2.9739707269
5	return	3.9073692240
6	trial	4.6312154450
7	return	5.9973685769
8	trial	6.7139376550
9	return	8.2133880210
10	trial	9.3629473170
11	return	10.7292443210
12	trial	11.6622084010
13	return	12.5120209450
14	trial	13.2284074980
15	return	15.6609141619
16	trial	16.5938899800
17	return	17.3103640149
18	trial	18.2100523059
19	return	19.0598311219
20	trial	19.7766097080
21	return	22.1435899730
22	trial	23.0604191490
23	return	25.2774163369
24	trial	26.1275309629
25	return	27.3443766029
26	trial	28.0612061520
27	return	29.5280803910
28	trial	30.2448884120
29	return	31.2450105579
30	trial	31.9617991010
31	return	34.3045734309
32	trial	35.2876573839
33	return	36.5371845670
34	trial	37.5701625020
35	return	39.1697703099
36	trial	40.2860449089
37	return	41.9520091789
38	trial	43.0517145450
39	return	43.7847966390
40	trial	44.5011726629
41	return	45.7507736370
42	trial	46.4671608299
43	return	48.6830987079
44	trial	49.4829869870
45	return	50.3325590020
46	trial	51.0491005370
47	return	52.0319533260
48	trial	52.7484722270
49	return	54.7653106559
50	trial	56.3488101680
51	return	57.2490559520
52	trial	57.9657572770
53	return	59.4160478640
54	trial	60.3328934120
55	return	61.0996294949
56	trial	61.8330383800
57	return	63.7332793169
58	trial	64.5335366280
59	return	65.2502143229
60	trial	65.9774126529
61	return	67.2672022099
62	trial	68.0340024940
63	return	69.2009068320
64	trial	69.9260452000
65	return	71.2089026819
66	trial	72.0419563389
67	return	72.9249265189
68	trial	73.6514304039
69	return	74.3683536380
70	trial	75.0850808260
71	return	76.5904270060
72	trial	77.4067707610
73	return	78.4231220019
74	trial	79.2395154589
75	return	80.0892969969
76	trial	80.8056700010
77	return	82.0719190249
78	trial	82.8217189769
79	return	83.5380356590
80	trial	84.2545054100
81	return	85.2542267700
82	trial	85.9705558750
83	return	86.9704365720
84	trial	87.6870005210
85	return	89.0706403949
86	trial	89.9206803769
87	return	90.6707583129
88	trial	91.3876160120
89	return	92.7711339639
90	trial	93.4878691180
91	return	94.8547777559
92	trial	95.6382248360
93	return	96.5384441890
94	trial	97.1835783740
95	return	98.2386693869
96	trial	98.9553370230
97	return	99.8556154099
98	rest	100.5889914810
99	cue	112.6074932429
100	trial	113.1281848630
101	return	113.2448467590
102	trial	114.5776019950
103	return	116.3271339940
104	trial	117.0933920960
105	return	118.0264502510
106	trial	118.7429583770
107	return	120.0091411390
108	trial	120.8250180960
109	return	121.5417371569
110	trial	122.2751122930
111	return	123.0918343570
112	trial	123.8086556210
113	return	124.7427202309
114	trial	125.4595304809
115	return	126.8096398769
116	trial	127.5765190730
117	return	128.2931778190
118	trial	129.0100516359
119	return	130.3602008449
120	trial	131.1604072150
121	return	132.5271836809
122	trial	133.3273101309
123	return	134.1775456009
124	trial	134.9041707480
125	return	136.5363742589
126	trial	137.3860770940
127	return	138.1109082990
128	trial	138.8276669029
129	return	140.0783819460
130	trial	140.8688218750
131	return	141.5852621669
132	trial	142.3011803610
133	return	143.2013076830
134	trial	143.9177971060
135	return	144.9668942309
136	trial	145.7165961630
137	return	146.4330714589
138	trial	147.3328022739
139	return	148.2658187670
140	trial	148.9821317249
141	return	149.6985407079
142	trial	150.5322592449
143	return	151.2481504079
144	trial	152.2477278180
145	return	153.0142134540
146	trial	153.7305707859
147	return	155.0468040169
148	trial	155.8469230799
149	return	156.9971080939
150	trial	157.7144912690
151	return	158.9145555299
152	trial	159.6313850180
153	return	160.5148879420
154	trial	161.2316518320
155	return	162.0317881900
156	trial	162.7485114429
157	return	163.7320708659
158	trial	164.4487625440
159	return	165.6656773060
160	trial	166.3823593979
161	return	167.2659484550
162	trial	167.9826896690
163	return	169.0995597290
164	trial	169.8257020679
165	return	170.6164128350
166	trial	171.3331770339
167	return	172.1332647389
168	trial	172.9167091020
169	return	173.6411104270
170	trial	174.3576504959
171	return	175.3405507989
172	trial	176.0570704930
173	return	176.7840024380
174	trial	177.7064279669
175	return	178.6393782430
176	trial	179.4390808310
177	return	180.1554818570
178	trial	180.8720825900
179	return	181.9882989309
180	trial	182.7048157039
181	return	183.6044278019
182	trial	184.3209276559
183	return	185.0372174809
184	trial	185.7538542129
185	return	186.9699846740
186	trial	187.6863520750
187	return	188.7860438350
188	trial	189.5026968219
189	return	190.8360694599
190	trial	191.6196302359
191	return	192.6865326719
192	trial	193.4198825989
193	return	194.1366975510
194	trial	194.7701841589
195	return	195.5202125299
196	rest	196.2369765160
197	cue	208.2555110269
198	trial	208.7723175579
199	return	208.9126144709
200	trial	210.0451654670
201	return	211.5783331699
202	trial	212.2948782200
203	return	213.0111950350
204	trial	213.7442539269
205	return	214.4606885379
206	trial	215.1771875820
207	return	216.0431997509
208	trial	216.7600463940
209	return	217.8262047470
210	trial	218.5426591260
211	return	219.5089322720
212	trial	220.2254846940
213	return	220.9418758859
214	trial	221.6583791840
215	return	222.9077747749
216	trial	223.6745218419
217	return	224.5080225560
218	trial	225.3414900759
219	return	226.2082433449
220	trial	226.9250402739
221	return	227.6419134609
222	trial	228.3586086020
223	return	229.1254023659
224	trial	229.8421444959
225	return	230.7756443890
226	trial	231.4925036019
227	return	232.9926596780
228	trial	233.9761508360
229	return	234.6929187920
230	trial	235.4203868490
231	return	236.6265694170
232	trial	237.3433756230
233	return	238.0600540229
234	trial	238.7769082120
235	return	239.5270550370
236	trial	240.2520601680
237	return	241.5515739049
238	trial	242.2774324639
239	return	243.3010918649
240	trial	244.0174462780
241	return	245.0838225340
242	trial	245.8001741059
243	return	246.5281077119
244	trial	247.2448170990
245	return	248.0826273960
246	trial	248.7991969290
247	return	249.9154873850
248	trial	250.6318182780
249	return	251.3483065970
250	trial	252.0646612410
251	return	253.2143169530
252	trial	253.9307415739
253	return	254.6471370819
254	trial	255.3635566860
255	return	256.4800087750
256	trial	257.3297693649
257	return	258.0465185340
258	trial	258.7632876700
259	return	259.7801032469
260	trial	260.6301668290
261	return	261.3469084259
262	trial	262.0637577840
263	return	263.1472659149
264	trial	263.8640540900
265	return	264.5809457930
266	trial	265.2976511270
267	return	266.0309968230
268	trial	266.7431032039
269	return	268.0979621450
270	trial	268.8647919639
271	return	269.5816768069
272	trial	270.2983859959
273	return	271.8152644490
274	trial	272.5821195099
275	return	273.5322534670
276	trial	274.4489740919
277	return	275.2991372469
278	trial	276.0233389820
279	return	277.1896055610
280	trial	277.9061217679
281	return	279.2217666029
282	trial	280.0381708440
283	return	281.0710595980
284	trial	281.7875010100
285	return	282.5371811240
286	trial	283.2536824560
287	return	284.5201231240
288	trial	285.2696694130
289	return	286.4527034430
290	trial	287.1689764470
291	return	287.8854634250
292	trial	288.6018901150
293	return	289.3354678290
294	rest	290.0519646689
295	cue	302.0699464029
296	trial	302.5866578399
297	return	303.6200737309
298	trial	304.3369285170
299	return	305.6203919180
