::Queue started at 28-Jan-2013 17:20:09, with machine clock reading 456579.5599.::
::Experiment started at 28-Jan-2013 17:20:09, with machine clock reading 456580.1097.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	913160.2096
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.015866 ::
cue	0.0159
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.54864 ::
trial	0.5486
::Onset of return expected: [N/A SELF PACED]  recorded: 2.9493 ::
return	2.9493
::Onset of trial expected: [N/A SELF PACED]  recorded: 3.6656 ::
trial	3.6656
::Onset of return expected: [N/A SELF PACED]  recorded: 5.2002 ::
return	5.2002
::Onset of trial expected: [N/A SELF PACED]  recorded: 5.9164 ::
trial	5.9164
::Onset of return expected: [N/A SELF PACED]  recorded: 6.8166 ::
return	6.8166
::Onset of trial expected: [N/A SELF PACED]  recorded: 7.4501 ::
trial	7.4501
::Onset of return expected: [N/A SELF PACED]  recorded: 8.2005 ::
return	8.2005
::Onset of trial expected: [N/A SELF PACED]  recorded: 8.8341 ::
trial	8.8341
::Onset of return expected: [N/A SELF PACED]  recorded: 9.6511 ::
return	9.6511
::Onset of trial expected: [N/A SELF PACED]  recorded: 10.2838 ::
trial	10.2838
::Onset of return expected: [N/A SELF PACED]  recorded: 11.0838 ::
return	11.0838
::Onset of trial expected: [N/A SELF PACED]  recorded: 11.7173 ::
trial	11.7173
::Onset of return expected: [N/A SELF PACED]  recorded: 12.6508 ::
return	12.6508
::Onset of trial expected: [N/A SELF PACED]  recorded: 13.3677 ::
trial	13.3677
::Onset of return expected: [N/A SELF PACED]  recorded: 14.1511 ::
return	14.1511
::Onset of trial expected: [N/A SELF PACED]  recorded: 14.8681 ::
trial	14.8681
::Onset of return expected: [N/A SELF PACED]  recorded: 15.9015 ::
return	15.9015
::Onset of trial expected: [N/A SELF PACED]  recorded: 16.6181 ::
trial	16.6181
::Onset of return expected: [N/A SELF PACED]  recorded: 18.1351 ::
return	18.1351
::Onset of trial expected: [N/A SELF PACED]  recorded: 18.8517 ::
trial	18.8517
::Onset of return expected: [N/A SELF PACED]  recorded: 19.8025 ::
return	19.8025
::Onset of trial expected: [N/A SELF PACED]  recorded: 20.5184 ::
trial	20.5184
::Onset of return expected: [N/A SELF PACED]  recorded: 21.3684 ::
return	21.3684
::Onset of trial expected: [N/A SELF PACED]  recorded: 22.0855 ::
trial	22.0855
::Onset of return expected: [N/A SELF PACED]  recorded: 22.9532 ::
return	22.9532
::Onset of trial expected: [N/A SELF PACED]  recorded: 23.6689 ::
trial	23.6689
::Onset of return expected: [N/A SELF PACED]  recorded: 24.6189 ::
return	24.6189
::Onset of trial expected: [N/A SELF PACED]  recorded: 25.3362 ::
trial	25.3362
::Onset of return expected: [N/A SELF PACED]  recorded: 26.2025 ::
return	26.2025
::Onset of trial expected: [N/A SELF PACED]  recorded: 26.9199 ::
trial	26.9199
::Onset of return expected: [N/A SELF PACED]  recorded: 27.9032 ::
return	27.9032
::Onset of rest expected: [N/A SELF PACED]  recorded: 28.6196 ::
rest	28.6196
::Onset of cue expected: [N/A SELF PACED]  recorded: 40.6387 ::
cue	40.6387
::Onset of trial expected: [N/A SELF PACED]  recorded: 41.1888 ::
trial	41.1888
::Onset of return expected: [N/A SELF PACED]  recorded: 44.3894 ::
return	44.3894
::Onset of trial expected: [N/A SELF PACED]  recorded: 45.2398 ::
trial	45.2398
::Onset of return expected: [N/A SELF PACED]  recorded: 47.8733 ::
return	47.8733
::Onset of trial expected: [N/A SELF PACED]  recorded: 48.6235 ::
trial	48.6235
::Onset of return expected: [N/A SELF PACED]  recorded: 51.3232 ::
return	51.3232
::Onset of trial expected: [N/A SELF PACED]  recorded: 51.9906 ::
trial	51.9906
::Onset of return expected: [N/A SELF PACED]  recorded: 54.941 ::
return	54.9410
::Onset of trial expected: [N/A SELF PACED]  recorded: 56.0412 ::
trial	56.0412
::Onset of return expected: [N/A SELF PACED]  recorded: 58.7248 ::
return	58.7248
::Onset of trial expected: [N/A SELF PACED]  recorded: 59.4249 ::
trial	59.4249
::Onset of return expected: [N/A SELF PACED]  recorded: 62.9087 ::
return	62.9087
::Onset of trial expected: [N/A SELF PACED]  recorded: 63.6249 ::
trial	63.6249
::Onset of return expected: [N/A SELF PACED]  recorded: 66.5928 ::
return	66.5928
::Onset of trial expected: [N/A SELF PACED]  recorded: 67.3089 ::
trial	67.3089
::Onset of return expected: [N/A SELF PACED]  recorded: 72.4264 ::
