Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	3	2.236390e+00	4.257061e-02	3.128504e+00	3.114104e+02	1.049355e+01	9.179568e+01	1	1
1	0	3	4.684837e-01	0	3.913750e-01	7.827680e+01	7.827549e-01	4.999732e+01	1	0
2	1	4	1.368847e+00	4.123398e-02	1.110606e+01	1.806778e+03	4.322276e+01	6.208316e+00	1	1
2	0	4	2.016289e-01	0	2.304008e+00	4.604904e+02	4.691502e+00	4.998767e+01	1	0
3	1	1	7.513261e-01	2.234766e-01	2.244680e+01	2.747221e+03	8.714288e+01	1.075224e+01	0	1
3	0	1	1.679735e-01	0	1.360716e+01	2.664851e+03	2.195783e+01	4.991786e+01	1	0
4	1	2	5.846344e-01	1.796816e-01	9.256442e+00	9.125242e+02	1.790661e+01	100	0	1
4	0	2	1.853362e-01	0	1.396026e+01	2.753419e+03	1.790661e+01	4.998292e+01	1	0
5	1	3	6.668956e-01	1.514727e-01	5.467754e+00	5.405148e+02	1.508941e+01	100	0	1
5	0	3	2.993445e-01	0	9.364268e+00	1.832319e+03	1.640859e+01	5.041340e+01	1	0
6	1	1	6.351540e-01	1.973956e-01	1.144070e+01	1.108681e+03	1.938134e+01	100	0	1
6	0	1	2.183022e-01	0	1.433135e+01	2.815473e+03	1.994495e+01	4.998104e+01	1	0
7	1	4	7.852846e-01	1.064509e-01	3.455540e+00	3.335120e+02	1.031311e+01	100	1	1
7	0	4	2.021382e-01	0	7.404684e+00	1.462337e+03	1.185322e+01	5.034682e+01	1	0
8	1	2	6.348325e-01	2.718833e-16	1.344549e-14	1.278769e-12	2.585818e-14	100	1	1
8	0	2	2.016571e-01	0	8.588937e-01	1.684117e+02	1.174084e+00	4.999801e+01	1	0
9	1	3	8.684358e-01	1.024554e-02	5.649752e-02	5.395174e+00	9.784222e-01	1.000000e+02	1	1
9	0	3	3.346732e-01	0	1.663127e+00	3.295727e+02	3.129582e+00	5.043841e+01	1	0
10	1	4	1.368742e+00	4.231344e-02	1.315748e+00	1.328842e+02	4.885282e+00	9.338761e+01	1	1
10	0	4	5.019108e-01	0	2.079909e+00	4.139132e+02	4.106123e+00	5.020751e+01	1	0
11	1	1	8.020841e-01	9.280198e-02	4.319100e+00	4.250019e+02	9.158074e+00	100	1	1
11	0	1	3.678978e-01	0	7.713768e+00	1.533607e+03	1.031669e+01	5.020643e+01	1	0
12	1	2	6.851922e-01	2.709667e-16	1.326028e-14	1.268939e-12	2.593008e-14	1.000000e+02	1	1
12	0	2	3.194398e-01	0	1.618142e-02	3.217285e+00	3.913830e-01	6.555174e+01	1	0
13	1	1	7.192451e-01	1.226141e-01	6.611726e+00	6.356620e+02	1.184776e+01	1.000000e+02	1	1
13	0	1	4.515789e-01	0	1.066376e+01	2.114591e+03	1.261887e+01	5.022076e+01	1	0
14	1	3	8.024117e-01	1.077444e-01	4.195574e+00	3.999823e+02	1.031168e+01	100	1	1
14	0	3	3.683051e-01	0	7.373768e+00	1.455373e+03	1.166157e+01	5.034278e+01	1	0
15	1	2	7.188856e-01	8.955573e-02	2.243191e+00	2.142385e+02	8.576061e+00	100	1	1
15	0	2	3.024275e-01	0	7.374647e+00	1.417347e+03	9.349138e+00	4.996227e+01	1	0
16	1	4	8.185794e-01	5.473978e-02	1.284998e+00	1.283073e+02	5.471245e+00	100	1	1
16	0	4	3.520322e-01	0	3.580176e+00	7.005422e+02	6.833305e+00	5.102542e+01	1	0
17	3	2	3.035684e+00	1.719381e-01	1.328176e+01	2.351186e+03	4.397569e+01	2.313274e+01	1	1
17	0	2	6.853725e-01	0	7.881627e+00	1.567453e+03	1.007334e+01	8.292599e+01	1	0
18	3	3	2.484039e+00	1.229465e-01	1.160677e+01	1.126284e+03	2.186358e+01	2.253121e+01	1	1
18	0	3	6.008843e-01	0	1.024735e+01	2.047496e+03	1.735875e+01	6.734607e+01	1	0
19	3	4	2.535023e+00	2.461849e-01	1.152373e+01	1.334479e+03	2.327366e+01	100	0	1
19	0	4	5.022419e-01	0	1.292274e+01	2.574262e+03	2.226339e+01	4.893987e+01	1	0
20	3	1	2.801470e+00	8.048872e-02	1.173862e+01	1.122054e+03	1.711465e+01	4.575690e+01	1	1
20	0	1	9.345187e-01	0	3.129675e+00	6.130913e+02	5.029129e+00	5.108289e+01	1	0
21	3	4	2.535119e+00	1.833712e-01	1.297459e+01	1.434731e+03	2.795217e+01	2.803079e+01	0	1
21	0	4	5.516984e-01	0	7.740934e+00	1.498420e+03	1.285563e+01	5.000840e+01	1	0
22	3	3	3.302456e+00	1.425558e-01	1.503356e+01	2.319482e+03	2.939843e+01	6.760688e+01	1	1
22	0	3	5.186751e-01	0	1.161763e+01	2.317922e+03	1.739855e+01	7.687223e+01	1	0
23	3	1	2.819159e+00	4.040353e-02	1.740275e+01	1.812198e+03	3.326018e+01	3.799423e+01	1	1
23	0	1	4.677234e-01	0	4.393640e+00	8.790910e+02	6.775612e+00	4.996252e+01	1	0
24	3	2	4.968857e+00	6.037193e-02	9.933840e+00	1.539232e+03	3.662927e+01	1.543737e+01	1	1
24	0	2	5.850848e-01	0	5.222211e+00	1.036725e+03	9.378749e+00	5.051758e+01	1	0
25	3	4	2.452023e+00	1.026952e-01	1.914433e+01	1.934129e+03	3.237907e+01	3.259720e+01	1	1
25	0	4	7.848477e-01	0	1.032292e+01	2.067339e+03	2.725323e+01	7.378935e+01	1	0
26	3	2	1.419148e+00	2.953356e-01	2.146135e+01	2.053633e+03	3.674307e+01	5.574834e+01	0	1
26	0	2	4.854094e-01	0	1.593438e+01	3.131446e+03	2.687269e+01	4.911669e+01	1	0
