Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	4	0.549671	0.00	-2.04	0.00	-3.70	0.00	-6.74	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.582682	0.00	-3.05	0.00	-30.83	0.00	-821.65	-0.00	-3.05	0.00	-0.00
1	1	1	4	0.597658	0.00	-3.05	0.00	0.00	0.00	2058.44	-0.00	-3.05	0.00	-0.00
1	1	1	4	0.614833	0.00	-1.53	0.00	88.87	0.00	5174.34	-0.00	-1.53	0.00	-0.00
1	1	1	4	0.631303	0.00	-2.29	0.00	-46.34	0.00	-8209.93	-0.00	-2.29	0.00	-0.00
1	1	1	4	0.648594	0.00	-2.29	0.00	0.00	0.00	2680.02	-0.00	-2.29	0.00	-0.00
1	1	1	4	0.664887	0.00	-2.04	0.00	15.61	0.00	958.33	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.680886	0.00	-2.04	0.00	0.00	0.00	-975.97	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.697862	0.00	-2.04	0.00	0.00	0.00	0.00	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.714886	0.00	-2.04	0.00	0.00	0.00	0.00	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.732246	0.00	-2.04	0.00	0.00	0.00	0.00	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.748184	0.00	-2.29	0.00	-15.96	0.00	-1001.58	-0.00	-2.29	0.00	-0.00
1	1	1	4	0.764995	0.00	-2.29	0.00	0.00	0.00	949.53	-0.00	-2.29	0.00	-0.00
1	1	1	4	0.781875	0.00	-2.04	0.00	15.07	0.00	892.84	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.798367	0.00	-2.04	0.00	0.00	0.00	-913.84	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.814451	0.00	-2.04	0.00	0.00	0.00	0.00	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.831757	0.00	-2.04	0.00	0.00	0.00	0.00	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.847686	0.00	-2.04	0.00	0.00	0.00	0.00	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.864951	0.00	-2.04	0.00	0.00	0.00	0.00	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.881388	0.00	-2.04	0.00	0.00	0.00	0.00	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.898358	0.00	-2.04	0.00	0.00	0.00	0.00	-0.00	-2.04	0.00	-0.00
1	1	1	4	0.914596	0.00	-2.29	0.00	-15.67	0.00	-964.82	-0.00	-2.29	0.00	-0.00
1	1	1	4	0.932121	0.00	-2.29	0.00	0.00	0.00	893.98	-0.00	-2.29	0.00	-0.00
1	1	1	4	0.948704	0.00	-2.04	0.00	15.34	0.00	925.08	-0.00	-2.04	0.00	-0.00
