Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	6.540346e-01	-1.202831e-01	6.933545e+00	7.060299e+02	1.230762e+01	100	1	1
2	1	4	-1.851331e+05	0	0	0	0	0	1	0
3	1	1	-1.851317e+05	-1.254250e+00	2.860475e+01	7.728032e+02	3.873047e+01	7.332731e+01	0	0
4	1	2	9.676396e-01	1.688656e-02	3.437615e+00	3.545477e+02	7.389648e+00	7.904993e+01	1	1
5	1	3	7.178192e-01	1.913887e-02	3.386399e-01	3.223891e+01	1.822266e+00	100	1	1
6	1	1	4.675240e-01	5.470360e-03	1.519719e+00	1.448720e+02	2.083984e+00	6.229512e+01	1	1
7	1	4	-1.851261e+05	0	0	0	0	0	1	0
8	1	2	-1.851247e+05	0	0	0	0	0	1	0
9	1	3	-1.851233e+05	0	0	0	0	0	1	0
10	1	4	-1.851219e+05	0	0	0	0	0	1	0
11	1	1	-1.851205e+05	0	0	0	0	0	1	0
12	1	2	-1.851191e+05	0	0	0	0	0	1	0
13	1	1	-1.851177e+05	0	0	0	0	0	1	0
14	1	3	-1.851163e+05	0	0	0	0	0	1	0
15	1	2	-1.851149e+05	0	0	0	0	0	1	0
16	1	4	-1.851135e+05	0	0	0	0	0	1	0
17	2	2	-1.850996e+05	0	0	0	0	0	1	0
18	2	4	-1.850982e+05	0	0	0	0	0	1	0
19	2	1	-1.850968e+05	0	0	0	0	0	1	0
20	2	3	-1.850954e+05	0	0	0	0	0	1	0
21	2	4	-1.850940e+05	0	0	0	0	0	1	0
22	2	2	-1.850926e+05	0	0	0	0	0	1	0
23	2	3	-1.850912e+05	0	0	0	0	0	1	0
24	2	1	-1.850898e+05	0	0	0	0	0	1	0
25	2	2	-1.850884e+05	0	0	0	0	0	1	0
26	2	4	-1.850870e+05	0	0	0	0	0	1	0
27	2	1	-1.850856e+05	0	0	0	0	0	1	0
28	2	3	-1.850842e+05	0	0	0	0	0	1	0
29	2	4	-1.850828e+05	0	0	0	0	0	1	0
30	2	2	-1.850814e+05	0	0	0	0	0	1	0
31	2	3	-1.850800e+05	0	0	0	0	0	1	0
32	2	1	-1.850786e+05	0	0	0	0	0	1	0
33	2	2	-1.850772e+05	0	0	0	0	0	1	0
34	2	4	-1.850758e+05	0	0	0	0	0	1	0
35	2	1	-1.850744e+05	0	0	0	0	0	1	0
36	2	3	-1.850730e+05	0	0	0	0	0	1	0
37	2	4	-1.850716e+05	0	0	0	0	0	1	0
38	2	2	-1.850702e+05	0	0	0	0	0	1	0
39	2	3	-1.850688e+05	0	0	0	0	0	1	0
40	2	1	-1.850674e+05	0	0	0	0	0	1	0
41	2	2	-1.850660e+05	0	0	0	0	0	1	0
42	2	4	-1.850646e+05	0	0	0	0	0	1	0
43	2	1	-1.850632e+05	0	0	0	0	0	1	0
44	2	3	-1.850618e+05	0	0	0	0	0	1	0
45	2	4	-1.850604e+05	0	0	0	0	0	1	0
46	2	2	-1.850590e+05	0	0	0	0	0	1	0
47	2	3	-1.850576e+05	0	0	0	0	0	1	0
48	2	1	-1.850562e+05	0	0	0	0	0	1	0
49	2	2	-1.850548e+05	0	0	0	0	0	1	0
50	2	4	-1.850534e+05	0	0	0	0	0	1	0
51	2	1	-1.850520e+05	0	0	0	0	0	1	0
52	2	3	-1.850506e+05	0	0	0	0	0	1	0
53	2	4	-1.850492e+05	0	0	0	0	0	1	0
54	2	2	-1.850478e+05	0	0	0	0	0	1	0
55	2	3	-1.850464e+05	0	0	0	0	0	1	0
56	2	1	-1.850450e+05	0	0	0	0	0	1	0
57	2	2	-1.850436e+05	0	0	0	0	0	1	0
58	2	4	-1.850422e+05	0	0	0	0	0	1	0
59	2	1	-1.850408e+05	0	0	0	0	0	1	0
60	2	3	-1.850394e+05	0	0	0	0	0	1	0
61	2	4	-1.850380e+05	0	0	0	0	0	1	0
62	2	2	-1.850366e+05	0	0	0	0	0	1	0
