Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.5642	3	4.4024	0.000000	1.944808e+00	3.425926e+02	1.497530e+01	87.3922	1	1
1	0	5.1316	3	1.0515	0.000000	5.069601e-02	9.853479e+00	1.526204e+00	63.3574	1	0
2	1	6.3316	4	1.0179	-0.290511	1.954140e+01	1.848076e+03	2.827419e+01	100.0000	0	1
2	0	7.5156	4	0.6012	0.000000	2.263864e+01	5.367530e+03	3.366435e+01	52.9598	1	0
3	1	8.2652	1	1.5183	-0.015706	9.197654e+00	9.203742e+02	1.944771e+01	77.4355	1	1
3	0	9.9488	1	0.6178	0.000000	4.952048e-15	9.221858e-13	6.184347e-15	54.2350	1	0
4	1	10.7320	2	0.8021	-0.107199	5.077579e+00	4.893324e+02	1.037065e+01	100.0000	1	1
4	0	11.6985	2	0.4182	0.000000	1.701382e+01	4.168553e+03	2.033294e+01	54.9737	1	0
5	1	12.4160	3	0.7849	-0.241888	8.006267e+00	7.534360e+02	2.321770e+01	100.0000	0	1
5	0	13.3662	3	0.5841	0.000000	1.187340e+01	2.748773e+03	2.340205e+01	48.0695	1	0
6	1	14.0995	1	1.1511	-0.042528	5.901254e-01	5.639775e+01	4.066770e+00	100.0000	1	1
6	0	15.3996	1	0.4850	0.000000	2.286478e+00	4.528718e+02	4.574913e+00	53.0182	1	0
7	1	16.1161	4	0.7852	-0.091606	2.533198e+00	2.470851e+02	8.866775e+00	100.0000	1	1
7	0	17.0497	4	0.3187	0.000000	1.017365e+01	2.517174e+03	1.366170e+01	52.3135	1	0
8	1	17.7662	2	0.7694	0.136104	3.692680e+00	3.601970e+02	1.335867e+01	100.0000	1	1
8	0	18.7004	2	0.3517	0.000000	1.274997e+01	3.202053e+03	1.416212e+01	51.5574	1	0
9	1	19.4172	3	0.6346	-0.026449	1.395730e+00	1.341726e+02	3.047770e+00	54.9543	1	1
9	0	20.2173	3	0.5676	0.000000	4.973214e+00	1.072550e+03	8.734973e+00	87.5202	1	0
10	1	20.9333	4	1.1351	-0.116799	3.595641e+00	3.906713e+02	1.111747e+01	100.0000	1	1
10	0	22.2174	4	0.3519	0.000000	1.099811e+01	2.174563e+03	1.336538e+01	55.9549	1	0
11	1	22.9342	1	1.3179	0.026660	4.991474e-01	5.164253e+01	3.050982e+00	92.3587	1	1
11	0	24.4179	1	0.5341	0.000000	5.616089e+00	1.059676e+03	1.489539e+01	89.6865	1	0
12	1	25.1348	2	0.8178	0.118431	4.938793e+00	4.928191e+02	1.211095e+01	94.0618	1	1
12	0	26.1015	2	0.4339	0.000000	7.347054e+00	1.771009e+03	1.190688e+01	53.8100	1	0
13	1	26.8178	1	1.0684	0.021161	2.499808e-01	2.403387e+01	2.034769e+00	100.0000	1	1
13	0	28.0510	1	0.4687	0.000000	1.152229e+01	2.356481e+03	2.283339e+01	71.7405	1	0
14	1	28.7675	3	0.7857	-0.046240	8.196138e-01	8.102459e+01	4.574362e+00	100.0000	1	1
14	0	29.7017	3	0.3510	0.000000	8.418883e+00	1.756999e+03	1.330823e+01	100.0000	1	0
15	1	30.4186	2	0.7672	0.000000	1.535670e-02	1.488488e+00	2.544022e-01	96.0626	1	1
15	0	31.3357	2	0.5351	0.000000	1.933675e+00	3.915820e+02	3.305751e+00	54.9155	1	0
16	1	32.0525	4	0.7851	0.000000	1.209147e-14	1.267356e-12	2.392735e-14	100.0000	1	1
16	0	33.0017	4	0.3678	0.000000	2.267437e-01	4.874324e+01	1.780356e+00	68.4118	1	0
17	3	39.3197	2	1.2514	0.523599	2.599503e+01	2.141978e+03	4.757339e+01	100.0000	0	1
17	0	40.7196	2	0.4183	0.000000	3.224659e+01	5.307944e+03	4.973581e+01	52.3344	1	0
18	3	41.3533	3	1.5686	-0.017603	1.786082e+01	2.083727e+03	3.676125e+01	65.1528	1	1
18	0	43.0702	3	0.6189	0.000000	1.133358e+01	2.240953e+03	4.284395e+01	86.1157	1	0
19	3	43.8376	4	0.8172	0.510407	2.482668e+01	2.158140e+03	4.710370e+01	100.0000	0	1
19	0	44.8042	4	0.5347	0.000000	2.439577e+01	4.480518e+03	3.587872e+01	52.1453	1	0
20	3	45.4870	1	0.7861	0.513073	2.541948e+01	2.140970e+03	4.745269e+01	100.0000	0	1
20	0	46.4210	1	0.6006	0.000000	2.119260e+01	3.885457e+03	3.106774e+01	52.4168	1	0
21	3	47.1712	4	0.7019	0.523599	2.737974e+01	2.443079e+03	5.151663e+01	100.0000	0	1
21	0	48.0381	4	0.6348	0.000000	3.128517e+01	6.307571e+03	4.816233e+01	51.9297	1	0
22	3	48.8374	3	0.6358	0.297956	2.009513e+01	1.852177e+03	2.830540e+01	100.0000	0	1
22	0	49.6218	3	0.7672	0.000000	2.886767e+01	5.847658e+03	4.516715e+01	78.6189	1	0
23	3	50.5386	1	1.4342	0.201848	1.621554e+01	1.665541e+03	3.383562e+01	58.3443	0	1
23	0	52.1215	1	0.4858	0.000000	1.008281e+01	1.842384e+03	1.469977e+01	54.8253	1	0
24	3	52.7720	2	0.5689	0.523599	2.740234e+01	2.360573e+03	4.973581e+01	100.0000	0	1
24	0	53.5048	2	0.4685	0.000000	4.054176e+01	9.112354e+03	6.380090e+01	50.5235	1	0
25	3	54.1386	4	0.6856	0.523599	2.420874e+01	2.246432e+03	4.846380e+01	100.0000	0	1
25	0	54.9889	4	0.5182	0.000000	3.062100e+01	5.176502e+03	4.780257e+01	52.2868	1	0
26	3	55.6719	2	0.7192	0.523599	2.479810e+01	2.586864e+03	4.948141e+01	100.0000	0	1
26	0	56.5556	2	0.4682	0.000000	3.040032e+01	5.727168e+03	5.066356e+01	50.0888	1	0
27	3	57.1886	1	1.2360	0.173330	1.693617e+01	1.777991e+03	3.701566e+01	68.9007	0	1
27	0	58.5725	1	0.4187	0.000000	1.700668e+01	3.634901e+03	2.672240e+01	53.5508	1	0
28	3	59.2062	3	0.6520	0.454376	2.457628e+01	2.106711e+03	4.187176e+01	100.0000	0	1
28	0	60.0056	3	0.7363	0.000000	2.229876e+01	3.981118e+03	3.100283e+01	51.5887	1	0
29	3	60.9064	2	0.5689	0.483937	2.563580e+01	2.182166e+03	4.474218e+01	100.0000	0	1
29	0	61.6401	2	0.4515	0.000000	1.588398e+01	3.231670e+03	2.559973e+01	53.1748	1	0
30	3	62.2735	3	0.8021	0.262356	1.317095e+01	1.380709e+03	2.566671e+01	100.0000	0	1
30	0	63.2402	3	0.6510	0.000000	1.793620e+01	3.535105e+03	3.025206e+01	77.2557	1	0
31	3	64.0405	4	1.3682	0.067943	1.282025e+01	1.428407e+03	2.562407e+01	69.3525	1	1
31	0	65.5739	4	0.6351	0.000000	1.343526e+01	3.359351e+03	3.767465e+01	95.1023	1	0
32	3	66.3577	1	1.0849	0.189991	1.346663e+01	1.288793e+03	2.493580e+01	47.2556	0	1
32	0	67.6079	1	0.3851	0.000000	1.497961e+01	3.262028e+03	2.013801e+01	52.4634	1	0
33	1	73.7923	1	1.6178	-0.087081	7.198768e+00	6.896420e+02	1.541973e+01	74.7674	1	1
33	0	75.5592	1	0.4173	0.000000	4.479338e+00	8.041385e+02	5.587940e+00	55.0379	1	0
34	1	76.2755	4	0.8015	-0.026172	2.584064e-01	2.510385e+01	2.543160e+00	100.0000	1	1
34	0	77.2427	4	0.3184	0.000000	3.400183e+00	6.838194e+02	4.828904e+00	54.6154	1	0
35	1	77.9589	2	0.9346	0.000000	1.254395e-14	1.235002e-12	2.626799e-14	100.0000	1	1
35	0	79.0422	2	0.3348	0.000000	2.207922e-14	4.527320e-12	2.791923e-14	54.5906	1	0
36	1	79.7592	3	0.7684	-0.124670	8.072964e+00	7.967984e+02	1.383513e+01	92.7698	1	1
36	0	80.6930	3	0.4009	0.000000	6.969065e+00	1.350944e+03	1.088108e+01	54.1737	1	0
37	1	81.4097	4	1.1682	-0.041860	1.207921e+00	1.209737e+02	4.066884e+00	100.0000	1	1
37	0	82.7262	4	0.3019	0.000000	6.300321e+00	1.312445e+03	9.629264e+00	54.3159	1	0
38	1	83.4426	3	0.6020	-0.050623	1.624684e+00	1.547982e+02	5.079823e+00	93.5683	1	1
38	0	84.2097	3	0.4024	0.000000	2.984697e+00	6.132802e+02	4.321584e+00	54.0651	1	0
39	1	84.9271	1	1.1852	0.000000	3.069826e-15	2.983318e-13	5.888370e-15	100.0000	1	1
39	0	86.2771	1	0.4685	0.000000	3.577010e+00	7.935222e+02	1.065822e+01	86.3279	1	0
40	1	86.9936	2	0.7355	0.000000	1.326342e-14	1.363199e-12	2.667301e-14	100.0000	1	1
40	0	87.8771	2	0.3688	0.000000	2.223571e-14	4.796995e-12	2.844887e-14	53.8915	1	0
41	1	88.5937	1	1.0518	0.000000	3.107061e-15	3.035313e-13	5.950681e-15	100.0000	1	1
41	0	89.7950	1	0.4509	0.000000	6.630681e+00	1.296086e+03	1.926022e+01	74.7123	1	0
