Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.650480	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.806201	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.833886	0.00	-0.51	0.00	-18.38	0.00	-663.84	0.00	0.00	-0.00	-0.51
1	1	1	3	0.849672	0.00	0.00	0.00	32.23	0.00	3206.07	0.00	0.00	-0.00	-0.00
1	1	1	3	0.866699	0.00	0.00	0.00	0.00	0.00	-1892.99	0.00	0.00	-0.00	-0.00
1	1	1	3	0.883794	0.00	-0.51	0.00	-29.76	0.00	-1741.08	0.00	0.00	-0.00	-0.51
1	1	1	3	0.900708	0.00	-0.51	0.00	0.00	0.00	1759.66	0.00	0.00	-0.00	-0.51
1	1	1	3	0.916271	0.00	0.00	0.00	32.69	0.00	2100.70	0.00	0.00	-0.00	-0.00
1	1	1	3	0.932919	0.00	0.00	0.00	0.00	0.00	-1963.90	0.00	0.00	-0.00	-0.00
1	1	1	3	0.949891	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.967111	0.00	-0.51	0.00	-29.55	0.00	-1715.85	0.00	0.00	-0.00	-0.51
1	1	1	3	0.983057	0.00	-0.51	0.00	0.00	0.00	1852.88	0.00	0.00	-0.00	-0.51
1	1	1	3	1.000154	0.00	0.00	0.00	29.76	0.00	1740.77	0.00	0.00	-0.00	-0.00
1	1	1	3	1.017302	0.00	0.00	0.00	0.00	0.00	-1735.56	0.00	0.00	-0.00	-0.00
1	1	1	3	1.033386	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.050326	0.00	-0.51	0.00	-30.04	0.00	-1773.17	0.00	0.00	-0.00	-0.51
1	1	1	3	1.067430	0.00	-0.51	0.00	0.00	0.00	1756.12	0.00	0.00	-0.00	-0.51
1	1	1	3	1.083569	0.00	0.00	0.00	31.53	0.00	1953.51	0.00	0.00	-0.00	-0.00
1	1	1	3	1.100681	0.00	0.00	0.00	0.00	0.00	-1842.39	0.00	0.00	-0.00	-0.00
1	1	1	3	1.116071	0.00	-0.51	0.00	-33.06	0.00	-2148.11	0.00	0.00	-0.00	-0.51
1	1	1	3	1.133040	0.00	-0.51	0.00	0.00	0.00	1948.31	0.00	0.00	-0.00	-0.51
1	1	1	3	1.150183	0.00	0.00	0.00	29.68	0.00	1731.19	0.00	0.00	-0.00	-0.00
1	1	1	3	1.167479	0.00	-0.51	0.00	-29.42	0.00	-3416.83	0.00	0.00	-0.00	-0.51
1	1	1	3	1.183629	0.00	-0.51	0.00	0.00	0.00	1821.56	0.00	0.00	-0.00	-0.51
1	1	1	3	1.200793	0.00	-0.51	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.51
1	1	1	3	1.217064	0.00	-0.51	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.51
1	1	1	3	1.234417	0.00	0.00	0.00	29.32	0.00	1689.85	0.00	0.00	-0.00	-0.00
1	1	1	3	1.250494	0.00	0.00	0.00	0.00	0.00	-1823.83	0.00	0.00	-0.00	-0.00
1	1	1	3	1.266440	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.283765	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.300997	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.317199	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.333179	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.350666	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.366533	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.383909	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.399919	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.416926	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.434171	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.450123	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.467364	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.483353	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.500528	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.517592	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.533212	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.550496	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.566492	0.00	-1.53	0.00	-95.42	0.00	-5965.10	0.00	0.00	-0.00	-1.53
1	1	1	3	1.584096	0.00	-3.31	0.00	-101.16	0.00	-326.15	0.00	0.00	-0.00	-3.31
1	1	1	3	1.599778	0.00	-10.18	0.00	-438.00	0.00	-21478.93	0.00	0.00	-0.00	-10.18
1	1	1	3	1.616851	0.00	-19.59	0.00	-551.33	0.00	-6638.01	0.00	0.00	-0.00	-19.59
1	1	1	3	1.633853	0.00	-25.19	0.00	-329.18	0.00	13065.85	0.00	0.00	-0.00	-25.19
1	1	1	3	1.650997	0.00	-33.84	0.00	-504.55	0.00	-10229.57	0.00	0.00	-0.00	-33.84
1	1	1	3	1.666935	0.00	-46.56	0.00	-798.09	0.00	-18416.84	0.00	0.00	-0.00	-46.56
1	1	1	3	1.684211	0.00	-55.46	0.00	-515.41	0.00	16362.59	0.00	0.00	-0.00	-55.46
1	1	1	3	1.700336	0.00	-66.40	0.00	-678.39	0.00	-10107.25	0.00	0.00	-0.00	-66.40
1	1	1	3	1.716541	0.00	-72.00	0.00	-345.38	0.00	20550.05	0.00	0.00	-0.00	-72.00
1	1	1	3	1.733680	0.00	-83.70	0.00	-682.79	0.00	-19686.04	0.00	0.00	-0.00	-83.70
1	1	1	3	1.750919	0.00	-98.71	0.00	-870.68	0.00	-10899.26	0.00	0.00	-0.00	-98.71
1	1	1	3	1.766989	0.00	-106.09	0.00	-459.10	0.00	25611.97	0.00	0.00	-0.00	-106.09
1	1	1	3	1.784307	0.00	-113.72	0.00	-440.70	0.00	1062.28	0.00	0.00	-0.00	-113.72
1	1	1	3	1.800420	0.00	-124.15	0.00	-647.36	0.00	-12826.38	0.00	0.00	-0.00	-124.15
1	1	1	3	1.817418	0.00	-129.24	0.00	-299.32	0.00	20474.73	0.00	0.00	-0.00	-129.24
1	1	1	3	1.833423	0.00	-130.00	0.00	-47.69	0.00	15722.69	0.00	0.00	-0.00	-130.00
1	1	1	3	1.850693	0.00	-130.00	0.00	0.00	0.00	2761.25	0.00	0.00	-0.00	-130.00
1	1	1	3	1.866887	0.00	-130.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-130.00
1	0	1	3	1.917757	0.00	-130.00	0.00	-67.79	0.00	-35.35	0.00	0.00	-0.00	-130.00
1	0	1	3	1.932554	0.00	-130.00	0.00	0.00	0.00	4581.18	0.00	0.00	-0.00	-130.00
1	0	1	3	1.950145	0.00	-130.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-130.00
1	0	1	3	1.967184	0.00	-130.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-130.00
1	0	1	3	1.983246	0.00	-130.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-130.00
1	0	1	3	2.000239	0.00	-130.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-130.00
1	0	1	3	2.017006	0.00	-130.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-130.00
1	0	1	3	2.034064	0.00	-130.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-130.00
1	0	1	3	2.049916	0.00	-130.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-130.00
1	0	1	3	2.067138	-0.76	-126.69	-44.32	192.17	-2573.16	11158.30	-0.76	0.00	-0.00	-126.69
1	0	1	3	2.082616	-2.54	-116.23	-115.02	675.56	-4568.14	31231.41	-2.54	0.00	-0.00	-116.23
1	0	1	3	2.100576	-3.81	-108.31	-70.73	441.30	2466.15	-13043.23	-3.81	0.00	-0.00	-108.31
1	0	1	3	2.116094	-4.32	-90.97	-32.63	1117.03	2455.21	43543.26	-4.32	0.00	-0.00	-90.97
1	0	1	3	2.132975	-4.32	-79.00	0.09	709.25	1938.29	-24157.17	-4.32	0.00	-0.00	-79.00
1	0	1	3	2.150146	-4.31	-53.76	0.43	1469.96	19.62	44302.03	-4.31	0.00	-0.00	-53.76
1	0	1	3	2.167002	-3.79	-33.62	30.79	1194.68	1800.98	-16330.60	-3.79	0.00	-0.00	-33.62
1	0	1	3	2.184029	-3.49	-16.68	17.95	994.79	-753.96	-11739.95	-3.49	0.00	-0.00	-16.68
1	0	1	3	2.199803	-2.33	-5.37	73.11	717.54	3496.87	-17575.91	-2.33	0.00	-0.00	-5.37
1	0	1	3	2.216182	-1.78	0.00	33.72	327.62	-2405.31	-23806.35	-1.78	0.00	-0.00	-0.00
1	0	1	3	2.233902	0.00	0.00	100.50	0.00	3768.49	-18488.46	0.00	0.00	-0.00	-0.00
1	0	1	3	2.249720	0.00	0.00	0.00	0.00	-6353.31	0.00	0.00	0.00	-0.00	-0.00
1	0	1	3	2.265955	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	0	1	3	2.283738	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	0	1	3	2.299660	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
2	1	0	4	2.617584	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.633893	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.650722	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.666601	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.682954	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.699836	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.716797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.734046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.749810	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.766776	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.783936	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.800726	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.817605	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.833769	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.850949	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.866658	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.883712	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.900830	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.916965	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.933711	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.950833	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.966470	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.983244	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	3.000298	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	3.017512	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	3.033435	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	3.050604	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	3.066549	1.02	0.00	63.82	0.00	4002.68	0.00	0.00	0.00	1.02	-0.00
2	1	1	4	3.083412	4.04	-0.50	179.17	-29.94	6840.56	-1775.48	0.00	-0.50	4.04	-0.00
2	1	1	4	3.100014	7.24	-2.41	192.83	-114.96	822.79	-5121.22	-0.00	-2.41	7.24	-0.00
2	1	1	4	3.116994	14.34	-3.46	418.31	-61.76	13278.88	3133.08	0.00	-3.46	14.34	-0.00
2	1	1	4	3.133466	17.84	-6.03	212.00	-155.61	-12525.01	-5697.46	0.00	-6.03	17.84	-0.00
2	1	1	4	3.150501	23.29	-10.25	319.95	-247.74	6337.04	-5407.99	-0.00	-10.25	23.29	-0.00
2	1	1	4	3.167269	30.49	-11.43	429.65	-70.85	6542.31	10549.09	-0.00	-11.43	30.49	-0.00
2	1	1	4	3.182711	37.40	-11.66	447.68	-14.53	1167.78	3647.50	0.00	-11.66	37.40	-0.00
2	1	1	4	3.200733	47.39	-11.85	553.99	-10.46	5898.67	225.52	0.00	-11.85	47.39	-0.00
2	1	1	4	3.216030	53.90	-11.92	425.94	-4.99	-8370.92	357.56	0.00	-11.92	53.90	-0.00
2	1	1	4	3.234035	64.36	-11.52	580.73	22.42	8596.86	1522.48	0.00	-11.52	64.36	-0.00
2	1	1	4	3.249591	73.30	-12.05	574.91	-34.08	-373.80	-3632.15	0.00	-12.05	73.30	-0.00
2	1	1	4	3.267351	86.16	-12.09	724.05	-2.43	8397.34	1782.02	0.00	-12.09	86.16	-0.00
2	1	1	4	3.283835	94.65	-13.84	514.87	-106.29	-12690.37	-6300.40	0.00	-13.84	94.65	-0.00
