::Queue started at 15-Feb-2013 12:22:49, with machine clock reading 732425.5661.::
::Experiment started at 15-Feb-2013 12:27:46, with machine clock reading 732722.2089.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
space	1465444.4067
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.013785 ::
cue	0.0138
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.7585 ::
trial	0.7585
::Onset of return expected: [N/A SELF PACED]  recorded: 1.6753 ::
return	1.6753
::Onset of trial expected: [N/A SELF PACED]  recorded: 2.5761 ::
trial	2.5761
::Onset of return expected: [N/A SELF PACED]  recorded: 4.2757 ::
return	4.2757
::Onset of trial expected: [N/A SELF PACED]  recorded: 4.9089 ::
trial	4.9089
::Onset of return expected: [N/A SELF PACED]  recorded: 5.9766 ::
return	5.9766
::Onset of trial expected: [N/A SELF PACED]  recorded: 6.7428 ::
trial	6.7428
::Onset of return expected: [N/A SELF PACED]  recorded: 7.7602 ::
return	7.7602
::Onset of trial expected: [N/A SELF PACED]  recorded: 8.4761 ::
trial	8.4761
::Onset of return expected: [N/A SELF PACED]  recorded: 9.2928 ::
return	9.2928
::Onset of trial expected: [N/A SELF PACED]  recorded: 10.0436 ::
trial	10.0436
::Onset of return expected: [N/A SELF PACED]  recorded: 11.0767 ::
return	11.0767
::Onset of trial expected: [N/A SELF PACED]  recorded: 11.7943 ::
trial	11.7943
::Onset of return expected: [N/A SELF PACED]  recorded: 12.81 ::
return	12.8100
::Onset of trial expected: [N/A SELF PACED]  recorded: 13.5276 ::
trial	13.5276
::Onset of return expected: [N/A SELF PACED]  recorded: 14.2445 ::
return	14.2445
::Onset of trial expected: [N/A SELF PACED]  recorded: 14.9615 ::
trial	14.9615
::Onset of return expected: [N/A SELF PACED]  recorded: 15.6942 ::
return	15.6942
::Onset of trial expected: [N/A SELF PACED]  recorded: 16.4116 ::
trial	16.4116
::Onset of return expected: [N/A SELF PACED]  recorded: 17.1781 ::
return	17.1781
::Onset of trial expected: [N/A SELF PACED]  recorded: 17.8117 ::
trial	17.8117
::Onset of return expected: [N/A SELF PACED]  recorded: 18.5777 ::
return	18.5777
::Onset of trial expected: [N/A SELF PACED]  recorded: 19.2109 ::
trial	19.2109
::Onset of return expected: [N/A SELF PACED]  recorded: 19.9283 ::
return	19.9283
::Onset of trial expected: [N/A SELF PACED]  recorded: 20.6451 ::
trial	20.6451
::Onset of return expected: [N/A SELF PACED]  recorded: 21.5449 ::
return	21.5449
::Onset of trial expected: [N/A SELF PACED]  recorded: 22.2625 ::
trial	22.2625
::Onset of return expected: [N/A SELF PACED]  recorded: 22.9795 ::
return	22.9795
::Onset of trial expected: [N/A SELF PACED]  recorded: 23.6953 ::
trial	23.6953
::Onset of return expected: [N/A SELF PACED]  recorded: 24.4121 ::
return	24.4121
::Onset of trial expected: [N/A SELF PACED]  recorded: 25.1289 ::
trial	25.1289
::Onset of return expected: [N/A SELF PACED]  recorded: 26.0129 ::
return	26.0129
::Onset of rest expected: [N/A SELF PACED]  recorded: 26.7624 ::
rest	26.7624
::Onset of cue expected: [N/A SELF PACED]  recorded: 31.7803 ::
cue	31.7803
::Onset of trial expected: [N/A SELF PACED]  recorded: 32.3303 ::
trial	32.3303
::Onset of return expected: [N/A SELF PACED]  recorded: 33.2307 ::
return	33.2307
::Onset of trial expected: [N/A SELF PACED]  recorded: 34.1309 ::
trial	34.1309
::Onset of return expected: [N/A SELF PACED]  recorded: 34.9298 ::
return	34.9298
::Onset of trial expected: [N/A SELF PACED]  recorded: 35.7977 ::
trial	35.7977
::Onset of return expected: [N/A SELF PACED]  recorded: 36.5982 ::
return	36.5982
::Onset of trial expected: [N/A SELF PACED]  recorded: 37.3974 ::
trial	37.3974
::Onset of return expected: [N/A SELF PACED]  recorded: 38.164 ::
return	38.1640
::Onset of trial expected: [N/A SELF PACED]  recorded: 38.798 ::
trial	38.7980
::Onset of return expected: [N/A SELF PACED]  recorded: 39.5484 ::
return	39.5484
::Onset of trial expected: [N/A SELF PACED]  recorded: 40.2485 ::
trial	40.2485
::Onset of return expected: [N/A SELF PACED]  recorded: 40.9648 ::
return	40.9648
::Onset of trial expected: [N/A SELF PACED]  recorded: 41.7987 ::
trial	41.7987
::Onset of return expected: [N/A SELF PACED]  recorded: 42.5653 ::
return	42.5653
::Onset of trial expected: [N/A SELF PACED]  recorded: 43.1982 ::
trial	43.1982
::Onset of return expected: [N/A SELF PACED]  recorded: 43.9153 ::
return	43.9153
