Event Number	Event Type	Onset
1	cue	0.0236234700
2	trial	0.7683510380
3	return	3.1559165260
4	trial	4.5555057770
5	return	5.4218441920
6	trial	6.3215942089
7	return	7.0379843169
8	trial	7.6711277179
9	return	9.3706307110
10	trial	10.1701879390
11	return	11.4532736359
12	trial	12.2200517079
13	return	12.9368494110
14	trial	13.6535424989
15	return	15.0372019510
16	trial	15.8373483480
17	return	16.5540887460
18	trial	17.2708037239
19	return	17.9876749500
20	trial	18.7210108039
21	return	19.8712470250
22	trial	20.6213324009
23	return	22.0048656350
24	trial	22.7216537780
25	return	23.4490654460
26	trial	24.1655153020
27	return	24.8819986919
28	trial	25.6056093459
29	return	26.4056734090
30	trial	27.1311621720
31	return	28.5307298730
32	trial	29.3137882800
33	return	30.1635778080
34	trial	30.8799101950
35	return	32.1461298720
36	trial	32.8732346829
37	return	34.3955382900
38	trial	35.1785149360
39	return	35.8950523650
40	trial	36.6113276960
41	return	37.3445070679
42	trial	37.9774390890
43	return	39.2598515960
44	trial	39.9763470020
45	return	40.7426945150
46	trial	41.4591446170
47	return	42.2587850310
48	trial	42.9752645530
49	return	44.8746596120
50	trial	45.6412808410
51	return	46.3580580130
52	trial	47.0747732690
53	return	48.0422066189
54	trial	48.7756763690
55	return	49.4924496920
56	trial	50.2424928080
57	return	51.1260156640
58	trial	51.8427488169
59	return	52.5596127220
60	trial	53.2931438960
61	return	54.1931768890
62	trial	54.9099444470
63	return	55.6267046760
64	trial	56.3547076370
65	return	57.6269689720
66	trial	58.3437247310
67	return	59.1606509460
68	trial	59.8606658280
69	return	60.5775887920
70	trial	61.3029623850
71	return	62.6777609630
72	trial	63.3946435850
73	return	64.8851331220
74	trial	65.6348624129
75	return	66.3508148220
76	trial	67.0778321880
77	return	68.5506397190
78	trial	69.2669464559
79	return	69.9830420730
80	trial	70.6165612150
81	return	71.6490073660
82	trial	72.3653962720
83	return	73.1485026530
84	trial	73.8649394499
85	return	74.6146203880
86	trial	75.3310662790
87	return	76.0474643480
88	trial	76.6972064630
89	return	77.4142287209
90	trial	78.0472844330
91	return	79.1964770720
92	trial	79.9464601530
93	return	81.0134194990
94	trial	81.7300478939
95	return	82.6803042090
96	trial	83.3975321520
97	return	84.1310560310
98	rest	85.4980068770
99	cue	97.5164550469
100	trial	98.0331598810
101	return	99.0403107300
102	trial	99.7566887420
103	return	100.7730623489
104	trial	101.4892021409
105	return	102.2165548659
106	trial	102.9334570629
107	return	104.3053453449
108	trial	105.1043743130
109	return	105.8208472560
110	trial	106.5372747210
111	return	107.2542204530
112	trial	107.9871893789
113	return	108.7870295100
114	trial	109.5027684250
115	return	110.4191983180
116	trial	111.1363838280
117	return	111.8526668710
118	trial	112.6189994080
119	return	113.4849207290
120	trial	114.2017022790
121	return	115.1690908520
122	trial	115.9026574109
123	return	116.6193749250
124	trial	117.2527208190
125	return	118.1528720930
126	trial	118.8697261170
127	return	119.5864106989
128	trial	120.3031719440
129	return	121.1533822430
130	trial	121.8701493100
131	return	122.5868718100
132	trial	123.2320909700
133	return	124.0205827539
134	trial	124.7372459070
135	return	125.5706747620
136	trial	126.2874750200
137	return	127.0142204739
138	trial	127.7306137030
139	return	128.4470351969
140	trial	129.1635391510
141	return	129.8879664090
142	trial	130.6047853630
143	return	131.6459959650
144	trial	132.3623338160
145	return	133.0788122730
146	trial	133.7119254110
147	return	134.5783759820
148	trial	135.3280509240
149	return	136.6942464419
150	trial	137.5440064190
151	return	138.3603440420
152	trial	139.0767341800
153	return	139.8598429570
154	trial	140.5763647939
155	return	141.2927000980
156	trial	142.0257325660
157	return	142.8754899610
158	trial	143.5920829549
159	return	144.6083210650
160	trial	145.3246207209
161	return	146.0411126190
162	trial	146.7575716770
163	return	147.4907621960
164	trial	148.1241993950
165	return	148.9076568569
166	trial	149.6244588450
167	return	150.5911557530
168	trial	151.3912876879
169	return	152.1080744190
170	trial	152.8248485760
171	return	153.7916701810
172	trial	154.6751401650
173	return	155.4086223739
174	trial	156.1253158600
175	return	156.9754344270
176	trial	157.6923348129
177	return	158.4202261920
178	trial	159.0533961930
179	return	159.9592506370
180	trial	160.6761339150
181	return	161.5595795680
182	trial	162.2856305140
183	return	163.0015972180
184	trial	163.7185380450
185	return	164.5100477490
186	trial	165.2268799359
187	return	165.9434817120
188	trial	166.5841673700
189	return	167.3838542179
190	trial	168.1104828770
191	return	168.8667511210
192	trial	169.5833138470
193	return	170.2996488230
194	trial	171.0160161180
195	return	171.7325156319
196	rest	172.4488903460
197	cue	184.4796673490
198	trial	184.9963916370
199	return	186.4132904600
200	trial	187.1301087320
201	return	188.0136389800
202	trial	188.7470851840
203	return	189.4637435050
204	trial	190.1805470650
205	return	190.9142025820
206	trial	191.5424019420
207	return	192.3308044940
208	trial	193.0476807359
209	return	193.8978234220
210	trial	194.6247517819
211	return	195.3411491240
212	trial	196.0575689650
213	return	196.7816698620
214	trial	197.4984766979
215	return	198.6901012580
216	trial	199.4730561820
217	return	200.2228662129
218	trial	200.8655329819
219	return	201.5822613100
220	trial	202.2991161740
221	return	203.0218826650
222	trial	203.7382685880
223	return	204.4549530339
224	trial	205.0879278560
225	return	205.9209288280
226	trial	206.5874126570
227	return	207.4871503030
228	trial	208.2367968330
229	return	208.9532155650
230	trial	209.6697293980
231	return	211.2857941580
232	trial	212.0022268230
233	return	212.7186666190
234	trial	213.4351727570
235	return	214.1515495220
236	trial	214.8013381669
237	return	216.2345678520
238	trial	216.9512568500
239	return	217.8347819099
240	trial	218.5515974989
241	return	219.3516836599
242	trial	220.1185545600
243	return	220.8353323920
244	trial	221.5520984629
245	return	222.2687755050
246	trial	223.0022751000
247	return	223.7357849970
248	trial	224.3691884130
249	return	225.1025697610
250	trial	225.8143730060
251	return	226.7362067370
252	trial	227.5195301609
253	return	228.2364159949
254	trial	228.9632094949
255	return	230.2035038770
256	trial	230.9201741500
257	return	231.6368361770
258	trial	232.3536892569
259	return	233.0705280050
260	trial	233.7949182680
261	return	234.5947018440
262	trial	235.5609094430
263	return	236.3106076369
264	trial	236.9545346020
265	return	237.6711145530
266	trial	238.3879518050
267	return	239.4762653650
268	trial	240.1927110740
269	return	241.1424941639
270	trial	241.8589489560
271	return	242.5752101759
272	trial	243.3083719360
273	return	244.1914196030
274	trial	244.9745086640
275	return	245.9236156290
276	trial	246.6400229600
277	return	247.3563226879
278	trial	248.0735024690
279	return	248.8065044790
280	trial	249.4397293520
281	return	250.2731494249
282	trial	250.9899697360
283	return	251.7734057590
284	trial	252.4900855500
285	return	253.2068969570
286	trial	253.9236400720
287	return	254.8571163050
288	trial	255.5739344060
289	return	256.7407422559
290	trial	257.4576045910
291	return	258.1743608270
292	trial	258.9031756580
293	return	259.6245706989
294	rest	260.3360301739
295	cue	272.3653465860
296	trial	272.8984111870
297	return	273.6643254079
298	trial	274.3807849890
299	return	275.6801933200
300	trial	276.6132719370
301	return	277.6128975389
302	trial	278.3293390360
303	return	279.1789893720
304	trial	279.8954985120
305	return	280.6126060300
306	trial	281.3283701789
307	return	282.3951974110
308	trial	283.1111105080
309	return	283.8276811220
310	trial	284.5444686010
311	return	285.8119043340
312	trial	286.5287161160
313	return	287.2787582380
314	trial	287.9955407440
315	return	288.7123842130
316	trial	289.5624653010
317	return	290.4126248390
318	trial	291.1294303830
319	return	291.8461228129
320	trial	292.5630301990
321	return	293.4631315550
322	trial	294.1079338660
323	return	295.4800461810
324	trial	296.1968590060
325	return	296.9135001460
326	trial	297.6971397899
327	return	298.4471216480
328	trial	299.0895372389
329	return	299.8059455380
330	trial	300.5224649999
331	return	301.2387398620
332	trial	301.9644203350
333	return	302.8550224319
334	trial	303.5715173640
335	return	304.3377654810
336	trial	305.0648459829
337	return	306.1538815830
338	trial	306.8703426480
339	return	308.2197729310
340	trial	308.9362554239
341	return	309.9193632330
342	trial	310.6357251630
343	return	311.3521350949
344	trial	312.0851667339
345	return	312.9514906569
346	trial	313.6680334860
347	return	314.3844387770
348	trial	315.1008358870
349	return	315.8339957600
350	trial	316.5503864510
351	return	317.4168128450
352	trial	318.1335930310
353	return	318.9836572950
354	trial	319.7005175870
355	return	320.4171390350
356	trial	321.1339135850
357	return	322.0841762050
358	trial	322.8008551310
359	return	323.8677125029
360	trial	324.5845147650
361	return	325.3013102210
362	trial	326.0304790040
363	return	326.7681484040
364	trial	327.4849405200
365	return	328.5350486110
366	trial	329.3018341390
367	return	330.1186209330
368	trial	330.8355267789
369	return	331.5619761900
370	trial	332.2783384800
371	return	333.0025546090
372	trial	333.7192459850
373	return	334.4360668800
374	trial	335.1529822830
375	return	335.9271172810
376	trial	336.6435688660
377	return	337.3600827550
378	trial	338.0765060270
379	return	339.0424354090
380	trial	339.7701436660
381	return	340.4869931610
382	trial	341.2036406390
383	return	341.9252180610
384	trial	342.6415197420
385	return	343.3581196230
386	trial	344.0744300639
387	return	345.0907182490
388	trial	345.8072338500
389	return	346.5236383060
390	trial	347.2400800980
391	return	348.2230597590
392	rest	348.9395429940
393	cue	360.9567888830
394	trial	361.4735083330
395	return	363.0070351519
396	trial	363.7237559630
397	return	364.6240603119
398	trial	365.3407391129
399	return	366.0669583350
400	trial	366.7834938590
401	return	367.7911339700
402	trial	368.5078697390
403	return	369.2247308730
404	trial	369.9414618540
405	return	370.8487642300
406	trial	371.5652174730
407	return	372.6982870550
408	trial	373.4145285280
409	return	374.1809781850
410	trial	374.8973896710
411	return	375.6256333620
412	trial	376.3423875070
413	return	377.2965870110
414	trial	378.0630742119
415	return	378.7794784160
416	trial	379.4958398340
417	return	380.5287997100
418	trial	381.2452255690
419	return	382.1117595240
420	trial	382.8281554340
421	return	383.5445313860
422	trial	384.2608975770
423	return	384.9940701210
424	trial	385.7105391410
425	return	386.5607098570
426	trial	387.2774263810
427	return	388.4109107950
428	trial	389.1277518210
429	return	390.1111087600
430	trial	390.8280058480
431	return	391.5446896739
432	trial	392.2615020170
433	return	393.3282941880
434	trial	394.0451907250
