Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.5496	4	1.0844	0.135171	2.236166e+01	2.113869e+03	2.957055e+01	9.0483	1	1
1	0	1.7658	4	0.5846	0.000000	6.719433e+00	1.343043e+03	1.963074e+01	63.7630	1	0
2	1	2.4989	1	0.4513	-0.046359	6.655492e+00	6.619659e+02	8.834370e+00	71.4139	0	1
2	0	3.2154	1	0.3515	0.000000	9.445089e+00	2.057502e+03	1.139399e+01	53.5834	1	0
3	1	3.8489	2	0.5679	0.114471	1.247415e+01	1.202331e+03	1.481950e+01	97.5705	1	1
3	0	4.5824	2	0.5011	0.000000	6.295625e+00	1.089360e+03	8.887070e+00	96.0192	1	0
4	1	5.2991	3	0.8014	-0.200479	1.075204e+01	1.041547e+03	2.509641e+01	90.0200	1	1
4	0	6.2325	3	0.4683	0.000000	9.313676e+00	1.659725e+03	1.704101e+01	55.0224	1	0
5	1	6.9494	4	0.6181	-0.146235	5.726869e+00	5.647423e+02	1.434620e+01	100.0000	1	1
5	0	7.6995	4	0.5680	0.000000	9.380919e+00	1.836420e+03	1.287037e+01	51.5649	1	0
6	1	8.4163	1	0.4845	-0.038247	4.405585e+00	4.439581e+02	6.022601e+00	36.9689	1	1
6	0	9.1330	1	0.3683	0.000000	6.445818e+00	1.427322e+03	1.035418e+01	66.2718	1	0
7	1	9.8664	3	1.2180	-0.021273	3.930604e+00	3.946306e+02	7.262247e+00	45.1205	1	1
7	0	11.2166	3	0.6846	0.000000	2.489329e+00	4.611118e+02	8.863453e+00	59.4227	1	0
8	1	12.0502	2	0.4678	-0.048091	4.568782e+00	4.367679e+02	4.806657e+00	47.9562	1	1
8	0	12.7669	2	0.6846	0.000000	1.405008e+01	2.685729e+03	2.397776e+01	98.0167	1	0
9	1	13.5837	3	0.8182	-0.241856	1.350870e+01	1.307511e+03	2.491275e+01	92.1132	0	1
9	0	14.5339	3	0.7848	0.000000	9.126235e+00	1.609218e+03	1.723426e+01	82.6972	1	0
10	1	15.4506	2	0.4678	0.016041	1.587935e+00	1.514714e+02	3.077279e+00	2.3658	1	1
10	0	16.1675	2	0.2345	0.000000	5.102686e+00	9.020210e+02	1.289959e+01	94.0072	1	0
11	1	16.8937	4	0.7681	0.008000	5.194670e+00	4.969061e+02	7.698740e+00	2.7666	1	1
11	0	17.8177	4	0.2681	0.000000	3.904773e+00	6.969529e+02	6.572437e+00	100.0000	1	0
12	1	18.5345	1	0.5011	0.019898	7.849975e-01	8.288606e+01	2.047906e+00	7.0403	1	1
12	0	19.2512	1	0.3682	0.000000	2.651280e+00	5.849425e+02	4.315638e+00	75.6945	1	0
13	1	19.9681	3	0.8515	-0.044825	6.256693e+00	6.141693e+02	9.235748e+00	49.6561	1	1
13	0	20.9682	3	0.5345	0.000000	4.962157e+00	9.026807e+02	1.061175e+01	61.1761	1	0
14	1	21.6924	4	0.6344	0.073168	1.446686e+01	1.619923e+03	1.984181e+01	13.6702	1	1
14	0	22.4755	4	0.5011	0.000000	3.170679e+00	6.288113e+02	4.320771e+00	57.3573	1	0
15	1	23.1919	2	0.4842	-0.005348	1.955549e+00	1.882189e+02	3.548737e+00	44.3374	1	1
