Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	4	0.518266	-11.07	10.51	-21.35	20.29	-41.20	39.14	0.00	10.51	-11.07	0.00
1	1	1	4	0.534306	-11.07	10.51	0.00	0.00	1331.30	-1264.74	0.00	10.51	-11.07	0.00
1	1	1	4	0.550413	-10.79	10.43	16.86	-5.23	1046.86	-324.60	0.00	10.43	-10.79	0.00
1	1	1	4	0.567086	-11.07	10.51	-16.29	5.05	-1988.50	616.58	0.00	10.51	-11.07	0.00
1	1	1	4	0.583866	-10.97	10.61	5.47	5.71	1296.75	39.01	0.00	10.61	-10.97	0.00
1	1	1	4	0.600447	-10.97	10.61	0.00	0.00	-329.78	-344.13	0.00	10.61	-10.97	0.00
1	1	1	4	0.617063	-11.07	10.51	-5.52	-5.76	-332.31	-346.77	0.00	10.51	-11.07	0.00
1	1	1	4	0.633766	-11.07	10.51	0.00	0.00	330.59	344.98	0.00	10.51	-11.07	0.00
1	1	1	4	0.650472	-11.07	10.51	0.00	0.00	0.00	0.00	0.00	10.51	-11.07	0.00
1	1	1	4	0.667240	-10.70	10.52	21.63	0.55	1290.07	32.80	0.00	10.52	-10.70	0.00
1	1	1	4	0.683798	-10.79	10.43	-5.50	-5.64	-1638.44	-374.02	0.00	10.43	-10.79	0.00
1	1	1	4	0.700524	-11.07	10.51	-16.24	5.04	-642.08	638.43	0.00	10.51	-11.07	0.00
1	1	1	4	0.717111	-11.07	10.51	0.00	0.00	979.06	-303.58	0.00	10.51	-11.07	0.00
1	1	1	4	0.733778	-11.07	10.51	0.00	0.00	0.00	0.00	0.00	10.51	-11.07	0.00
1	1	1	4	0.750480	-11.07	10.51	0.00	0.00	0.00	0.00	0.00	10.51	-11.07	0.00
1	1	1	4	0.767113	-11.07	10.51	0.00	0.00	0.00	0.00	0.00	10.51	-11.07	0.00
1	1	1	4	0.783741	-10.70	10.52	21.81	0.55	1311.84	33.35	0.00	10.52	-10.70	0.00
1	1	1	4	0.800539	-10.97	10.61	-16.13	5.15	-2258.58	273.61	0.00	10.61	-10.97	0.00
1	1	1	4	0.817093	-11.07	10.51	-5.54	-5.78	639.46	-660.56	0.00	10.51	-11.07	0.00
1	1	1	4	0.833819	-10.79	10.43	16.24	-5.04	1302.37	44.75	0.00	10.43	-10.79	0.00
1	1	1	4	0.850525	-10.79	10.43	0.00	0.00	-972.06	301.41	0.00	10.43	-10.79	0.00
1	1	1	4	0.867175	-10.70	10.52	5.47	5.61	328.50	337.08	0.00	10.52	-10.70	0.00
1	1	1	4	0.884031	-10.79	10.43	-5.40	-5.54	-645.00	-661.85	0.00	10.43	-10.79	0.00
1	1	1	4	0.900502	-10.79	10.43	0.00	0.00	328.00	336.57	0.00	10.43	-10.79	0.00
1	1	1	4	0.917227	-10.79	10.43	0.00	0.00	0.00	0.00	0.00	10.43	-10.79	0.00
1	1	1	4	0.933740	-10.79	10.43	0.00	0.00	0.00	0.00	0.00	10.43	-10.79	0.00
1	1	1	4	0.950531	-10.79	10.43	0.00	0.00	0.00	0.00	0.00	10.43	-10.79	0.00
1	1	1	4	0.967135	-10.52	10.34	16.32	-5.21	982.78	-313.63	0.00	10.34	-10.52	0.00
1	1	1	4	0.983798	-11.27	9.52	-44.86	-49.22	-3671.34	-2641.13	0.00	9.52	-11.27	0.00
1	1	1	4	1.000539	-11.27	9.52	0.00	0.00	2679.54	2939.94	0.00	9.52	-11.27	0.00
1	1	1	4	1.017133	-11.27	9.52	0.00	0.00	0.00	0.00	0.00	9.52	-11.27	0.00
1	1	1	4	1.033721	-11.00	9.45	16.58	-4.18	999.71	-252.28	0.00	9.45	-11.00	0.00
1	1	1	4	1.050544	-9.99	9.05	59.58	-23.89	2556.02	-1171.20	0.00	9.05	-9.99	0.00
1	1	1	4	1.067226	-7.74	7.74	135.40	-78.88	4544.74	-3296.48	0.00	7.74	-7.74	0.00
1	1	1	4	1.083913	-5.55	7.60	131.04	-7.89	-261.13	4254.35	0.00	7.60	-5.55	0.00
1	1	1	4	1.100421	-0.76	6.31	290.21	-78.08	9642.21	-4251.87	0.00	6.31	-0.76	0.00
1	1	1	4	1.117188	2.52	2.52	195.39	-226.41	-5655.04	-8846.59	0.00	2.52	2.52	-0.00
1	1	1	4	1.133856	7.57	1.01	302.78	-90.58	6442.56	8149.25	0.00	1.01	7.57	-0.00
1	1	1	4	1.150554	11.12	-1.26	213.03	-136.10	-5375.07	-2726.40	0.00	-1.26	11.12	-0.00
1	1	1	4	1.167287	14.81	-3.70	220.29	-145.71	433.88	-573.86	-0.00	-3.70	14.81	-0.00
1	1	1	4	1.183864	17.88	-3.97	185.34	-16.37	-2108.05	7802.09	0.00	-3.97	17.88	-0.00
1	1	1	4	1.200491	20.93	-5.42	183.65	-86.89	-101.77	-4241.39	0.00	-5.42	20.93	-0.00
1	1	1	4	1.217238	23.51	-7.51	153.55	-125.03	-1797.74	-2277.00	-0.00	-7.51	23.51	-0.00
1	1	1	4	1.233880	25.50	-9.53	119.69	-121.37	-2034.22	220.08	-0.00	-9.53	25.50	-0.00
1	1	1	4	1.250593	26.73	-11.25	73.68	-103.06	-2752.90	1095.14	-0.00	-11.25	26.73	-0.00
1	1	1	4	1.267241	27.30	-12.49	34.11	-74.33	-2377.20	1725.79	-0.00	-12.49	27.30	-0.00
1	1	1	4	1.283930	28.29	-12.76	59.78	-15.82	1538.59	3506.06	-0.00	-12.76	28.29	-0.00
1	1	1	4	1.300625	29.38	-12.82	64.88	-4.06	305.18	704.03	-0.00	-12.82	29.38	-0.00
1	1	1	4	1.317182	30.84	-13.91	88.45	-65.84	1423.79	-3731.49	-0.00	-13.91	30.84	-0.00
1	1	1	4	1.334018	31.94	-14.58	65.01	-39.56	-1392.11	1561.11	-0.00	-14.58	31.94	-0.00
