Event Number	Event Type	Onset
1	cue	0.0162378740
2	trial	0.5329548840
3	return	2.3901777920
4	trial	3.1334267570
5	return	3.8501036420
6	trial	4.5668674350
7	return	5.3058749250
8	trial	6.0223485140
9	return	7.1051992300
10	trial	8.0216184720
11	return	9.0713262800
12	trial	9.7877822420
13	return	10.5040349950
14	trial	11.2370881140
15	return	12.3535050150
16	trial	13.0699092970
17	return	14.1696084680
18	trial	14.8860512740
19	return	16.0023943750
20	trial	16.7189509060
21	return	17.6356826580
22	trial	18.3524267580
23	return	19.3858185240
24	trial	20.1526896240
25	return	20.9528514830
26	trial	21.6695821680
27	return	22.5531252560
28	trial	23.2697315620
29	return	24.4534158100
30	trial	25.1700777100
31	return	25.9369354080
32	trial	26.6538116840
33	return	27.4705079710
34	rest	28.1872403740
35	cue	40.2057080730
36	trial	40.7273841610
37	return	42.1102071540
38	trial	42.8932992610
39	return	43.6096116280
40	trial	44.2594554170
41	return	45.3758051270
42	trial	46.1420524220
43	return	47.1418724390
44	trial	47.8915726010
45	return	49.0745206980
46	trial	49.7909833770
47	return	50.7239414330
48	trial	51.7741833880
49	return	52.6743753820
50	trial	53.4079145230
51	return	54.5080229250
52	trial	55.2248006060
53	return	55.9581420200
54	trial	56.6748792090
55	return	57.8586365380
56	trial	58.5752944640
57	return	59.3587050480
58	trial	60.0754715860
59	return	61.4589706520
60	trial	62.1758427790
61	return	63.2758898970
62	trial	63.9927526700
63	return	64.7192916060
64	trial	65.4356687000
65	return	67.0933051790
66	trial	67.8101054470
67	return	68.6101957710
68	trial	69.3342855680
69	return	70.1673798200
70	trial	70.8838738590
71	return	71.7335315250
72	trial	72.6167619910
73	return	73.4829912610
74	trial	74.1993779710
75	return	75.4323958100
76	trial	76.1821032650
77	return	77.0984891450
78	trial	77.8149509810
79	return	79.0310960170
80	trial	79.7975328510
81	return	80.8471646740
82	trial	81.5637476020
83	return	82.3966636990
84	trial	83.1131289170
85	return	83.8961732950
86	trial	84.6126080900
87	return	85.5960268290
88	trial	86.3628713360
89	return	87.5797181100
90	trial	88.2964261550
91	return	89.1132824310
92	trial	89.8631335160
93	return	91.3302614250
94	trial	92.0470641560
95	return	93.2139443050
96	trial	94.0306822040
97	return	95.0308265740
98	trial	95.7476328680
99	return	96.8145156120
100	trial	97.5312092720
101	return	98.6314894720
102	trial	99.3482772490
103	return	100.2816337220
104	trial	101.0069927520
105	return	102.0732938070
106	trial	102.7987305850
107	return	103.5395201870
108	trial	104.2559482760
109	return	105.0724458790
110	trial	105.7887336080
111	return	106.7552579050
112	trial	107.4715877330
113	return	108.1995031710
114	trial	108.8330526470
115	return	109.6874157940
116	trial	110.4038712500
117	return	111.2202879160
118	trial	111.9367747080
119	return	112.9530214420
120	trial	113.6694669970
121	return	114.3858312990
122	trial	115.0856283180
123	return	116.0354507190
124	trial	116.7517439770
125	return	117.5680517140
126	trial	118.2845420870
127	return	119.2179009970
128	trial	119.9346433200
129	return	120.7514355500
130	trial	121.4682850640
131	return	122.5183873220
132	rest	123.2351451220
133	cue	135.2536575890
134	trial	135.7870491980
135	return	136.6451043200
136	trial	137.3614666640
137	return	138.5109984570
138	trial	139.3608813020
139	return	140.0772053750
140	trial	140.7211585320
141	return	141.5934637210
142	trial	142.3431681100
143	return	143.2928440960
144	trial	144.1925210070
145	return	145.8419827760
146	trial	146.6416602080
147	return	147.4081045970
148	trial	148.0413209670
149	return	148.8576656230
150	trial	149.5739320370
151	return	150.7069762350
152	trial	151.4235152010
153	return	152.3897777460
154	trial	153.2397669050
155	return	154.9901050930
156	trial	155.7235196210
157	return	156.4736322540
158	trial	157.1903626350
159	return	158.1406620440
160	trial	158.8573394420
161	return	159.5741299460
162	trial	160.2908135370
163	return	161.4910685650
164	trial	162.2078268980
165	return	163.7414628920
166	rest	164.4581434940
167	cue	176.4766080230
168	trial	176.9934494990
169	return	178.3476942730
170	trial	179.0641017680
171	return	179.9970968180
172	trial	180.7135649490
173	return	181.8298932450
174	trial	182.5463003880
175	return	183.3293683590
176	trial	184.0624709060
177	return	185.0454517640
178	trial	185.8118729250
179	return	186.5282586010
180	trial	187.1616369500
181	return	188.2451760510
182	trial	188.9619488460
183	return	190.1454325740
184	trial	190.8622310720
185	return	191.7456383810
186	trial	192.4626076320
187	return	193.1792433160
188	trial	193.8294283660
189	return	194.9128756440
190	trial	195.6296923690
191	return	196.3463437430
192	trial	196.9915097270
193	return	198.0800749520
194	trial	198.7968274580
195	return	199.7802372450
196	trial	200.6471339560
197	return	201.6139254130
198	trial	202.3896180750
199	return	203.4059068700
200	trial	204.1308804910
201	return	204.9053755020
202	trial	205.6218294420
203	return	206.7381844710
204	trial	207.4647739400
205	return	208.4708238290
206	trial	209.1873327830
207	return	209.9036738740
208	trial	210.6202281890
209	return	211.7697539560
210	trial	212.4862400120
211	return	213.3693113650
212	trial	214.1690167760
213	return	215.2018953250
214	trial	215.9184421570
215	return	216.8181101420
216	trial	217.5344777110
217	return	218.5342539170
218	trial	219.2505879620
219	return	219.9670002900
220	trial	220.6001756720
221	return	221.5503522390
222	trial	222.2670067780
223	return	222.9837713790
224	trial	223.6339288080
225	return	224.4340374480
226	trial	225.1507714920
227	return	226.0842612950
228	trial	226.8010826020
229	return	227.9512473620
230	trial	228.7680445860
231	return	229.5848068500
232	trial	230.3016332170
233	return	231.4850986830
234	trial	232.1295332300
235	return	232.9019928160
236	trial	233.6187845000
237	return	234.3522783660
238	trial	235.0690489380
239	return	235.9358036340
240	trial	236.6614317510
241	return	237.5111109090
242	trial	238.2361361990
243	return	239.2438578660
244	trial	239.9603139920
245	return	240.8599301980
246	trial	241.6430633600
247	return	242.6426926040
248	trial	243.3591866780
249	return	244.0870360040
250	trial	244.8585976810
251	return	245.8750497070
252	trial	246.5913674420
253	return	247.3078829410
254	trial	248.0577028800
255	return	249.0739253970
256	trial	249.7904307760
257	return	250.7067054300
258	trial	251.5231062340
259	return	252.3728580230
260	trial	253.0892184260
261	return	253.8723057700
262	trial	254.5887519640
263	return	255.4054709100
264	rest	256.1222859600
265	cue	268.1407698130
266	trial	268.6574140930
267	return	269.9409874600
268	trial	270.8245870770
269	return	271.5829488550
