Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.7987	3	3.9025	0.000000	9.744584e-15	1.105658e-12	1.747818e-14	100.0000	1	1
1	0	4.8643	3	1.2204	0.000000	7.464076e-03	1.424175e+00	2.543890e-01	97.7332	1	0
2	1	6.2326	4	1.9361	-0.057679	5.712239e+00	5.876182e+02	8.645968e+00	0.2472	1	1
2	0	8.3327	4	0.5857	0.000000	9.852292e+00	2.057646e+03	1.768513e+01	85.5040	1	0
3	1	9.0835	1	1.6522	-0.018664	3.679214e-01	4.368487e+01	2.702848e+00	8.4847	1	1
3	0	10.8836	1	0.5853	0.000000	3.883406e+00	7.327238e+02	8.044421e+00	83.0697	1	0
4	1	11.6344	2	1.4854	0.000000	8.865079e-02	8.841547e+00	2.544031e-01	0.0000	1	1
4	0	13.2838	2	0.5689	0.000000	7.264435e-02	1.624491e+01	2.544014e-01	75.6537	1	0
5	1	14.0172	3	1.1030	-0.055499	1.639884e+00	1.599444e+02	5.334240e+00	100.0000	1	1
5	0	15.2839	3	0.4861	0.000000	6.129795e+00	1.325600e+03	1.536869e+01	90.7086	1	0
6	1	16.0010	1	1.2026	0.002674	2.541874e-01	2.418503e+01	2.544031e-01	0.0000	1	1
6	0	17.3672	1	0.5529	0.000000	2.380321e-01	4.705196e+01	2.544024e-01	54.6976	1	0
7	1	18.0851	4	1.1848	0.162199	9.102082e+00	9.065328e+02	1.715220e+01	82.0686	1	1
7	0	19.4175	4	0.4870	0.000000	8.765147e+00	1.988076e+03	1.314488e+01	51.1555	1	0
8	1	20.1355	2	1.1018	0.000000	1.138640e-03	1.104856e-01	2.544031e-01	0.0000	1	1
8	0	21.3856	2	0.3519	0.000000	2.111394e-14	4.313276e-12	2.785692e-14	54.5455	1	0
9	1	22.1017	3	0.8024	-0.002645	1.493697e-01	1.436400e+01	2.544031e-01	0.0000	1	1
9	0	23.0521	3	0.4355	0.000000	2.452831e-01	5.222985e+01	2.544025e-01	52.5682	1	0
10	1	23.7690	4	0.9683	-0.018323	9.166707e-01	8.953534e+01	2.288247e+00	67.9394	1	1
10	0	24.8858	4	0.3517	0.000000	6.958366e+00	1.526138e+03	1.280725e+01	89.4552	1	0
11	1	25.6025	1	0.8859	0.002653	2.526889e-01	2.423530e+01	2.544031e-01	0.0000	1	1
11	0	26.6528	1	0.4180	0.000000	1.367412e-01	2.504693e+01	2.544023e-01	53.7498	1	0
12	1	27.3687	2	1.1363	-0.002618	2.541461e-01	2.469835e+01	2.544031e-01	0.0000	1	1
12	0	28.6526	2	0.4696	0.000000	2.355006e-14	5.697640e-12	3.003780e-14	53.4175	1	0
13	1	29.3695	1	0.7520	0.002653	2.491994e-01	2.399028e+01	2.544031e-01	0.0000	1	1
13	0	30.2703	1	0.4189	0.000000	2.544006e-01	5.125878e+01	2.544024e-01	54.5450	1	0
14	1	30.9872	3	0.8179	0.000000	1.293138e-02	1.235031e+00	2.544031e-01	0.3767	1	1
14	0	31.9532	3	0.4025	0.000000	1.554283e-14	3.064461e-12	1.958117e-14	54.8387	1	0
15	1	32.6708	2	1.1017	0.050489	1.606499e+00	1.559270e+02	4.827500e+00	100.0000	1	1
15	0	33.9371	2	0.3692	0.000000	2.907261e+00	5.642471e+02	4.822954e+00	70.9829	1	0
16	1	34.6542	4	0.9179	0.000000	1.227416e-14	1.274014e-12	2.442583e-14	100.0000	1	1
16	0	35.7207	4	0.3523	0.000000	2.124366e-14	4.988311e-12	2.909914e-14	50.5959	1	0
17	3	42.0212	2	5.2034	0.061018	9.491286e+00	1.179201e+03	1.771951e+01	54.0483	1	1
17	0	47.3891	2	1.3358	0.000000	5.599259e+00	1.111392e+03	1.840493e+01	96.5075	1	0
18	3	48.8888	3	2.7034	-0.031629	6.342641e+00	7.296931e+02	1.719405e+01	39.0931	1	1
18	0	51.8562	3	1.1021	0.000000	7.536858e+00	1.449763e+03	1.937795e+01	72.1380	1	0
19	3	53.1234	4	1.6860	0.088851	4.401552e+00	4.324157e+02	8.555642e+00	100.0000	1	1
19	0	54.9739	4	0.8526	0.000000	1.054684e+01	2.166131e+03	2.691000e+01	84.1366	1	0
20	3	55.9910	1	2.5527	-0.014858	3.704453e+00	3.674718e+02	1.229740e+01	27.2762	1	1
20	0	58.6908	1	1.2014	0.000000	6.022055e+00	1.104803e+03	1.940076e+01	77.0461	1	0
21	3	60.0406	4	1.6200	0.112592	1.030614e+01	1.095856e+03	2.518591e+01	51.2574	1	1
21	0	62.3418	4	0.9349	0.000000	6.163846e+00	1.218587e+03	1.544327e+01	84.9181	1	0
22	3	63.4240	3	2.2201	0.083756	2.563855e+01	4.195143e+03	5.040376e+01	54.6550	1	1
22	0	65.7916	3	0.8695	0.000000	5.824543e+00	1.153872e+03	1.037079e+01	100.0000	1	0
23	3	66.8258	1	1.9195	0.035847	8.984034e+00	9.658819e+02	2.009785e+01	42.8922	1	1
23	0	68.9091	1	1.1699	0.000000	3.604840e+00	7.012961e+02	1.477125e+01	67.4072	1	0
24	3	70.2425	2	1.8195	0.102409	3.926927e+00	4.539734e+02	9.752899e+00	100.0000	1	1
24	0	72.2268	2	0.8855	0.000000	8.495809e+00	1.671607e+03	2.219717e+01	94.2266	1	0
25	3	73.2592	4	1.9034	0.012710	1.223612e+01	1.528228e+03	2.508603e+01	61.0504	1	1
25	0	75.3266	4	0.9525	0.000000	8.056815e+00	1.727869e+03	1.492569e+01	86.9540	1	0
26	3	76.4432	2	1.7856	0.166569	1.313359e+01	1.520264e+03	2.483807e+01	53.0828	1	1
26	0	78.3770	2	0.9693	0.000000	8.050055e+00	1.503615e+03	1.236984e+01	100.0000	1	0
27	3	79.4949	1	1.7856	0.024252	1.028697e+01	1.290086e+03	2.734834e+01	54.2542	1	1
27	0	81.4440	1	0.8189	0.000000	5.096293e+00	9.548622e+02	1.663410e+01	76.7774	1	0
28	3	82.4106	3	2.1037	0.001616	1.159074e+01	1.318457e+03	2.585569e+01	52.6031	1	1
28	0	84.6779	3	0.5361	0.000000	4.176636e+00	8.295066e+02	8.199730e+00	86.8570	1	0
29	3	85.3951	2	1.4850	-0.027314	1.253037e+01	1.503517e+03	2.521968e+01	54.0294	1	1
29	0	87.0452	2	0.9348	0.000000	7.071657e+00	1.451456e+03	2.979247e+01	93.4140	1	0
30	3	88.1287	3	1.5865	-0.076643	1.375625e+01	1.510632e+03	3.475988e+01	64.6256	1	1
30	0	89.8794	3	0.5016	0.000000	4.919940e+00	9.807900e+02	9.759574e+00	74.9255	1	0
31	3	90.5963	4	1.4521	0.109092	4.330605e+00	4.498353e+02	1.401852e+01	54.4861	1	1
31	0	92.2127	4	0.5196	0.000000	7.924380e+00	1.523181e+03	1.996805e+01	98.3033	1	0
32	3	92.9299	1	1.4013	0.027603	5.614615e+00	6.690013e+02	1.510761e+01	42.7795	1	1
32	0	94.5468	1	0.6848	0.000000	6.105803e+00	1.118667e+03	2.385298e+01	73.8546	1	0
