Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.631217	-8.55	-11.40	-13.54	-18.06	-21.45	-28.61	-8.55	0.00	-0.00	-11.40
1	1	1	3	0.759479	-7.62	-10.50	7.24	6.98	162.05	195.20	-7.62	0.00	-0.00	-10.50
1	1	1	3	0.774941	-7.57	-10.22	3.40	17.91	-248.71	706.79	-7.57	0.00	-0.00	-10.22
1	1	1	3	0.791586	-7.38	-10.05	11.16	10.76	466.56	-429.60	-7.38	0.00	-0.00	-10.05
1	1	1	3	0.808247	-7.01	-9.69	22.36	21.49	671.85	644.43	-7.01	0.00	-0.00	-9.69
1	1	1	3	0.824896	-6.68	-9.61	19.54	4.87	-169.26	-998.35	-6.68	0.00	-0.00	-9.61
1	1	1	3	0.841580	-6.54	-9.70	8.56	-5.86	-657.72	-643.57	-6.54	0.00	-0.00	-9.70
1	1	1	3	0.858266	-6.35	-9.53	11.37	10.73	168.11	994.70	-6.35	0.00	-0.00	-9.53
1	1	1	3	0.874972	-6.35	-9.53	0.00	0.00	-680.60	-642.49	-6.35	0.00	-0.00	-9.53
1	1	1	3	0.891615	-6.35	-9.53	0.00	0.00	0.00	0.00	-6.35	0.00	-0.00	-9.53
1	1	1	3	0.908317	-6.16	-9.35	11.39	10.73	681.96	642.17	-6.16	0.00	-0.00	-9.35
1	1	1	3	0.925047	-5.97	-9.17	11.40	10.71	0.77	-0.96	-5.97	0.00	-0.00	-9.17
1	1	1	3	0.941546	-5.97	-9.17	0.00	0.00	-691.09	-649.06	-5.97	0.00	-0.00	-9.17
1	1	1	3	0.958289	-5.82	-9.26	9.08	-5.81	542.60	-346.98	-5.82	0.00	-0.00	-9.26
1	1	1	3	0.975003	-5.78	-8.99	2.35	16.54	-403.12	1337.36	-5.78	0.00	-0.00	-8.99
1	1	1	3	0.991576	-5.78	-8.99	0.00	0.00	-141.64	-998.16	-5.78	0.00	-0.00	-8.99
1	1	1	3	1.008215	-5.78	-8.99	0.00	0.00	0.00	0.00	-5.78	0.00	-0.00	-8.99
1	1	1	3	1.024902	-5.82	-9.26	-2.35	-16.57	-140.89	-992.92	-5.82	0.00	-0.00	-9.26
1	1	1	3	1.041678	-5.82	-9.26	0.00	0.00	140.14	987.63	-5.82	0.00	-0.00	-9.26
1	1	1	3	1.058299	-5.78	-8.99	2.36	16.63	142.01	1000.77	-5.78	0.00	-0.00	-8.99
1	1	1	3	1.074937	-5.97	-9.17	-11.50	-10.77	-833.09	-1647.15	-5.97	0.00	-0.00	-9.17
1	1	1	3	1.091627	-5.97	-9.17	0.00	0.00	689.06	645.36	-5.97	0.00	-0.00	-9.17
1	1	1	3	1.108219	-5.97	-9.17	0.00	0.00	0.00	0.00	-5.97	0.00	-0.00	-9.17
1	1	1	3	1.124953	-6.12	-9.07	-8.80	5.84	-526.18	348.72	-6.12	0.00	-0.00	-9.07
1	1	1	3	1.141659	-5.97	-9.17	8.82	-5.84	1054.99	-699.17	-5.97	0.00	-0.00	-9.17
1	1	1	3	1.158331	-6.12	-9.07	-8.84	5.86	-1058.99	701.82	-6.12	0.00	-0.00	-9.07
1	1	1	3	1.174888	-6.12	-9.07	0.00	0.00	533.73	-353.72	-6.12	0.00	-0.00	-9.07
1	1	1	3	1.191609	-6.07	-8.79	2.72	16.56	162.95	990.39	-6.07	0.00	-0.00	-8.79
1	1	1	3	1.208247	-5.97	-9.17	6.12	-22.51	203.90	-2348.35	-5.97	0.00	-0.00	-9.17
1	1	1	3	1.225016	-5.33	-9.55	38.04	-22.96	1903.57	-26.93	-5.33	0.00	-0.00	-9.55
1	1	1	3	1.242133	-3.60	-10.33	100.97	-45.38	3676.79	-1309.47	-3.60	0.00	-0.00	-10.33
1	1	1	3	1.258295	-1.51	-10.83	129.39	-31.27	1758.49	872.66	-1.51	0.00	-0.00	-10.83
1	1	1	3	1.274970	0.76	-10.91	136.32	-4.70	415.25	1593.34	0.76	0.00	-0.00	-10.91
1	1	1	3	1.291694	4.61	-9.92	230.33	59.43	5621.44	3834.71	4.61	0.00	-0.00	-9.92
1	1	1	3	1.308377	6.31	-10.45	101.98	-31.95	-7694.01	-5477.26	6.31	-0.00	-0.00	-10.45
1	1	1	3	1.324970	8.79	-10.55	149.46	-6.13	2862.05	1555.74	8.79	-0.00	-0.00	-10.55
1	1	1	3	1.342234	9.87	-10.62	62.54	-3.82	-5035.19	134.01	9.87	-0.00	-0.00	-10.62
1	1	1	3	1.358349	10.43	-10.79	34.42	-10.88	-1744.99	-438.06	10.43	-0.00	-0.00	-10.79
1	1	1	3	1.375041	10.61	-10.61	11.06	10.87	-1399.50	1302.86	10.61	-0.00	-0.00	-10.61
1	1	1	3	1.391675	10.61	-10.61	0.00	0.00	-664.66	-653.30	10.61	-0.00	-0.00	-10.61
1	1	1	3	1.408922	10.93	-12.06	18.56	-84.13	1075.83	-4878.12	10.93	-0.00	-0.00	-12.06
1	1	1	3	1.424961	11.04	-12.98	6.94	-57.23	-724.41	1677.54	11.04	-0.00	-0.00	-12.98
1	1	1	3	1.441599	11.00	-13.35	-2.85	-22.33	-588.26	2097.75	11.00	-0.00	-0.00	-13.35
1	1	1	3	1.458340	11.11	-13.26	6.91	5.75	583.36	1676.84	11.11	-0.00	-0.00	-13.26
1	1	1	3	1.475036	11.11	-13.26	0.00	0.00	-414.16	-344.11	11.11	-0.00	-0.00	-13.26
1	1	1	3	1.491757	11.00	-13.35	-6.92	-5.75	-414.03	-344.00	11.00	-0.00	-0.00	-13.35
1	1	1	3	1.508289	10.93	-14.38	-3.80	-61.87	188.84	-3394.75	10.93	-0.00	-0.00	-14.38
1	1	1	3	1.524986	10.80	-14.47	-7.76	-5.85	-237.21	3355.50	10.80	-0.00	-0.00	-14.47
1	1	1	3	1.541668	9.59	-15.91	-73.01	-85.79	-3911.58	-4792.07	9.59	-0.00	-0.00	-15.91
1	1	1	3	1.558374	8.44	-17.11	-68.56	-72.17	266.60	815.31	8.44	0.00	-0.00	-17.11
1	1	1	3	1.575243	7.50	-17.82	-55.64	-41.98	765.80	1789.30	7.50	0.00	-0.00	-17.82
1	1	1	3	1.592229	6.05	-18.63	-85.58	-47.81	-1762.89	-343.23	6.05	0.00	-0.00	-18.63
1	1	1	3	1.608373	4.92	-18.96	-69.66	-20.34	986.47	1702.05	4.92	0.00	-0.00	-18.96
1	1	1	3	1.625008	2.02	-19.48	-174.35	-31.51	-6293.43	-672.05	2.02	0.00	-0.00	-19.48
1	1	1	3	1.641780	-2.02	-19.48	-241.40	0.00	-3997.46	1879.03	-2.02	0.00	-0.00	-19.48
1	1	1	3	1.658584	-7.32	-18.17	-314.90	78.11	-4374.40	4648.28	-7.32	0.00	-0.00	-18.17
1	1	1	3	1.675442	-7.11	-18.25	12.13	-4.80	19398.38	-4918.09	-7.11	0.00	-0.00	-18.25
1	1	1	3	1.691695	-7.11	-18.25	0.00	0.00	-746.15	295.54	-7.11	0.00	-0.00	-18.25
1	1	1	3	1.708417	-7.52	-18.09	-24.29	9.78	-1452.46	584.67	-7.52	0.00	-0.00	-18.09
1	1	1	3	1.725071	-7.52	-18.09	0.00	0.00	1458.42	-587.07	-7.52	0.00	-0.00	-18.09
1	1	1	3	1.741699	-7.52	-18.09	0.00	0.00	0.00	0.00	-7.52	0.00	-0.00	-18.09
1	1	1	3	1.758334	-7.52	-18.09	0.00	0.00	0.00	0.00	-7.52	0.00	-0.00	-18.09
1	1	1	3	1.775031	-7.72	-18.01	-11.91	5.03	-713.59	301.18	-7.72	0.00	-0.00	-18.01
1	1	1	3	1.791712	-7.72	-18.01	0.00	0.00	714.23	-301.45	-7.72	0.00	-0.00	-18.01
1	1	1	3	1.808555	-7.72	-18.01	0.00	0.00	0.00	0.00	-7.72	0.00	-0.00	-18.01
1	1	1	3	1.825086	-7.72	-18.01	0.00	0.00	0.00	0.00	-7.72	0.00	-0.00	-18.01
1	1	1	3	1.841738	-7.91	-17.92	-11.78	5.12	-707.39	307.75	-7.91	0.00	-0.00	-17.92
1	1	1	3	1.858389	-8.48	-17.66	-34.33	15.82	-1354.16	642.41	-8.48	0.00	-0.00	-17.66
1	1	1	3	1.875152	-11.11	-16.14	-156.44	90.70	-7284.90	4466.74	-11.11	0.00	-0.00	-16.14
1	1	1	3	1.891761	-12.16	-15.35	-63.67	47.05	5585.88	-2628.02	-12.16	0.00	-0.00	-15.35
1	1	1	3	1.908553	-12.16	-15.35	0.00	0.00	3791.32	-2801.68	-12.16	0.00	-0.00	-15.35
1	1	1	3	1.925041	-12.16	-15.35	0.00	0.00	0.00	0.00	-12.16	0.00	-0.00	-15.35
1	1	1	3	1.941691	-12.16	-15.35	0.00	0.00	0.00	0.00	-12.16	0.00	-0.00	-15.35
1	1	1	3	1.958344	-12.16	-15.35	0.00	0.00	0.00	0.00	-12.16	0.00	-0.00	-15.35
1	1	1	3	1.975116	-12.29	-15.26	-7.24	5.78	-431.42	344.56	-12.29	0.00	-0.00	-15.26
1	1	1	3	1.991460	-12.29	-15.26	0.00	0.00	442.74	-353.61	-12.29	0.00	-0.00	-15.26
1	1	1	3	2.008427	-12.89	-14.41	-35.76	50.03	-2107.92	2948.49	-12.89	0.00	-0.00	-14.41
1	1	1	3	2.025055	-12.85	-13.40	2.32	60.41	2290.35	624.29	-12.85	0.00	-0.00	-13.40
