Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	4	0.517228	-0.76	-18.56	-1.47	-35.88	-2.85	-69.36	-0.00	-18.56	-0.76	0.00
1	1	1	4	0.533258	-0.76	-18.56	0.00	0.00	91.98	2238.10	-0.00	-18.56	-0.76	0.00
1	1	1	4	0.549299	-0.51	-18.56	15.83	-0.54	986.87	-33.80	-0.00	-18.56	-0.51	0.00
1	1	1	4	0.566026	-0.25	-18.32	15.20	14.90	-37.72	923.17	-0.00	-18.32	-0.25	0.00
1	1	1	4	0.582856	0.00	-18.32	15.11	-0.10	-5.08	-891.49	-0.00	-18.32	0.00	-0.00
1	1	1	4	0.599281	0.00	-18.06	0.00	15.49	-920.19	949.36	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.615949	0.25	-18.06	15.26	0.11	915.61	-922.79	-0.00	-18.06	0.25	-0.00
1	1	1	4	0.632671	0.25	-18.06	0.00	0.00	-912.67	-6.43	-0.00	-18.06	0.25	-0.00
1	1	1	4	0.649365	0.25	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.25	-0.00
1	1	1	4	0.665982	0.25	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.25	-0.00
1	1	1	4	0.682616	0.25	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.25	-0.00
1	1	1	4	0.699342	0.25	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.25	-0.00
1	1	1	4	0.715832	0.25	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.25	-0.00
1	1	1	4	0.732722	0.00	-18.06	-15.06	-0.11	-891.69	-6.28	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.748947	0.00	-18.06	0.00	0.00	928.22	6.54	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.765955	0.00	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.782618	0.00	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.799306	0.00	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.815972	0.00	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.832670	0.00	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.849275	0.00	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.865967	0.00	-18.06	0.00	0.00	0.00	0.00	-0.00	-18.06	0.00	-0.00
1	1	1	4	0.882692	-0.25	-18.06	-15.21	0.11	-909.32	6.40	-0.00	-18.06	-0.25	0.00
1	1	1	4	0.899351	-0.51	-18.06	-15.26	0.32	-3.14	12.92	-0.00	-18.06	-0.51	0.00
1	1	1	4	0.916036	-1.02	-18.03	-30.41	1.28	-907.92	57.67	-0.00	-18.03	-1.02	0.00
1	1	1	4	0.932641	-1.27	-18.02	-15.23	0.97	914.26	-19.24	-0.00	-18.02	-1.27	0.00
1	1	1	4	0.949359	-1.27	-18.02	0.00	0.00	910.94	-57.73	-0.00	-18.02	-1.27	0.00
1	1	1	4	0.965880	-1.27	-18.02	0.00	0.00	0.00	0.00	-0.00	-18.02	-1.27	0.00
1	1	1	4	0.982756	-1.27	-18.02	0.00	0.00	0.00	0.00	-0.00	-18.02	-1.27	0.00
1	1	1	4	0.999282	-1.27	-18.02	0.00	0.00	0.00	0.00	-0.00	-18.02	-1.27	0.00
1	1	1	4	1.015962	-1.27	-18.02	0.00	0.00	0.00	0.00	-0.00	-18.02	-1.27	0.00
1	1	1	4	1.032626	-1.02	-18.03	15.17	-0.96	910.54	-57.71	-0.00	-18.03	-1.02	0.00
1	1	1	4	1.049345	-1.02	-18.03	0.00	0.00	-907.63	57.52	-0.00	-18.03	-1.02	0.00
1	1	1	4	1.066010	-1.02	-18.03	0.00	0.00	0.00	0.00	-0.00	-18.03	-1.02	0.00
1	1	1	4	1.082764	-1.02	-18.03	0.00	0.00	0.00	0.00	-0.00	-18.03	-1.02	0.00
1	1	1	4	1.099432	-1.02	-18.03	0.00	0.00	0.00	0.00	-0.00	-18.03	-1.02	0.00
1	1	1	4	1.116059	-0.51	-18.06	30.51	-1.29	1835.17	-77.53	-0.00	-18.06	-0.51	0.00
1	1	1	4	1.132696	0.00	-18.06	30.57	-0.43	3.45	51.61	-0.00	-18.06	0.00	-0.00
1	1	1	4	1.149459	1.02	-18.03	60.61	1.71	1791.83	127.45	-0.00	-18.03	1.02	-0.00
1	1	1	4	1.166083	4.67	-17.71	220.02	19.45	9589.47	1067.20	-0.00	-17.71	4.67	-0.00
1	1	1	4	1.182678	5.16	-19.16	29.23	-87.40	-11497.00	-6438.56	-0.00	-19.16	5.16	-0.00
1	1	1	4	1.199344	6.73	-19.48	94.42	-18.88	3911.42	4111.14	-0.00	-19.48	6.73	-0.00
1	1	1	4	1.216042	7.81	-19.89	64.77	-24.80	-1775.64	-354.54	-0.00	-19.89	7.81	-0.00
1	1	1	4	1.232777	8.65	-20.10	49.76	-12.40	-897.11	741.12	-0.00	-20.10	8.65	-0.00
1	1	1	4	1.249449	9.62	-19.93	58.52	9.93	525.79	1339.56	-0.00	-19.93	9.62	-0.00
1	1	1	4	1.266048	10.44	-20.66	49.50	-43.92	-543.46	-3244.33	-0.00	-20.66	10.44	-0.00
1	1	1	4	1.282714	11.60	-21.20	69.62	-32.35	1206.81	694.20	-0.00	-21.20	11.60	-0.00
1	1	1	4	1.299569	12.20	-21.74	35.46	-32.12	-2026.82	13.62	-0.00	-21.74	12.20	-0.00
1	1	1	4	1.316071	12.57	-21.83	22.12	-5.16	-808.20	1633.80	-0.00	-21.83	12.57	-0.00
1	1	1	4	1.332789	12.73	-21.73	9.84	5.71	-734.47	650.42	-0.00	-21.73	12.73	-0.00
1	1	1	4	1.349403	12.89	-21.64	9.77	5.77	-4.09	3.56	-0.00	-21.64	12.89	-0.00
1	1	1	4	1.366011	13.12	-22.09	13.82	-27.43	243.70	-1999.19	-0.00	-22.09	13.12	-0.00
1	1	1	4	1.382670	13.35	-22.55	13.77	-27.34	-2.83	5.14	-0.00	-22.55	13.35	-0.00
