::Queue started at 24-Feb-2013 14:26:02, with machine clock reading 271338.8745.::
::Experiment started at 24-Feb-2013 14:27:25, with machine clock reading 271421.8399.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
space	542843.6653
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.032497 ::
cue	0.0325
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.79868 ::
trial	0.7987
::Onset of return expected: [N/A SELF PACED]  recorded: 4.8643 ::
return	4.8643
::Onset of trial expected: [N/A SELF PACED]  recorded: 6.2326 ::
trial	6.2326
::Onset of return expected: [N/A SELF PACED]  recorded: 8.3327 ::
return	8.3327
::Onset of trial expected: [N/A SELF PACED]  recorded: 9.0835 ::
trial	9.0835
::Onset of return expected: [N/A SELF PACED]  recorded: 10.8836 ::
return	10.8836
::Onset of trial expected: [N/A SELF PACED]  recorded: 11.6344 ::
trial	11.6344
::Onset of return expected: [N/A SELF PACED]  recorded: 13.2838 ::
return	13.2838
::Onset of trial expected: [N/A SELF PACED]  recorded: 14.0172 ::
trial	14.0172
::Onset of return expected: [N/A SELF PACED]  recorded: 15.2839 ::
return	15.2839
::Onset of trial expected: [N/A SELF PACED]  recorded: 16.001 ::
trial	16.0010
::Onset of return expected: [N/A SELF PACED]  recorded: 17.3672 ::
return	17.3672
::Onset of trial expected: [N/A SELF PACED]  recorded: 18.0851 ::
trial	18.0851
::Onset of return expected: [N/A SELF PACED]  recorded: 19.4175 ::
return	19.4175
::Onset of trial expected: [N/A SELF PACED]  recorded: 20.1355 ::
trial	20.1355
::Onset of return expected: [N/A SELF PACED]  recorded: 21.3856 ::
return	21.3856
::Onset of trial expected: [N/A SELF PACED]  recorded: 22.1017 ::
trial	22.1017
::Onset of return expected: [N/A SELF PACED]  recorded: 23.0521 ::
return	23.0521
::Onset of trial expected: [N/A SELF PACED]  recorded: 23.769 ::
trial	23.7690
::Onset of return expected: [N/A SELF PACED]  recorded: 24.8858 ::
return	24.8858
::Onset of trial expected: [N/A SELF PACED]  recorded: 25.6025 ::
trial	25.6025
::Onset of return expected: [N/A SELF PACED]  recorded: 26.6528 ::
return	26.6528
