Event Number	Event Type	Onset
1	cue	0.0324965010
2	trial	0.7986816690
3	return	4.8643497440
4	trial	6.2326081790
5	return	8.3327294630
6	trial	9.0835378980
7	return	10.8836329450
8	trial	11.6343688860
9	return	13.2837571060
10	trial	14.0171942590
11	return	15.2839438620
12	trial	16.0009782240
13	return	17.3671810560
14	trial	18.0851172840
15	return	19.4175061740
16	trial	20.1354525520
17	return	21.3855970200
18	trial	22.1017312710
19	return	23.0520711060
20	trial	23.7689555700
21	return	24.8857652500
22	trial	25.6025087730
23	return	26.6528153400
24	trial	27.3686898480
25	return	28.6525701270
26	trial	29.3695326560
27	return	30.2703096490
28	trial	30.9872114640
29	return	31.9531951170
30	trial	32.6708090830
31	return	33.9370501710
32	trial	34.6541604190
33	return	35.7206864380
34	rest	36.4707835110
35	cue	41.4884236340
36	trial	42.0211719750
37	return	47.3891174290
38	trial	48.8887834400
39	return	51.8561675680
40	trial	53.1233940050
41	return	54.9738501190
42	trial	55.9909985180
43	return	58.6908327860
44	trial	60.0406177750
45	return	62.3418316680
46	trial	63.4240498370
47	return	65.7916473990
48	trial	66.8257811920
49	return	68.9090572430
50	trial	70.2424970960
51	return	72.2267655670
52	trial	73.2592129740
53	return	75.3265968040
54	trial	76.4432200850
55	return	78.3770083320
56	trial	79.4949037640
57	return	81.4440176850
58	trial	82.4105816800
59	return	84.6779430440
60	trial	85.3950680470
61	return	87.0452174650
62	trial	88.1286786630
63	return	89.8794250330
64	trial	90.5962799000
65	return	92.2127189840
66	trial	92.9299187250
67	return	94.5468171590
68	rest	95.3965002030
