Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.5319	4	2.4352	0.042755	3.653925e+00	3.543231e+02	6.092871e+00	98.8367	1	1
1	0	3.1233	4	0.8512	0.000000	2.791662e+00	4.892527e+02	5.581679e+00	67.7567	1	0
2	1	4.1325	1	1.0513	-0.055645	7.311342e+00	7.806582e+02	1.354857e+01	85.9779	1	1
2	0	5.3392	1	0.6009	0.000000	5.529210e+00	1.033691e+03	9.263246e+00	82.4459	1	0
3	1	6.0889	2	1.6675	0.013297	6.399553e+00	6.982304e+02	1.233974e+01	91.2637	1	1
3	0	7.9050	2	0.4511	0.000000	1.455693e+00	2.696645e+02	1.780553e+00	55.3442	1	0
4	1	8.6214	3	1.9171	0.013297	1.480095e+00	2.491646e+02	7.483884e+00	0.8891	1	1
4	0	10.6707	3	0.9008	0.000000	3.811902e+00	6.865730e+02	1.078341e+01	88.1178	1	0
5	1	11.7036	4	2.3003	-0.034745	3.925132e+00	3.849582e+02	7.354765e+00	96.9463	1	1
5	0	14.1363	4	0.9173	0.000000	6.587883e+00	1.151585e+03	1.478360e+01	62.8085	1	0
6	1	15.1859	1	1.3339	-0.063743	4.727599e+00	4.977838e+02	1.059120e+01	84.7784	1	1
6	0	16.6686	1	0.6346	0.000000	7.401326e+00	1.368283e+03	1.438229e+01	75.8939	1	0
7	1	17.4518	3	1.8174	0.045423	6.089214e+00	6.983774e+02	1.290453e+01	54.2550	1	1
7	0	19.4181	3	0.9679	0.000000	3.506309e+00	6.362822e+02	7.442306e+00	92.4261	1	0
8	1	20.5182	2	1.1513	-0.010666	5.825108e+00	6.060186e+02	1.022209e+01	56.7136	1	1
8	0	21.8184	2	0.5513	0.000000	9.051210e-01	1.596090e+02	1.271354e+00	88.7353	1	0
9	1	22.5353	3	1.6520	0.010666	1.591883e+00	1.545349e+02	1.035382e+01	1.3007	1	1
9	0	24.3356	3	0.9013	0.000000	2.474393e+00	4.450151e+02	6.523343e+00	89.2687	1	0
10	1	25.3857	2	1.3179	0.010610	6.393795e+00	6.654934e+02	1.356878e+01	48.5973	1	1
10	0	26.8360	2	0.5178	0.000000	1.038137e+00	1.844477e+02	2.023435e+00	100.0000	1	0
11	1	27.5527	4	2.2683	0.018714	3.454276e+00	4.095634e+02	9.359246e+00	92.9183	1	1
11	0	29.9698	4	0.6844	0.000000	2.019856e+00	3.586288e+02	3.745637e+00	100.0000	1	0
12	1	30.7865	1	1.2679	-0.005305	7.478586e+00	7.388158e+02	1.384554e+01	60.7294	1	1
12	0	32.1867	1	0.7180	0.000000	2.672285e+00	4.720672e+02	9.064268e+00	75.4301	1	0
13	1	33.0535	3	1.7347	0.026732	3.314477e+00	4.108031e+02	5.490076e+00	45.6094	1	1
13	0	34.9371	3	0.9179	0.000000	8.782170e-01	1.567289e+02	4.825668e+00	63.6614	1	0
14	1	35.9955	4	1.8343	-0.010638	1.041331e+00	1.069463e+02	5.545547e+00	0.7363	1	1
14	0	37.9782	4	0.9344	0.000000	3.775774e+00	6.649230e+02	1.058820e+01	66.2340	1	0
15	1	39.0611	2	1.3173	-0.066746	3.641790e+00	4.614778e+02	6.597298e+00	97.1687	1	1
15	0	40.5106	2	0.5343	0.000000	6.138552e+00	1.127307e+03	6.347568e+00	55.3044	1	0
16	1	41.2271	1	1.2511	0.002674	1.475971e+00	1.574867e+02	1.073205e+01	4.6476	1	1
16	0	42.6266	1	0.7179	0.000000	1.322734e+00	2.419760e+02	3.802106e+00	86.5086	1	0
17	3	56.0404	3	2.1514	0.012220	1.050178e+01	1.732358e+03	2.702225e+01	61.2587	1	1
17	0	58.3241	3	0.9179	0.000000	2.691214e+00	4.841269e+02	1.109199e+01	88.9658	1	0
18	3	59.3909	2	1.1346	0.024252	1.076506e+01	1.047126e+03	2.231504e+01	70.2808	1	1
18	0	60.6577	2	0.7345	0.000000	5.788928e+00	1.009629e+03	1.579309e+01	82.0141	1	0
19	3	61.5245	4	2.5015	0.032532	5.562816e+00	7.035256e+02	1.140550e+01	43.1962	1	1
19	0	64.1583	4	1.1512	0.000000	4.362533e+00	7.782918e+02	1.103539e+01	92.5891	1	0
20	3	65.4418	1	1.6013	0.073914	5.592030e+00	5.655305e+02	1.299150e+01	2.4674	1	1
20	0	67.1755	1	0.9682	0.000000	7.683358e+00	1.347619e+03	2.220802e+01	86.6217	1	0
21	3	68.2922	2	2.0848	-0.030433	5.467506e+00	7.141327e+02	1.659450e+01	1.9590	1	1
21	0	70.5338	2	0.6845	0.000000	7.203649e+00	1.257019e+03	2.052743e+01	78.0964	1	0
22	3	71.3670	4	1.9835	0.018091	7.648043e+00	8.926686e+02	1.329726e+01	42.9483	1	1
22	0	73.4829	4	1.1507	0.000000	3.572795e+00	6.390048e+02	9.593221e+00	93.9393	1	0
23	3	74.7825	1	1.7000	0.057814	1.065598e+01	1.093386e+03	2.210502e+01	46.2101	1	1
23	0	76.6313	1	1.1173	0.000000	7.256469e+00	1.313950e+03	2.190651e+01	86.6530	1	0
24	3	77.8809	3	3.0003	0.018091	9.985626e+00	1.294041e+03	2.373398e+01	48.6197	1	1
24	0	81.0131	3	1.2344	0.000000	2.703429e+00	4.920629e+02	7.975019e+00	81.5177	1	0
25	3	82.3959	1	1.6505	0.026315	1.011678e+01	1.171608e+03	1.539351e+01	54.5228	1	1
25	0	84.1953	1	0.7677	0.000000	6.902184e+00	1.210227e+03	2.342722e+01	85.3332	1	0
26	3	85.1116	3	2.4678	0.007041	8.168137e+00	9.824930e+02	1.588923e+01	55.2639	1	1
26	0	87.7280	3	1.1015	0.000000	2.863492e+00	5.098766e+02	6.126382e+00	91.4399	1	0
27	3	88.9615	2	1.4519	0.046325	4.299507e+00	4.363456e+02	1.535998e+01	2.1806	1	1
27	0	90.5457	2	0.9345	0.000000	6.649117e+00	1.243056e+03	1.980501e+01	77.6384	1	0
28	3	91.6291	4	2.1181	0.049313	4.644574e+00	5.315206e+02	8.049891e+00	72.9847	1	1
28	0	93.8961	4	1.1346	0.000000	3.994763e+00	7.106111e+02	5.976649e+00	98.3421	1	0
29	3	95.1631	3	2.2514	0.033641	1.189221e+01	1.199031e+03	1.819176e+01	67.9482	1	1
29	0	97.5467	3	0.9678	0.000000	3.688995e+00	6.560483e+02	8.101397e+00	61.2554	1	0
30	3	98.6469	2	1.7847	0.085947	5.627336e+00	5.826207e+02	1.116413e+01	4.7788	1	1
30	0	100.5806	2	0.6345	0.000000	6.415221e+00	1.160312e+03	8.976227e+00	55.0547	1	0
31	3	101.3640	1	2.2681	0.062081	7.098665e+00	7.016480e+02	1.650930e+01	68.9410	1	1
31	0	103.7893	1	1.0011	0.000000	5.872350e+00	1.084110e+03	7.330706e+00	90.6299	1	0
32	3	104.9384	4	1.9004	0.024438	6.538240e+00	6.433455e+02	8.919565e+00	16.9666	1	1
32	0	106.9710	4	1.1008	0.000000	3.202072e+00	5.749193e+02	4.409931e+00	61.3221	1	0
33	3	108.2206	2	1.5677	-0.012890	4.838730e+00	5.677011e+02	8.115981e+00	52.0260	1	1
33	0	109.9366	2	0.4846	0.000000	3.049922e+00	5.373510e+02	9.191820e+00	87.3524	1	0
34	3	110.6532	1	2.3507	0.022194	6.725868e+00	6.502173e+02	1.399366e+01	52.1796	1	1
34	0	113.1522	1	1.0677	0.000000	5.322057e+00	9.640870e+02	1.725454e+01	81.1573	1	0
35	3	114.3685	4	1.9337	0.023509	3.397510e+00	3.318791e+02	1.013944e+01	2.5050	1	1
35	0	116.4512	4	0.8841	0.000000	1.957082e+00	3.581217e+02	6.321060e+00	97.2155	1	0
36	3	117.4675	3	2.4834	0.072868	9.203884e+00	9.479164e+02	2.259674e+01	41.9161	1	1
36	0	120.0834	3	1.2177	0.000000	4.942894e+00	8.800186e+02	6.761965e+00	83.1111	1	0
37	3	121.4332	2	1.4518	-0.000142	3.766014e+00	3.965098e+02	1.268574e+01	0.8881	1	1
37	0	123.0673	2	0.6679	0.000000	4.561770e+00	8.205375e+02	1.560391e+01	81.5970	1	0
38	3	123.8840	1	1.7013	0.043164	4.364210e+00	4.335981e+02	1.195692e+01	0.0260	1	1
38	0	125.7344	1	0.7844	0.000000	4.655060e+00	8.491429e+02	7.438038e+00	83.1810	1	0
39	3	126.6512	3	2.6849	-0.004973	8.399786e+00	1.070487e+03	2.142790e+01	38.5900	1	1
39	0	129.4849	3	1.3513	0.000000	3.941500e+00	7.059819e+02	6.242418e+00	60.0006	1	0
40	3	130.9852	4	2.0846	0.013110	8.222370e+00	9.345772e+02	2.128950e+01	31.7052	1	1
40	0	133.2022	4	1.0347	0.000000	2.560676e+00	4.519601e+02	5.625736e+00	86.2530	1	0
41	3	134.3857	2	1.7513	0.021469	1.897807e+00	2.294456e+02	4.379916e+00	78.2307	1	1
41	0	136.2693	2	0.7678	0.000000	4.275647e+00	7.857344e+02	1.448849e+01	76.0766	1	0
42	3	137.1861	3	2.5681	-0.002145	8.006643e+00	8.094356e+02	1.912833e+01	27.6921	1	1
42	0	139.9105	3	1.5005	0.000000	2.293010e+00	4.157873e+02	8.520963e+00	60.7989	1	0
43	3	141.5432	4	2.1338	0.037181	5.857057e+00	6.455258e+02	1.655230e+01	29.7165	1	1
43	0	143.8257	4	0.9507	0.000000	2.562547e+00	4.622140e+02	4.670387e+00	92.6880	1	0
44	3	144.9088	1	1.6505	0.063156	4.339981e+00	4.449563e+02	1.235052e+01	1.6494	1	1
44	0	146.6916	1	0.9339	0.000000	4.985211e+00	9.187151e+02	7.209639e+00	97.4828	1	0
45	3	147.7578	2	1.5676	-0.023868	3.662889e+00	3.861051e+02	1.446806e+01	2.7490	1	1
45	0	149.4739	2	0.6509	0.000000	7.639663e+00	1.337831e+03	2.190876e+01	83.7773	1	0
46	3	150.2569	1	1.7509	0.047334	5.046185e+00	5.151621e+02	1.394752e+01	2.8443	1	1
46	0	152.1563	1	0.8509	0.000000	4.710277e+00	8.613670e+02	6.764720e+00	55.2232	1	0
47	3	153.1560	3	2.5506	-0.000142	7.591269e+00	9.383812e+02	1.519678e+01	38.9908	1	1
47	0	155.8390	3	1.3513	0.000000	1.725811e+00	3.087307e+02	5.035245e+00	62.8121	1	0
48	3	157.3226	4	1.9847	-0.002982	3.981007e+00	4.221500e+02	1.093835e+01	29.8181	1	1
48	0	159.4562	4	0.9677	0.000000	2.027622e+00	3.571806e+02	4.910624e+00	92.4938	1	0
49	3	160.5731	3	2.0680	0.049370	7.122242e+00	7.032292e+02	1.524645e+01	77.8724	1	1
49	0	162.7734	3	1.2512	0.000000	4.065246e+00	7.118002e+02	5.431626e+00	90.7458	1	0
50	3	164.1569	2	1.1680	-0.044506	5.827708e+00	6.562239e+02	1.497635e+01	0.8891	1	1
50	0	165.4737	2	0.7679	0.000000	6.842015e+00	1.260576e+03	1.677352e+01	76.9698	1	0
51	3	166.3739	4	2.5182	-0.025815	4.028893e+00	4.954390e+02	1.073964e+01	86.7305	1	1
51	0	169.0410	4	1.0179	0.000000	3.706289e+00	6.509943e+02	9.746335e+00	77.0651	1	0
52	3	170.1912	1	2.0347	0.017402	4.118590e+00	4.292003e+02	1.271880e+01	3.4913	1	1
52	0	172.3828	1	0.9678	0.000000	3.375962e+00	5.976968e+02	9.787908e+00	87.1169	1	0
53	3	173.4993	4	1.9170	-0.004312	1.692608e+00	1.674294e+02	1.053255e+01	2.9877	1	1
53	0	175.5484	4	1.0174	0.000000	1.299130e+00	2.302886e+02	3.359670e+00	59.1661	1	0
54	3	176.7147	3	1.9338	0.047267	6.867584e+00	7.159976e+02	1.373180e+01	37.4794	1	1
54	0	178.7807	3	1.4006	0.000000	5.153786e+00	9.399697e+02	1.325242e+01	64.1393	1	0
55	3	180.3136	2	1.2840	0.021469	4.019601e+00	4.269757e+02	1.340192e+01	3.7855	1	1
55	0	181.7298	2	0.6342	0.000000	3.163887e+00	5.503444e+02	6.266135e+00	100.0000	1	0
56	3	182.5128	1	1.5838	0.021268	6.050067e+00	6.480313e+02	1.400564e+01	74.2349	1	1
56	0	184.2289	1	0.6174	0.000000	4.891439e+00	8.631953e+02	1.393422e+01	88.9531	1	0
57	3	184.9787	3	2.0836	0.046181	6.559935e+00	7.642137e+02	1.634809e+01	42.9317	1	1
57	0	187.1947	3	1.2338	0.000000	3.898915e+00	7.014016e+02	8.967549e+00	95.5602	1	0
58	3	188.5610	4	2.4677	-0.027177	3.820291e+00	4.644012e+02	1.292908e+01	0.8929	1	1
58	0	191.1611	4	1.0346	0.000000	3.907433e+00	7.010370e+02	6.251649e+00	66.3110	1	0
59	3	192.3445	1	1.5514	0.065299	3.601603e+00	3.682837e+02	9.607365e+00	1.0513	1	1
59	0	194.0448	1	1.0179	0.000000	6.027351e+00	1.108976e+03	8.373426e+00	79.7367	1	0
60	3	195.1950	2	1.8012	-0.043986	5.135629e+00	5.841778e+02	1.246999e+01	6.5065	1	1
60	0	197.1286	2	0.6180	0.000000	3.468204e+00	6.483932e+02	1.047278e+01	68.1294	1	0
61	3	197.8954	3	2.2514	0.050397	6.783349e+00	7.164045e+02	1.616116e+01	27.7580	1	1
61	0	200.2791	3	1.2013	0.000000	4.341536e+00	7.776216e+02	1.229352e+01	60.6754	1	0
62	3	201.6126	4	2.0682	-0.019919	2.800297e+00	3.167716e+02	1.007835e+01	3.6029	1	1
62	0	203.8296	4	1.0847	0.000000	2.468300e+00	4.376549e+02	6.464612e+00	70.6078	1	0
63	3	205.0632	2	1.6179	0.016046	1.609925e+00	1.857593e+02	4.424479e+00	14.5059	1	1
63	0	206.8380	2	0.5508	0.000000	6.479779e+00	1.184163e+03	1.534020e+01	72.5642	1	0
64	3	207.5543	1	1.8005	0.050498	3.884097e+00	3.944232e+02	1.601984e+01	0.4846	1	1
64	0	209.4870	1	0.7846	0.000000	4.634915e+00	8.487359e+02	6.913172e+00	62.2780	1	0
65	1	222.9826	2	1.1847	-0.144867	9.257061e+00	9.751283e+02	1.384561e+01	100.0000	1	1
65	0	224.2994	2	0.8679	0.000000	1.068161e+01	2.006087e+03	1.360860e+01	52.4666	1	0
66	1	225.2997	3	2.1346	-0.005333	6.246280e+00	6.693837e+02	1.264462e+01	9.4481	1	1
66	0	227.5666	3	1.4680	0.000000	4.255431e+00	7.649955e+02	1.153388e+01	72.7325	1	0
67	1	229.1669	1	1.2846	-0.007936	2.557261e+00	3.198612e+02	4.550192e+00	54.8086	1	1
67	0	230.6005	1	0.6010	0.000000	4.307931e-01	7.858752e+01	2.535799e+00	93.4979	1	0
68	1	231.3338	4	2.5515	-0.095707	7.905821e+00	8.063649e+02	1.449206e+01	0.4985	1	1
68	0	234.0176	4	1.2514	0.000000	9.037366e+00	1.609725e+03	1.253372e+01	87.8257	1	0
69	1	235.4178	3	2.2515	0.000000	3.098135e+00	3.157704e+02	1.086066e+01	3.5519	1	1
69	0	237.8014	3	1.2014	0.000000	4.438608e+00	7.943872e+02	1.706092e+01	70.9349	1	0
70	1	239.1352	4	2.4513	-0.077385	5.654347e+00	5.649807e+02	1.262110e+01	57.7677	1	1
