::Queue started at 27-Feb-2013 11:40:20, with machine clock reading 2714.2293.::
::Experiment started at 27-Feb-2013 11:40:24, with machine clock reading 2717.992.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	5435.9701
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.016246 ::
cue	0.0162
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.54942 ::
trial	0.5494
::Onset of return expected: [N/A SELF PACED]  recorded: 2.4154 ::
return	2.4154
::Onset of trial expected: [N/A SELF PACED]  recorded: 3.2653 ::
trial	3.2653
::Onset of return expected: [N/A SELF PACED]  recorded: 3.9817 ::
return	3.9817
::Onset of trial expected: [N/A SELF PACED]  recorded: 4.6981 ::
trial	4.6981
::Onset of return expected: [N/A SELF PACED]  recorded: 5.4479 ::
return	5.4479
::Onset of trial expected: [N/A SELF PACED]  recorded: 6.1642 ::
trial	6.1642
::Onset of return expected: [N/A SELF PACED]  recorded: 7.0472 ::
return	7.0472
::Onset of trial expected: [N/A SELF PACED]  recorded: 7.7637 ::
trial	7.7637
::Onset of return expected: [N/A SELF PACED]  recorded: 8.4802 ::
return	8.4802
::Onset of trial expected: [N/A SELF PACED]  recorded: 9.1965 ::
trial	9.1965
::Onset of return expected: [N/A SELF PACED]  recorded: 9.9131 ::
return	9.9131
::Onset of trial expected: [N/A SELF PACED]  recorded: 10.6466 ::
trial	10.6466
::Onset of return expected: [N/A SELF PACED]  recorded: 11.43 ::
return	11.4300
::Onset of trial expected: [N/A SELF PACED]  recorded: 12.1467 ::
trial	12.1467
::Onset of return expected: [N/A SELF PACED]  recorded: 12.8635 ::
return	12.8635
::Onset of trial expected: [N/A SELF PACED]  recorded: 13.5803 ::
trial	13.5803
::Onset of return expected: [N/A SELF PACED]  recorded: 15.1138 ::
return	15.1138
::Onset of trial expected: [N/A SELF PACED]  recorded: 15.8303 ::
trial	15.8303
::Onset of return expected: [N/A SELF PACED]  recorded: 17.0474 ::
return	17.0474
::Onset of trial expected: [N/A SELF PACED]  recorded: 17.7642 ::
trial	17.7642
::Onset of return expected: [N/A SELF PACED]  recorded: 18.631 ::
return	18.6310
::Onset of trial expected: [N/A SELF PACED]  recorded: 19.3477 ::
trial	19.3477
::Onset of return expected: [N/A SELF PACED]  recorded: 20.0647 ::
return	20.0647
::Onset of trial expected: [N/A SELF PACED]  recorded: 20.7926 ::
trial	20.7926
::Onset of return expected: [N/A SELF PACED]  recorded: 22.2982 ::
return	22.2982
::Onset of trial expected: [N/A SELF PACED]  recorded: 23.0151 ::
trial	23.0151
::Onset of return expected: [N/A SELF PACED]  recorded: 24.3153 ::
return	24.3153
::Onset of trial expected: [N/A SELF PACED]  recorded: 25.0412 ::
trial	25.0412
::Onset of return expected: [N/A SELF PACED]  recorded: 25.7576 ::
return	25.7576
::Onset of trial expected: [N/A SELF PACED]  recorded: 26.4741 ::
trial	26.4741
::Onset of return expected: [N/A SELF PACED]  recorded: 27.1904 ::
return	27.1904
::Onset of rest expected: [N/A SELF PACED]  recorded: 27.9069 ::
rest	27.9069
::Onset of cue expected: [N/A SELF PACED]  recorded: 39.9362 ::
cue	39.9362
::Onset of trial expected: [N/A SELF PACED]  recorded: 40.4687 ::
trial	40.4687
::Onset of return expected: [N/A SELF PACED]  recorded: 41.3359 ::
return	41.3359
::Onset of trial expected: [N/A SELF PACED]  recorded: 42.1854 ::
trial	42.1854
::Onset of return expected: [N/A SELF PACED]  recorded: 42.9019 ::
return	42.9019
::Onset of trial expected: [N/A SELF PACED]  recorded: 43.8516 ::
trial	43.8516
::Onset of return expected: [N/A SELF PACED]  recorded: 44.6851 ::
return	44.6851
::Onset of trial expected: [N/A SELF PACED]  recorded: 45.6685 ::
trial	45.6685
::Onset of return expected: [N/A SELF PACED]  recorded: 47.4521 ::
return	47.4521
::Onset of trial expected: [N/A SELF PACED]  recorded: 48.569 ::
trial	48.5690
::Onset of return expected: [N/A SELF PACED]  recorded: 49.4857 ::
return	49.4857
::Onset of trial expected: [N/A SELF PACED]  recorded: 50.3193 ::
trial	50.3193
::Onset of return expected: [N/A SELF PACED]  recorded: 51.2527 ::
return	51.2527
::Onset of trial expected: [N/A SELF PACED]  recorded: 52.1195 ::
trial	52.1195
::Onset of return expected: [N/A SELF PACED]  recorded: 53.3364 ::
return	53.3364
::Onset of trial expected: [N/A SELF PACED]  recorded: 54.0697 ::
trial	54.0697
::Onset of return expected: [N/A SELF PACED]  recorded: 55.5034 ::
return	55.5034
::Onset of trial expected: [N/A SELF PACED]  recorded: 56.2869 ::
trial	56.2869
::Onset of return expected: [N/A SELF PACED]  recorded: 57.2036 ::
return	57.2036
::Onset of trial expected: [N/A SELF PACED]  recorded: 57.9204 ::
trial	57.9204
::Onset of return expected: [N/A SELF PACED]  recorded: 59.1873 ::
return	59.1873
::Onset of trial expected: [N/A SELF PACED]  recorded: 60.104 ::
trial	60.1040
::Onset of return expected: [N/A SELF PACED]  recorded: 61.0209 ::
return	61.0209
::Onset of trial expected: [N/A SELF PACED]  recorded: 61.7454 ::
trial	61.7454
::Onset of return expected: [N/A SELF PACED]  recorded: 63.145 ::
return	63.1450
::Onset of trial expected: [N/A SELF PACED]  recorded: 63.9775 ::
trial	63.9775
::Onset of return expected: [N/A SELF PACED]  recorded: 65.2438 ::
return	65.2438
::Onset of trial expected: [N/A SELF PACED]  recorded: 66.0768 ::
trial	66.0768
