Event Number	Event Type	Onset
1	cue	0.0162455730
2	trial	0.5494240070
3	return	2.4154298160
4	trial	3.2652653630
5	return	3.9816701780
6	trial	4.6980689150
7	return	5.4478558010
8	trial	6.1641926450
9	return	7.0471506630
10	trial	7.7636780520
11	return	8.4801569530
12	trial	9.1965013950
13	return	9.9130908940
14	trial	10.6466080080
15	return	11.4299651930
16	trial	12.1467046850
17	return	12.8635258870
18	trial	13.5803438270
19	return	15.1137649800
20	trial	15.8302682140
21	return	17.0474009090
22	trial	17.7641987850
23	return	18.6309732980
24	trial	19.3477362360
25	return	20.0647047110
26	trial	20.7926320000
27	return	22.2982272010
28	trial	23.0150864930
29	return	24.3152971310
30	trial	25.0412008170
31	return	25.7576064960
32	trial	26.4740641050
33	return	27.1904205750
34	rest	27.9069072960
35	cue	39.9362234880
36	trial	40.4687296110
37	return	41.3358598930
38	trial	42.1854390210
39	return	42.9018781510
40	trial	43.8516319460
41	return	44.6850599900
42	trial	45.6685317210
43	return	47.4521166030
44	trial	48.5689594730
45	return	49.4857296470
46	trial	50.3192733330
47	return	51.2527003120
48	trial	52.1195033090
49	return	53.3363576880
50	trial	54.0697492680
51	return	55.5033817870
52	trial	56.2868945890
53	return	57.2035959720
54	trial	57.9204155590
55	return	59.1872661360
56	trial	60.1040151730
57	return	61.0209105440
58	trial	61.7454377200
59	return	63.1450377320
60	trial	63.9774700970
61	return	65.2438300620
62	trial	66.0768114140
63	return	66.8932196280
64	trial	67.6096434380
65	return	69.3423955840
66	trial	70.1587720590
67	return	71.1751193910
68	trial	71.9081033300
69	return	72.8078230790
70	trial	73.5242917640
71	return	75.4736310840
72	trial	76.2900477300
73	return	77.4229665620
74	trial	78.1396119060
75	return	79.7399284500
76	trial	80.7733562770
77	return	81.6240601920
78	trial	82.3408712970
79	return	83.3077280480
80	trial	84.0243962380
81	return	85.3412394070
82	trial	86.3414365070
83	return	87.3416477540
84	trial	88.1416768230
85	return	88.9584508860
86	trial	89.6752297590
87	return	91.0588167500
88	trial	92.4924027920
89	return	93.5924629200
90	trial	94.3344823970
91	return	96.0999666370
92	trial	96.8331590540
93	return	97.6828614770
94	trial	98.3991650160
95	return	100.1486685630
96	trial	100.9984405420
97	return	102.4811556970
98	trial	103.9640793810
99	return	105.0307671270
100	trial	105.9965653350
101	return	107.5967240260
102	trial	108.7624379290
103	return	109.7121528690
104	trial	110.4957602820
105	return	111.7448478680
106	trial	112.8448637310
107	return	115.6625778770
108	trial	116.5626825030
109	return	117.7128873260
110	trial	118.4297195990
111	return	119.9299305220
112	trial	121.0466934830
113	return	121.9801475810
114	trial	122.6969749790
115	return	124.6139356100
116	trial	125.5808029040
117	return	127.3643836320
118	trial	128.7979086060
119	return	129.9892087480
120	trial	130.7388984600
121	return	133.1881240650
122	trial	134.2877401230
123	return	135.4873568990
124	trial	136.2037465520
125	return	137.6532266360
126	trial	138.8696448380
127	return	140.2857214870
128	trial	141.2686527460
129	return	142.6015873130
