Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.886610	3.89	-2.87	4.39	-3.23	4.95	-3.65	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.442071	3.89	-2.87	0.00	0.00	-7.90	5.82	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.464343	3.99	-2.73	4.40	6.19	197.35	277.88	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.481111	3.89	-2.87	-5.84	-8.22	-610.26	-859.28	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.497985	3.99	-2.73	5.80	8.17	689.74	971.19	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.514782	3.99	-2.73	0.00	0.00	-345.37	-486.30	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.531625	3.89	-2.87	-5.81	-8.18	-345.05	-485.85	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.548493	3.89	-2.87	0.00	0.00	344.55	485.14	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.565153	3.89	-2.87	0.00	0.00	0.00	0.00	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.581969	3.99	-2.73	5.82	8.20	346.20	487.47	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.598654	3.99	-2.73	0.00	0.00	-348.90	-491.27	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.615576	3.89	-2.87	-5.78	-8.15	-341.84	-481.33	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.632610	3.89	-2.87	0.00	0.00	339.60	478.17	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.649121	3.89	-2.87	0.00	0.00	0.00	0.00	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.666147	3.89	-2.87	0.00	0.00	0.00	0.00	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.682880	3.99	-2.73	5.85	8.24	349.61	492.27	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.699886	3.99	-2.73	0.00	0.00	-343.99	-484.35	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.716620	3.99	-2.73	0.00	0.00	0.00	0.00	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.733370	3.89	-2.87	-5.84	-8.23	-348.86	-491.22	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.750097	3.89	-2.87	0.00	0.00	349.37	491.93	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.766983	3.99	-2.73	5.80	8.16	343.33	483.43	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.783724	3.99	-2.73	0.00	0.00	-346.27	-487.57	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.800778	3.89	-2.87	-5.74	-8.08	-336.60	-473.95	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.817481	3.89	-2.87	0.00	0.00	343.66	483.89	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.834311	3.89	-2.87	0.00	0.00	0.00	0.00	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.850938	3.99	-2.73	5.89	8.29	354.07	498.55	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.867869	3.99	-2.73	0.00	0.00	-347.73	-489.62	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.884843	3.89	-2.87	-5.77	-8.12	-339.74	-478.38	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.901721	3.99	-2.73	5.80	8.17	685.32	964.97	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.918551	3.99	-2.73	0.00	0.00	-344.61	-485.24	3.99	-0.00	-0.00	-2.73
1	1	1	3	1.935234	3.89	-2.87	-5.87	-8.26	-351.68	-495.19	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.952398	3.89	-2.87	0.00	0.00	341.85	481.34	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.968993	3.89	-2.87	0.00	0.00	0.00	0.00	3.89	-0.00	-0.00	-2.87
1	1	1	3	1.985813	3.99	-2.73	5.82	8.19	345.99	487.17	3.99	-0.00	-0.00	-2.73
1	1	1	3	2.002580	3.99	-2.73	0.00	0.00	-347.10	-488.74	3.99	-0.00	-0.00	-2.73
1	1	1	3	2.019384	3.89	-2.87	-5.83	-8.20	-346.66	-488.12	3.89	-0.00	-0.00	-2.87
1	1	1	3	2.036077	3.89	-2.87	0.00	0.00	348.96	491.35	3.89	-0.00	-0.00	-2.87
1	1	1	3	2.053033	3.89	-2.87	0.00	0.00	0.00	0.00	3.89	-0.00	-0.00	-2.87
1	1	1	3	2.069777	3.89	-2.87	0.00	0.00	0.00	0.00	3.89	-0.00	-0.00	-2.87
1	1	1	3	2.086676	3.89	-2.87	0.00	0.00	0.00	0.00	3.89	-0.00	-0.00	-2.87
1	1	1	3	2.103634	3.99	-2.73	5.77	8.13	340.40	479.30	3.99	-0.00	-0.00	-2.73
1	1	1	3	2.120276	3.99	-2.73	0.00	0.00	-346.84	-488.38	3.99	-0.00	-0.00	-2.73
1	1	1	3	2.137116	3.89	-2.87	-5.81	-8.19	-345.21	-486.08	3.89	-0.00	-0.00	-2.87
1	1	1	3	2.153958	3.99	-2.73	5.81	8.18	690.21	971.86	3.99	-0.00	-0.00	-2.73
1	1	1	3	2.170829	3.89	-2.87	-5.80	-8.17	-688.43	-969.34	3.89	-0.00	-0.00	-2.87
1	1	1	3	2.187743	3.99	-2.73	5.79	8.15	685.19	964.79	3.99	-0.00	-0.00	-2.73
1	1	1	3	2.204492	3.89	-2.87	-5.84	-8.23	-694.48	-977.87	3.89	-0.00	-0.00	-2.87
1	1	1	3	2.221113	3.99	-2.73	5.89	8.29	705.97	994.04	3.99	-0.00	-0.00	-2.73
