Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.634158	-0.18	0.18	-0.28	0.28	-0.45	0.45	-0.18	0.00	0.00	0.18
1	1	1	3	0.766046	-0.18	0.18	0.00	0.00	2.15	-2.15	-0.18	0.00	0.00	0.18
1	1	1	3	0.793001	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.808983	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.826997	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.843620	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.860198	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.876379	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.892907	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.909427	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.927505	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.942526	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.959570	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.977629	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	0.991681	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.010199	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.026746	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.043493	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.060022	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.076684	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.093308	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.109507	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.127565	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.141702	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
1	1	1	3	1.160506	-0.18	0.18	0.00	0.00	0.00	0.00	-0.18	0.00	0.00	0.18
