Trial	Type	Onset	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	0.7583	3	0.6685	-0.087311	2.254679e+00	2.162337e+02	8.363324e+00	100.0000	1	1
1	0	1.6080	3	0.1870	0.000000	1.386671e+01	3.333315e+03	2.376116e+01	53.1694	1	0
2	1	2.2917	4	0.5696	0.000000	5.728542e-04	5.916877e-02	2.544031e-01	0.4926	1	1
2	0	3.0251	4	0.2197	0.000000	4.110917e-01	1.016700e+02	2.735529e+00	100.0000	1	0
3	1	3.7420	1	0.5688	0.002577	1.253356e+00	1.237164e+02	4.561004e+00	51.5978	1	1
3	0	4.4592	1	0.2849	0.000000	9.849181e-01	2.114576e+02	3.559842e+00	53.3394	1	0
4	1	5.1754	2	0.6856	0.020722	7.655623e-01	7.516178e+01	2.034788e+00	100.0000	1	1
4	0	6.0251	2	0.2023	0.000000	8.841070e-01	1.972545e+02	3.812645e+00	62.6359	1	0
5	1	6.7425	3	0.3859	0.044525	8.148398e-01	8.366530e+01	4.574718e+00	100.0000	0	1
5	0	7.4594	3	-0.0144	0.000000	4.581127e+00	3.497787e+01	4.581127e+00	100.0000	1	0
