Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.545626	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.690591	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.720186	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.736873	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.753625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.770310	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.786920	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.803555	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.820153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.836942	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.853599	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.870366	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.887003	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.903688	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.920455	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.937547	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.953126	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.969768	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.987272	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
