Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	-3.124658e+04	3.494457e-01	5.851782e+01	4.922355e+03	7.250000e+01	4.684569e+01	0	0
2	1	1	6.863765e-01	-2.083032e-02	1.409547e+00	1.585741e+02	2.343750e+00	100	1	1
3	1	2	1.267749e+00	1.814880e-03	3.074512e+00	2.928202e+02	4.166992e+00	6.827750e+01	1	1
4	1	4	4.838271e-01	6.151362e-02	5.413380e+00	5.723274e+02	6.511719e+00	100	1	1
5	1	1	5.337451e-01	-9.510305e-02	9.350684e+00	9.026150e+02	1.025000e+01	1.812921e+00	1	1
6	1	4	1.384182e+00	-6.489891e-02	5.436557e+00	5.216812e+02	7.814453e+00	6.372009e+01	1	1
7	1	2	8.333819e-01	-3.815311e-03	5.557000e+00	5.376506e+02	7.532227e+00	6.464461e+01	1	1
8	1	3	6.331339e-01	1.093997e-02	5.189800e-01	4.938267e+01	1.041016e+00	100	1	1
9	1	4	5.501349e-01	8.920025e-02	7.030040e+00	6.756459e+02	8.595703e+00	100	1	1
10	1	3	6.008748e-01	-1.142699e-01	8.736041e+00	8.326880e+02	1.093945e+01	6.666325e+01	1	1
11	1	1	6.010619e-01	6.123234e-17	3.672759e-15	3.750016e-13	6.252037e-15	100	1	1
12	1	2	1.366801e+00	-1.018407e-02	1.192838e+01	1.227283e+03	1.683691e+01	4.844196e+01	1	1
13	1	3	5.500070e-01	-1.301453e-02	1.195635e+00	1.266719e+02	1.378906e+00	3.460567e+01	1	1
14	1	2	6.839343e-01	-1.090992e-02	1.350025e+00	1.289339e+02	2.604492e+00	6.245590e+01	1	1
15	1	1	5.339750e-01	7.224189e-02	6.432017e+00	6.945447e+02	7.814453e+00	100	1	1
16	1	4	5.009042e-01	-1.533230e-01	9.015000e+00	8.660387e+02	1.484570e+01	100	0	1
17	2	2	9.010223e-01	3.328316e-02	6.704307e-01	6.683749e+01	3.319336e+00	100	1	1
18	2	4	1.102112e+00	3.049785e-02	4.167648e+00	4.076358e+02	5.209961e+00	9.565083e+01	1	1
19	2	1	8.342784e-01	1.631049e-02	1.083282e+00	1.038311e+02	1.822266e+00	3.967437e+01	1	1
20	2	3	7.847884e-01	2.882267e-02	2.647678e+00	2.630406e+02	3.385742e+00	9.213522e+01	1	1
21	2	4	1.034077e+00	-2.987333e-02	4.262547e+00	4.085718e+02	6.946289e+00	7.798924e+01	1	1
22	2	2	8.009609e-01	-1.734405e-02	1.532085e+00	1.457725e+02	3.473633e+00	7.901262e+01	1	1
23	2	3	7.338476e-01	-4.885936e-02	3.747561e+00	3.569296e+02	4.657227e+00	6.745788e+01	1	1
24	2	1	5.342185e-01	-7.108401e-03	1.370056e-01	1.505737e+01	7.812500e-01	100	1	1
25	2	2	6.175515e-01	6.960977e-02	5.899025e+00	5.802705e+02	8.160156e+00	8.596617e+01	1	1
26	2	4	5.339737e-01	1.939030e-02	2.031636e+00	2.171986e+02	2.073242e+00	100	1	1
27	2	1	5.671129e-01	-4.265785e-02	2.242715e+00	2.462935e+02	4.687500e+00	100	1	1
28	2	3	5.183141e-01	-3.466736e-01	2.570552e+01	2.389860e+03	3.358691e+01	100	0	1
29	2	4	8.678144e-01	-1.683764e-02	1.896331e+00	1.833274e+02	4.753906e+00	9.282590e+01	1	1
30	2	2	4.675385e-01	7.378647e-02	6.585888e+00	6.273123e+02	7.041016e+00	100	1	1
31	2	3	5.515069e-01	3.782166e-02	6.085012e-01	5.862351e+01	3.645508e+00	100	1	1
32	2	1	5.173944e-01	7.214641e-02	6.929181e+00	7.158914e+02	7.988281e+00	8.966397e+01	1	1
33	1	3	7.012932e-01	7.268697e-02	5.481502e+00	5.575394e+02	7.406250e+00	100	1	1
34	1	2	9.344460e-01	-4.750084e-02	3.172876e+00	3.113726e+02	5.879883e+00	9.508812e+01	1	1
35	1	4	1.117979e+00	1.003184e-01	9.418263e+00	1.080516e+03	1.311035e+01	7.752449e+01	1	1
36	1	1	4.511670e-01	5.971318e-02	4.987651e+00	4.998318e+02	5.991211e+00	100	1	1
37	1	2	9.012441e-01	1.381582e-02	1.871076e+00	1.799888e+02	6.598633e+00	9.069784e+01	1	1
38	1	1	5.161430e-01	-5.557168e-02	3.911338e+00	3.845143e+02	5.468750e+00	8.410303e+01	1	1
39	1	4	8.503753e-01	-3.103330e-02	3.145536e+00	2.990348e+02	6.336914e+00	7.132453e+01	1	1
40	1	3	5.837947e-01	-1.272012e-01	1.220311e+01	1.372838e+03	1.438770e+01	6.646238e+01	1	1
41	1	4	8.011249e-01	-1.283817e-02	1.369864e+00	1.307659e+02	1.813477e+00	6.161944e+01	1	1
42	1	1	5.009480e-01	2.115494e-01	2.113523e+01	2.163141e+03	2.276172e+01	6.360921e+01	0	1
43	1	3	5.001121e-01	-3.415737e-02	2.707518e+00	2.614606e+02	3.560547e+00	8.300872e+01	1	1
44	1	2	4.508867e-01	3.464176e-02	2.290290e+00	2.409210e+02	3.645508e+00	100	1	1
45	1	1	5.677533e-01	2.495948e-02	2.119917e+00	2.138673e+02	2.518555e+00	100	1	1
46	1	3	5.182107e-01	1.447411e-02	4.383133e-01	4.468142e+01	1.475586e+00	100	1	1
47	1	4	5.674775e-01	-8.797106e-03	1.507722e+00	1.479526e+02	4.250000e+00	1.528586e+00	1	1
48	1	2	4.341810e-01	5.244072e-02	3.135217e+00	3.059470e+02	5.122070e+00	100	1	1
49	3	1	6.019372e-01	7.205541e-01	4.424721e+01	3.206969e+03	6.363961e+01	100	0	1
50	3	4	-3.112333e+04	1.898230e-01	6.819608e+00	4.788426e+02	1.349096e+01	100	0	0
51	3	2	1.433780e+00	2.544857e-01	3.100743e+01	2.940060e+03	3.662109e+01	7.092877e+01	0	1
52	3	3	1.000959e+00	5.804045e-01	4.080971e+01	3.305825e+03	5.311933e+01	100	0	1
53	3	2	9.335648e-01	8.097380e-02	2.485688e+01	2.367039e+03	4.018148e+01	4.142259e+01	1	1
54	3	1	7.506166e-01	1.634345e-01	1.739838e+01	1.657595e+03	2.344708e+01	7.796260e+01	0	1
55	3	3	7.954243e-01	-3.057870e-02	1.519451e+00	1.551815e+02	3.123976e+00	100	1	1
56	3	4	9.508419e-01	1.602222e+00	3.904863e+01	5.609406e+02	1.171456e+02	100	0	1
57	3	2	7.676493e-01	-3.865918e-01	1.882955e+01	1.833384e+03	3.963596e+01	100	0	1
58	3	4	9.335235e-01	2.845388e-01	1.591542e+01	1.646521e+03	3.025782e+01	100	0	1
59	3	3	8.011825e-01	1.331590e+00	5.129525e+01	2.432155e+03	9.612923e+01	1.000000e+02	0	1
60	3	1	9.677747e-01	-9.083927e-02	2.315346e+01	2.326306e+03	3.817824e+01	4.140453e+01	1	1
61	3	2	-3.110409e+04	1.540899e+00	4.534300e+01	1.128820e+03	7.062781e+01	4.152336e+01	0	0
62	3	3	1.300014e+00	7.245929e-01	4.260920e+01	3.083482e+03	6.406084e+01	100	0	1
63	3	1	8.336017e-01	5.300843e-01	3.092108e+01	2.558617e+03	4.904448e+01	9.532671e+01	0	1
64	3	4	5.002097e-01	7.017780e-01	4.067804e+01	3.261395e+03	6.777522e+01	100	0	1
65	1	1	6.680322e-01	-1.888628e-01	1.347634e+01	1.385102e+03	1.964551e+01	100	0	1
66	1	2	8.176176e-01	-1.196173e-01	3.786362e+00	3.584065e+02	1.137695e+01	9.752396e+01	1	1
67	1	3	8.165524e-01	-2.282085e-02	5.217105e-01	4.962058e+01	2.170898e+00	9.634885e+01	1	1
68	1	4	8.498317e-01	-5.491129e-02	2.415769e+00	2.327537e+02	7.378906e+00	8.053618e+01	1	1
69	1	2	6.335533e-01	6.977479e-02	9.313937e+00	8.912365e+02	1.189648e+01	5.889779e+01	1	1
70	1	4	8.170342e-01	-8.985020e-02	6.782764e+00	6.454488e+02	1.143848e+01	9.178810e+01	1	1
71	1	3	5.169192e-01	-1.260064e-02	2.275348e+00	2.352274e+02	2.865234e+00	3.651074e+01	1	1
72	1	1	4.994957e-01	-3.896464e-02	2.433004e+00	2.737129e+02	4.385742e+00	100	1	1
73	1	4	6.164624e-01	1.517400e-01	1.853531e+01	1.798305e+03	2.134766e+01	2.295343e+01	0	1
74	1	1	5.348412e-01	-1.715977e-02	2.248132e+00	2.529148e+02	2.497070e+00	7.240365e+01	1	1
75	1	3	5.339619e-01	1.257364e-02	1.658852e+00	1.749538e+02	2.320312e+00	3.208671e+01	1	1
76	1	2	7.836461e-01	1.246441e-02	1.336260e+00	1.302319e+02	2.952148e+00	7.220613e+01	1	1
77	1	1	6.508575e-01	-7.394479e-02	3.891416e+00	4.377843e+02	8.333984e+00	100	1	1
78	1	4	9.187289e-01	-4.964842e-02	1.126426e+01	1.074362e+03	1.700000e+01	1.155559e+01	1	1
79	1	3	5.171472e-01	2.222238e-03	2.072889e+00	2.331980e+02	3.136719e+00	2.013212e+01	1	1
80	1	2	5.673911e-01	-2.988747e-02	1.961665e+00	1.880037e+02	2.865234e+00	100	1	1
81	2	2	7.180036e-01	-2.257649e-02	1.004956e+00	9.957308e+01	2.237305e+00	100	1	1
82	2	4	1.067195e+00	-2.145934e-02	3.881719e+00	3.767315e+02	6.511719e+00	2.227365e+01	1	1
83	2	1	4.679874e-01	-1.001266e-01	4.308124e+00	4.802549e+02	1.119922e+01	100	1	1
84	2	3	4.513648e-01	-1.324668e-01	1.214785e+01	1.219459e+03	1.337598e+01	6.601066e+01	1	1
85	2	4	8.673515e-01	-4.192943e-02	6.837600e+00	6.506403e+02	1.197949e+01	8.531096e+01	1	1
86	2	2	5.339632e-01	9.792945e-02	7.781251e+00	7.701463e+02	1.024414e+01	9.289492e+01	1	1
87	2	3	5.504867e-01	8.396858e-02	4.134063e+00	3.965390e+02	8.073242e+00	100	1	1
88	2	1	4.177248e-01	2.451309e-02	1.957219e+00	2.079889e+02	2.605469e+00	100	1	1
89	2	2	8.339247e-01	-5.080491e-02	2.098278e+00	2.006437e+02	4.862305e+00	9.210053e+01	1	1
90	2	4	5.347476e-01	2.478367e-03	6.762371e-01	7.114490e+01	1.041992e+00	5.073423e+01	1	1
91	2	1	4.674667e-01	-3.172632e-02	1.465529e+00	1.603580e+02	3.472656e+00	100	1	1
92	2	3	4.847453e-01	-1.195266e-02	2.040813e+00	2.295895e+02	3.167969e+00	7.344595e+01	1	1
93	2	4	7.684104e-01	-1.234169e-02	2.640216e+00	2.552784e+02	6.750000e+00	2.844186e+00	1	1
94	2	2	6.173131e-01	2.148438e-03	3.096141e+00	3.194649e+02	4.127930e+00	7.273846e+01	1	1
95	2	3	5.503477e-01	3.970169e-02	1.998479e+00	2.248269e+02	4.468750e+00	100	1	1
96	2	1	4.174737e-01	7.201069e-02	7.436117e+00	8.365632e+02	8.115234e+00	100	1	1
