Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.515880	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.532270	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.548122	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.564410	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.581885	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.598545	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.614733	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.630959	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.648750	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.664726	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.681562	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.698438	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.714600	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.731164	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.747779	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.765523	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.781847	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.798652	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.815195	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.832091	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.848854	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.865575	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.882127	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.898733	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.915210	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.932203	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.948692	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.965407	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.982061	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.998335	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.015182	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.031728	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.048256	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.064833	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.080808	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.098729	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.115204	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.131906	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.147983	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.164669	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.182258	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.198420	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.215105	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.231323	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.248095	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.264843	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.281352	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.297878	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.315635	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.331928	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.348516	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.364816	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.380903	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.398291	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.414841	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.431400	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.448233	1.25	-2.75	74.26	-163.37	4411.54	-9705.40	1.25	-0.00	-0.00	-2.75
1	1	1	3	1.464412	1.25	-4.31	0.00	-96.57	-4589.65	4128.55	1.25	0.00	-0.00	-4.31
1	1	1	3	1.481776	1.25	-6.14	0.00	-105.00	0.00	-485.43	1.25	0.00	-0.00	-6.14
1	1	1	3	1.498062	1.25	-8.22	0.00	-127.90	0.00	-1406.17	1.25	0.00	-0.00	-8.22
1	1	1	3	1.515361	1.25	-12.39	0.00	-240.95	0.00	-6535.05	1.25	0.00	-0.00	-12.39
1	1	1	3	1.531634	1.25	-15.25	0.00	-176.07	0.00	3986.54	1.25	0.00	-0.00	-15.25
1	1	1	3	1.548146	1.51	-19.16	15.73	-236.56	952.69	-3663.11	1.51	0.00	-0.00	-19.16
1	1	1	3	1.564391	2.03	-23.07	32.10	-240.53	1007.79	-244.11	2.03	0.00	-0.00	-23.07
1	1	1	3	1.581533	2.29	-27.23	15.15	-243.08	-988.72	-149.02	2.29	0.00	-0.00	-27.23
1	1	1	3	1.597830	2.55	-31.66	16.00	-271.69	51.91	-1755.43	2.55	0.00	-0.00	-31.66
1	1	1	3	1.615265	3.07	-35.83	29.85	-239.06	794.66	1871.62	3.07	0.00	-0.00	-35.83
1	1	1	3	1.631092	3.59	-39.47	32.95	-230.33	195.46	551.64	3.59	0.00	-0.00	-39.47
1	1	1	3	1.648296	3.85	-41.56	15.16	-121.13	-1034.18	6346.99	3.85	0.00	-0.00	-41.56
1	1	1	3	1.664209	4.11	-43.38	16.32	-114.58	73.45	411.88	4.11	0.00	-0.00	-43.38
1	1	1	3	1.681079	4.38	-44.94	15.46	-92.62	-51.51	1301.77	4.38	0.00	-0.00	-44.94
1	1	1	3	1.697596	4.38	-46.51	0.00	-94.66	-935.73	-123.46	4.38	0.00	-0.00	-46.51
1	1	1	3	1.714874	4.38	-47.55	0.00	-60.25	0.00	1991.35	4.38	0.00	-0.00	-47.55
1	1	1	3	1.730846	4.38	-49.11	0.00	-97.89	0.00	-2356.56	4.38	0.00	-0.00	-49.11
1	1	1	3	1.748418	4.38	-50.15	0.00	-59.30	0.00	2196.21	4.38	0.00	-0.00	-50.15
1	1	1	3	1.764610	4.38	-50.93	0.00	-48.25	0.00	682.29	4.38	0.00	-0.00	-50.93
1	1	1	3	1.781171	4.38	-51.98	0.00	-62.86	0.00	-882.12	4.38	0.00	-0.00	-51.98
1	1	1	3	1.798860	4.11	-53.28	-14.74	-73.65	-833.34	-609.96	4.11	0.00	-0.00	-53.28
1	1	1	3	1.814778	3.77	-54.49	-21.78	-76.38	-442.22	-171.79	3.77	0.00	-0.00	-54.49
1	1	1	3	1.831485	3.51	-55.80	-15.61	-77.92	369.50	-91.73	3.51	0.00	-0.00	-55.80
1	1	1	3	1.848370	2.99	-57.62	-30.83	-107.98	-901.40	-1780.55	2.99	0.00	-0.00	-57.62
1	1	1	3	1.865345	2.99	-58.66	0.00	-61.39	1816.05	2744.94	2.99	0.00	-0.00	-58.66
1	1	1	3	1.881589	2.46	-60.22	-32.10	-96.18	-1976.12	-2142.18	2.46	0.00	-0.00	-60.22
1	1	1	3	1.897784	2.46	-61.79	0.00	-96.54	1982.26	-22.17	2.46	0.00	-0.00	-61.79
1	1	1	3	1.914922	2.46	-63.61	0.00	-106.33	0.00	-571.02	2.46	0.00	-0.00	-63.61
1	1	1	3	1.931478	2.46	-65.69	0.00	-125.88	0.00	-1180.59	2.46	0.00	-0.00	-65.69
1	1	1	3	1.947707	2.46	-67.78	0.00	-128.40	0.00	-155.82	2.46	0.00	-0.00	-67.78
1	1	1	3	1.965020	2.46	-69.34	0.00	-90.25	0.00	2203.75	2.46	0.00	-0.00	-69.34
1	1	1	3	1.981522	2.46	-71.68	0.00	-142.03	0.00	-3137.80	2.46	0.00	-0.00	-71.68
1	1	1	3	1.997941	2.46	-73.25	0.00	-95.22	0.00	2850.90	2.46	0.00	-0.00	-73.25
2	1	0	4	2.265345	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.281732	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.298531	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.314482	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.331462	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.348842	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.364982	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.381246	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.398769	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.415249	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.431794	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.448420	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.464948	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.481361	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.497785	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.515322	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.531755	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.548358	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.564609	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.581982	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.598011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.614977	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.631694	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.647862	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.665417	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.681886	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.698455	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.714863	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.731333	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.748946	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.765375	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.781982	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.798315	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.814536	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.832171	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.848712	3.75	1.00	226.71	60.46	13706.49	3655.06	0.00	1.00	3.75	-0.00
2	1	1	4	2.865125	8.09	2.74	264.47	105.85	2300.44	2765.53	0.00	2.74	8.09	-0.00
2	1	1	4	2.881098	15.38	4.30	456.57	97.82	12026.11	-502.67	0.00	4.30	15.38	-0.00
