Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	-1.187437e+05	3.363840e-02	2.618540e+00	1.918004e+02	4.375000e+00	6.953803e+01	1	0
2	1	4	7.184335e-01	1.125543e-01	8.193799e+00	8.025682e+02	1.107129e+01	100	1	1
3	1	1	9.515932e-01	1.283894e-02	2.338652e+00	2.234098e+02	3.733398e+00	9.030791e+01	1	1
4	1	2	8.335516e-01	-3.077162e-02	2.604366e+00	2.553958e+02	4.274414e+00	7.830967e+01	1	1
5	1	3	5.174515e-01	8.222804e-02	4.360092e+00	4.225670e+02	7.987305e+00	100	1	1
6	1	1	4.668832e-01	1.139708e-02	9.460977e-01	1.064360e+02	1.282227e+00	100	1	1
7	1	4	5.184667e-01	-1.942371e-01	8.481873e+00	7.973292e+02	1.849219e+01	100	0	1
8	1	2	5.334406e-01	4.374853e-02	1.693274e+00	1.694895e+02	4.381836e+00	100	1	1
9	1	3	5.014905e-01	7.986380e-02	4.895949e+00	4.832933e+02	7.900391e+00	100	1	1
10	1	4	5.510657e-01	1.271734e-01	8.014387e+00	7.605371e+02	1.213379e+01	9.588264e+01	1	1
11	1	1	5.005992e-01	-2.015352e-02	1.400043e+00	1.575048e+02	2.267578e+00	100	1	1
12	1	2	5.338739e-01	3.229373e-02	1.020306e+00	9.869868e+01	3.125000e+00	100	1	1
13	1	1	5.167160e-01	5.414725e-03	4.710513e-01	4.536583e+01	5.214844e-01	100	1	1
14	1	3	5.332525e-01	-4.165355e-02	2.172515e+00	2.172621e+02	4.167969e+00	100	1	1
15	1	2	5.180887e-01	-9.372258e-02	5.760348e+00	5.480037e+02	8.942383e+00	100	1	1
16	1	4	4.505818e-01	-3.018908e-02	1.286258e+00	1.257016e+02	2.951172e+00	100	1	1
17	2	2	6.844396e-01	-1.099428e-02	1.302065e+00	1.468765e+02	2.509766e+00	6.917150e+00	1	1
18	2	4	5.009623e-01	2.641153e-02	2.352898e+00	2.320568e+02	2.605469e+00	100	1	1
19	2	1	4.666870e-01	-1.647688e-02	7.169986e-01	7.176848e+01	1.649414e+00	100	1	1
20	2	3	4.339746e-01	-4.961120e-02	2.603565e+00	2.640762e+02	5.036133e+00	100	1	1
21	2	4	6.680324e-01	-1.431869e-02	8.186793e-01	7.939270e+01	1.388672e+00	9.462862e+01	1	1
22	2	2	4.673687e-01	1.730234e-02	9.510615e-01	9.119138e+01	1.659180e+00	100	1	1
23	2	3	4.511137e-01	-9.886499e-03	9.865775e-01	1.030029e+02	1.032227e+00	2.233187e+01	1	1
24	2	1	4.007778e-01	2.855127e-02	2.433872e+00	2.738106e+02	3.212891e+00	100	1	1
25	2	2	4.334901e-01	-3.201042e-02	2.514551e+00	2.566708e+02	3.268555e+00	7.269718e+01	1	1
26	2	4	4.344445e-01	2.355539e-02	2.358800e+00	2.608593e+02	2.605469e+00	100	1	1
27	2	1	8.850823e-01	1.136694e-01	8.156703e+00	7.912401e+02	1.276172e+01	8.044255e+01	1	1
28	2	3	5.000261e-01	-1.024797e-01	7.677349e+00	7.518554e+02	1.007129e+01	8.377675e+01	1	1
29	2	4	6.007110e-01	-5.600875e-02	1.975237e+00	2.081020e+02	5.479492e+00	100	1	1
30	2	2	4.502639e-01	2.438145e-02	1.390724e+00	1.336616e+02	2.343750e+00	100	1	1
31	2	3	7.839463e-01	-7.972609e-02	1.084805e+01	1.883026e+03	1.664355e+01	2.707428e+01	1	1
32	2	1	4.849632e-01	-2.683041e-03	2.452622e-01	2.374564e+01	2.607422e-01	7.498109e+01	1	1
33	2	2	4.669916e-01	-2.565165e-02	5.226010e+00	5.233359e+02	5.955078e+00	2.353331e+01	1	1
34	2	4	4.498954e-01	-6.731787e-02	2.552799e+00	2.793969e+02	7.378906e+00	100	1	1
