Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	8.177410e-01	-1.320951e-01	8.941122e+00	8.497035e+02	1.262695e+01	100	1	1
2	1	4	5.178139e-01	-1.020527e-01	5.346244e+00	5.161370e+02	9.886719e+00	9.352512e+01	1	1
3	1	1	5.164755e-01	-1.489109e-01	7.543432e+00	7.726493e+02	1.536621e+01	100	0	1
4	1	2	5.834385e-01	-1.052538e-01	4.892397e+00	4.744526e+02	1.024512e+01	9.597100e+01	1	1
5	1	3	6.678794e-01	-4.918819e-02	2.706481e+00	2.577659e+02	4.688477e+00	100	1	1
6	1	1	-1.749792e+05	-1.548983e-02	1.700794e+00	1.608280e+02	2.333984e+00	5.888981e+01	1	0
7	1	4	7.997395e-01	-5.722645e-02	1.445136e+00	1.379512e+02	5.729492e+00	8.854015e+01	1	1
8	1	2	5.515540e-01	-4.096420e-02	3.778637e+00	3.602104e+02	4.167969e+00	3.606581e+01	1	1
9	1	3	8.007057e-01	-2.722888e-02	1.526445e+00	1.460260e+02	2.865234e+00	8.730502e+01	1	1
10	1	4	7.343990e-01	-3.235285e-02	2.150805e+00	2.063135e+02	3.104492e+00	6.388634e+01	1	1
11	1	1	6.335551e-01	-4.567046e-02	1.948872e+00	1.851048e+02	4.340820e+00	100	1	1
12	1	2	5.843453e-01	-2.900471e-02	1.881038e+00	1.801314e+02	2.778320e+00	7.597491e+01	1	1
13	1	1	1.434527e+00	-2.545169e-02	1.179479e+00	1.126172e+02	2.777344e+00	7.992677e+01	1	1
14	1	3	6.009123e-01	-5.295486e-02	4.371638e+00	4.297013e+02	5.730469e+00	6.537575e+01	1	1
15	1	2	7.013844e-01	-4.681275e-02	4.159898e+00	4.008898e+02	5.556641e+00	7.810768e+01	1	1
16	1	4	5.178959e-01	-2.640059e-02	6.787201e-01	6.694209e+01	2.604492e+00	9.471766e+01	1	1
