::Queue started at 28-Jan-2013 13:58:54, with machine clock reading 445078.3056.::
::Experiment started at 28-Jan-2013 13:58:55, with machine clock reading 445078.9117.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	890157.7901
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.030965 ::
cue	0.0310
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.56461 ::
trial	0.5646
::Onset of return expected: [N/A SELF PACED]  recorded: 2.3804 ::
return	2.3804
::Onset of trial expected: [N/A SELF PACED]  recorded: 3.015 ::
trial	3.0150
::Onset of return expected: [N/A SELF PACED]  recorded: 3.7813 ::
return	3.7813
::Onset of trial expected: [N/A SELF PACED]  recorded: 4.4977 ::
trial	4.4977
::Onset of return expected: [N/A SELF PACED]  recorded: 6.2321 ::
return	6.2321
::Onset of trial expected: [N/A SELF PACED]  recorded: 6.9488 ::
trial	6.9488
::Onset of return expected: [N/A SELF PACED]  recorded: 7.7152 ::
return	7.7152
::Onset of trial expected: [N/A SELF PACED]  recorded: 8.8657 ::
trial	8.8657
::Onset of return expected: [N/A SELF PACED]  recorded: 9.5818 ::
return	9.5818
::Onset of trial expected: [N/A SELF PACED]  recorded: 10.216 ::
trial	10.2160
::Onset of return expected: [N/A SELF PACED]  recorded: 10.9329 ::
return	10.9329
::Onset of trial expected: [N/A SELF PACED]  recorded: 11.5656 ::
trial	11.5656
::Onset of return expected: [N/A SELF PACED]  recorded: 12.2824 ::
return	12.2824
::Onset of trial expected: [N/A SELF PACED]  recorded: 12.9331 ::
trial	12.9331
::Onset of return expected: [N/A SELF PACED]  recorded: 13.6494 ::
return	13.6494
::Onset of trial expected: [N/A SELF PACED]  recorded: 14.3666 ::
trial	14.3666
::Onset of return expected: [N/A SELF PACED]  recorded: 15.0836 ::
return	15.0836
::Onset of trial expected: [N/A SELF PACED]  recorded: 15.7168 ::
trial	15.7168
::Onset of return expected: [N/A SELF PACED]  recorded: 16.4336 ::
return	16.4336
::Onset of trial expected: [N/A SELF PACED]  recorded: 17.0663 ::
trial	17.0663
::Onset of return expected: [N/A SELF PACED]  recorded: 17.7833 ::
return	17.7833
::Onset of trial expected: [N/A SELF PACED]  recorded: 18.4336 ::
trial	18.4336
::Onset of return expected: [N/A SELF PACED]  recorded: 19.1508 ::
return	19.1508
::Onset of trial expected: [N/A SELF PACED]  recorded: 19.8667 ::
trial	19.8667
