Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	3	1.517762e+00	2.324552e-01	1.153483e+01	1.093067e+03	2.209003e+01	100	0	1
1	0	3	2.018782e-01	0	1.628010e+01	3.128779e+03	2.322209e+01	5.061096e+01	1	0
2	1	4	4.517731e-01	2.739041e-02	2.777703e-01	2.776661e+01	2.738698e+00	100	1	1
2	0	4	3.685830e-01	0	2.348572e+00	4.692614e+02	4.691502e+00	5.004323e+01	1	0
3	1	1	1.419544e+00	6.123234e-17	1.709124e+00	3.257647e+02	1.214177e+01	6.229614e+01	1	1
3	0	1	3.340160e-01	0	4.438205e-15	8.893780e-13	6.135217e-15	5.000000e+01	1	0
4	1	2	4.513382e-01	-1.377931e-01	1.257732e+01	1.405773e+03	1.605478e+01	7.652782e+01	1	1
4	0	2	8.516511e-01	0	6.601635e+00	1.459031e+03	1.467710e+01	9.087982e+01	1	0
5	1	3	3.007280e-01	-1.570796e+00	7.319933e+01	3.150016e+02	1.001957e+02	100	0	1
5	0	3	2.026269e-01	0	7.484462e+01	4.882340e-12	1.001957e+02	50	1	0
6	1	1	3.343840e-01	1.570796e+00	6.693389e+01	1.361842e-12	1.001957e+02	100	0	1
6	0	1	2.682719e-01	0	7.491812e+01	3.036908e-12	1.001957e+02	5.019214e+01	1	0
7	1	4	3.354215e-01	-3.141593e+00	9.585640e-02	9.473089e+00	1.956947e+00	4.850086e-16	0	1
7	0	4	3.190634e-01	0	1.999423e+00	4.005648e+02	3.910912e+00	4.997467e+01	1	0
8	1	2	3.678930e-01	2.642957e-16	1.430981e-14	1.433782e-12	2.648129e-14	100	1	1
8	0	2	3.014523e-01	0	1.826779e-14	3.660707e-12	2.648129e-14	50	1	0
9	1	3	2.681574e-01	-1.570796e+00	5.810131e+01	1.591400e+02	9.667319e+01	100	0	1
9	0	3	2.184820e-01	0	7.427576e+01	4.845231e-12	1.001957e+02	5.000000e+01	1	0
10	1	4	2.508495e-01	-3.082606e+00	2.218348e+00	2.201489e+02	5.860631e+00	100	0	1
10	0	4	1.843372e-01	0	5.135801e-01	1.029184e+02	1.369416e+00	7.325127e+01	1	0
11	1	1	1.516758e-01	1.570796e+00	6.297703e+01	1.280580e-12	100	100	0	1
11	0	1	8.462427e-02	0	2.738174e+00	1.607538e+00	8.043053e+01	3.259465e-12	1	0
12	1	2	1.025473e-01	1.953123e-03	1.872822e-02	1.876484e+00	1.956943e-01	100	1	1
12	0	2	-1.540668e-02	0	2.725470e+00	2.971274e+00	2.725470e+00	100	1	0
13	1	1	-1.453559e-02	1.570796e+00	1.001957e+02	2.038589e-12	1.001957e+02	100	0	1
13	0	1	-1.469199e-02	0	1.174168e+00	8.441926e-17	1.174168e+00	100	1	0
14	1	3	-1.616383e-02	-1.564937e+00	1.001940e+02	5.882128e+01	1.001940e+02	100	0	1
14	0	3	-1.491590e-02	0	2.516398e-16	3.447120e-16	2.516398e-16	100	1	0
15	1	2	-1.468002e-02	5.073767e-02	5.081515e+00	5.084907e+02	5.081515e+00	100	1	1
15	0	2	-1.445884e-02	0	5.870841e-01	4.220963e-17	5.870841e-01	100	1	0
16	1	4	-1.483382e-02	-3.114256e+00	2.738702e+00	2.743037e+02	2.738702e+00	1.000000e+02	0	1
16	0	4	-1.446712e-02	0	1.174168e+00	3.376771e-16	1.174168e+00	100	1	0
17	2	2	6.678179e-01	-3.141593e+00	6.760107e-15	6.760107e-13	4.109589e+00	5.512109e-16	0	1
17	0	2	1.190236e-01	0	9.784698e-02	1.956940e+01	1.956943e-01	4.999990e+01	1	0
18	2	4	3.018335e-01	-4.693224e-02	3.027329e+00	3.023996e+02	4.691502e+00	100	1	1
