Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	9.004488e-01	2.902649e-01	1.371558e+01	1.320125e+03	2.875000e+01	100	0	1
2	1	4	6.674440e-01	6.715550e-01	3.560668e+01	2.732812e+03	6.100000e+01	100	0	1
3	1	1	7.174149e-01	2.186666e+00	6.723587e+01	3.866063e+03	8.125000e+01	100	0	1
4	1	2	8.173229e-01	-1.168575e+00	6.155048e+01	3.200625e+03	9.050000e+01	100	0	1
5	1	3	1.000754e+00	2.850769e-01	1.355463e+01	1.318188e+03	2.850000e+01	100	0	1
6	1	1	7.841114e-01	6.123234e-17	3.252874e-15	3.293534e-13	6.199774e-15	100	1	1
7	1	4	6.674378e-01	6.564550e-01	3.548899e+01	2.821375e+03	6.125000e+01	100	0	1
8	1	2	6.841005e-01	3.034841e-01	1.273553e+01	1.209875e+03	2.975000e+01	100	0	1
9	1	3	7.674152e-01	2.624666e-03	2.500000e-01	2.381250e+01	2.500000e-01	100	1	1
10	1	4	7.674366e-01	6.857295e-01	3.990831e+01	3.182688e+03	6.525000e+01	100	0	1
11	1	1	9.340921e-01	6.123234e-17	3.139602e-15	3.076810e-13	6.000769e-15	100	1	1
12	1	2	9.008133e-01	-2.921828e-01	1.154617e+01	1.094000e+03	2.850000e+01	100	0	1
13	1	1	9.674090e-01	-2.610960e-03	2.500000e-01	2.393750e+01	2.500000e-01	1.305483e+00	1	1
14	1	3	9.675278e-01	1.393035e-01	6.027778e+00	5.696250e+02	1.325000e+01	100	1	1
15	1	2	8.841244e-01	7.481157e-03	7.500000e-01	7.518750e+01	7.500000e-01	100	1	1
16	1	4	5.175438e-01	6.135259e-01	2.927170e+01	2.275875e+03	5.475000e+01	100	0	1
17	2	2	9.838488e-01	-5.780879e-01	2.433460e+01	1.995437e+03	5.350000e+01	100	0	1
18	2	4	7.006202e-01	6.604077e-01	3.758486e+01	3.072562e+03	6.350000e+01	100	0	1
19	2	1	7.007735e-01	-3.141593e+00	3.252673e-15	3.163224e-13	5.954845e-15	100	0	1
20	2	3	9.009240e-01	-1.390460e-01	4.808642e+00	6.816250e+02	1.375000e+01	100	1	1
21	2	4	8.174537e-01	2.984188e-02	2.744403e+00	2.758125e+02	3.000000e+00	100	1	1
22	2	2	7.174843e-01	1.796284e-01	8.567775e+00	8.375000e+02	1.775000e+01	100	0	1
23	2	3	7.840586e-01	3.139099e+00	2.500000e-01	2.506250e+01	2.500000e-01	1.246883e+00	0	1
24	2	1	1.084225e+00	-3.844259e-02	3.886089e+00	4.818750e+02	4.000000e+00	8.870968e+00	1	1
25	2	2	8.841654e-01	-3.431868e-01	1.686632e+01	1.640250e+03	3.475000e+01	100	0	1
26	2	4	5.339854e-01	2.810207e-01	1.497552e+01	1.452625e+03	2.800000e+01	100	0	1
27	2	1	7.174261e-01	7.853242e-03	7.500000e-01	7.162500e+01	7.500000e-01	100	1	1
28	2	3	9.674578e-01	1.015194e-02	7.766497e-01	7.650000e+01	1.000000e+00	100	1	1
29	2	4	7.672719e-01	-2.358486e-03	2.500000e-01	2.650000e+01	2.500000e-01	2.358491e-01	1	1
30	2	2	1.017456e+00	-3.002307e-01	1.190959e+01	1.086750e+03	2.825000e+01	100	0	1
31	2	3	9.841705e-01	1.556457e-01	7.401596e+00	6.957500e+02	1.475000e+01	100	0	1
32	2	1	8.005867e-01	6.123234e-17	3.092947e-15	2.984694e-13	5.908921e-15	100	1	1
33	2	2	8.007371e-01	5.071789e-02	2.105330e+00	2.073750e+02	5.000000e+00	100	1	1
34	2	4	6.338294e-01	2.449294e-16	1.290406e-14	1.274276e-12	2.418677e-14	100	1	1
35	2	1	7.170239e-01	3.234117e-01	1.352493e+01	1.220625e+03	3.025000e+01	100	0	1
36	2	3	6.837922e-01	2.705342e-01	1.176933e+01	1.103375e+03	2.600000e+01	100	0	1
37	2	4	6.672947e-01	1.126786e-01	1.050197e+01	9.976875e+02	1.075000e+01	100	1	1
38	2	2	8.169308e-01	1.224647e-16	6.354051e-15	6.306395e-13	1.215462e-14	100	1	1
39	2	3	6.670947e-01	2.590668e-03	2.500000e-01	2.412500e+01	2.500000e-01	100	1	1
40	2	1	6.836275e-01	-5.181301e-03	5.000000e-01	4.825000e+01	5.000000e-01	2.590674e-01	1	1
41	2	2	7.671907e-01	-1.647339e-01	7.146419e+00	6.985625e+02	1.625000e+01	100	0	1
42	2	4	7.507201e-01	-2.649397e-01	1.343992e+01	1.300312e+03	2.625000e+01	100	0	1
43	2	1	7.674564e-01	6.123234e-17	3.085832e-15	2.970113e-13	5.893613e-15	100	1	1
44	2	3	6.676543e-01	1.836970e-16	9.382410e-15	8.936745e-13	1.749714e-14	100	1	1
45	2	4	6.340447e-01	3.097989e-01	1.559921e+01	1.474125e+03	3.025000e+01	100	0	1
46	2	2	7.342251e-01	1.224647e-16	6.365303e-15	6.301650e-13	1.212400e-14	100	1	1
47	2	3	6.673607e-01	1.546005e-01	7.494156e+00	7.213125e+02	1.500000e+01	100	0	1
48	2	1	8.341303e-01	6.123234e-17	3.219072e-15	3.211024e-13	6.107926e-15	100	1	1
49	2	2	7.173690e-01	-3.217506e-01	1.396341e+01	1.288125e+03	3.075000e+01	100	0	1
50	2	4	4.839611e-01	6.327488e-01	3.169683e+01	2.496125e+03	5.775000e+01	100	0	1
51	2	1	7.173489e-01	-5.221885e-03	5.000000e-01	4.787500e+01	5.000000e-01	2.610966e-01	1	1
52	2	3	6.675257e-01	1.836970e-16	9.386751e-15	9.058215e-13	1.772676e-14	100	1	1
53	2	4	8.507603e-01	-1.014319e-01	4.078880e+00	4.007500e+02	1.000000e+01	100	1	1
54	2	2	8.509376e-01	-1.570083e-01	6.418206e+00	6.081250e+02	1.500000e+01	100	0	1
55	2	3	8.170838e-01	4.975083e-03	5.000000e-01	5.025000e+01	5.000000e-01	100	1	1
56	2	1	7.504652e-01	6.123234e-17	3.131032e-15	3.060584e-13	5.985461e-15	100	1	1
57	2	2	6.837941e-01	-3.114253e-01	1.314050e+01	1.245062e+03	3.050000e+01	100	0	1
58	2	4	5.838748e-01	2.449294e-16	1.317390e-14	1.330563e-12	2.473787e-14	100	1	1
59	2	1	8.005886e-01	6.123234e-17	3.139954e-15	3.077155e-13	6.000769e-15	100	1	1
60	2	3	6.838727e-01	1.836970e-16	9.768420e-15	9.841683e-13	1.850747e-14	100	1	1
61	2	4	7.172210e-01	2.534943e-01	1.231088e+01	1.188000e+03	2.500000e+01	100	0	1
62	2	2	7.003823e-01	6.778112e-02	1.246084e+00	1.193125e+02	6.500000e+00	100	1	1
63	2	3	7.502876e-01	5.098575e-01	2.478180e+01	2.094062e+03	4.725000e+01	100	0	1
64	2	1	6.337804e-01	4.513164e-01	1.878830e+01	1.686250e+03	4.350000e+01	100	0	1
