Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	-1.949159e+05	3.032183e+00	2.215909e+00	1.462500e+02	7.250000e+00	100	0	0
2	1	4	8.005268e-01	1.192235e-01	5.365885e+00	5.151250e+02	1.150000e+01	100	1	1
3	1	1	6.672955e-01	3.024186e+00	1.067308e+01	1.040625e+03	1.150000e+01	2.794872e+01	0	1
4	1	2	1.066952e+00	-2.777064e-02	2.415404e+00	2.391250e+02	2.750000e+00	2.626263e+01	1	1
5	1	3	-1.949103e+05	-1.107988e-02	9.598338e-01	8.662500e+01	1.000000e+00	9.141274e+00	1	0
6	1	1	6.670156e-01	6.123234e-17	3.102399e-15	3.001571e-13	5.924229e-15	100	1	1
7	1	4	8.172641e-01	2.449294e-16	1.309441e-14	1.312714e-12	2.455417e-14	100	1	1
8	1	2	6.841062e-01	1.224647e-16	6.291662e-15	6.181558e-13	1.203215e-14	100	1	1
9	1	3	9.840885e-01	-2.057002e-01	9.066494e+00	1.312375e+03	2.050000e+01	100	0	1
10	1	4	6.006587e-01	8.655183e-01	6.205357e+01	3.909375e+03	7.400000e+01	100	0	1
11	1	1	-1.949019e+05	-1.259126e-01	2.030063e+00	8.018750e+01	5.000000e+00	100	1	0
12	1	2	8.674494e-01	2.343321e-02	2.250000e+00	2.160000e+02	2.250000e+00	100	1	1
13	1	1	1.000802e+00	1.828310e-01	8.655599e+00	8.309375e+02	1.775000e+01	100	0	1
14	1	3	6.174306e-01	1.836970e-16	9.390365e-15	8.944323e-13	1.749714e-14	100	1	1
15	1	2	7.673836e-01	-1.447603e-01	5.557545e+00	5.432500e+02	1.425000e+01	100	1	1
16	1	4	4.839895e-01	2.449294e-16	1.268940e-14	1.208665e-12	2.332952e-14	100	1	1
17	2	2	9.339449e-01	1.224647e-16	6.577941e-15	6.660165e-13	1.239955e-14	100	1	1
18	2	4	4.839590e-01	2.449294e-16	1.260876e-14	1.210441e-12	2.351322e-14	100	1	1
19	2	1	-1.948782e+05	6.123234e-17	2.690535e-15	2.401303e-13	5.281289e-15	100	1	0
20	2	3	6.172046e-01	1.367081e-01	5.783069e+00	5.465000e+02	1.300000e+01	100	1	1
21	2	4	5.336220e-01	2.449294e-16	1.272361e-14	1.240552e-12	2.388061e-14	100	1	1
22	2	2	6.839099e-01	1.224647e-16	6.714849e-15	6.899507e-13	1.258325e-14	100	1	1
23	2	3	6.840030e-01	-3.012344e+00	4.681034e+00	4.411875e+02	1.225000e+01	100	0	1
24	2	1	-1.948712e+05	6.123234e-17	2.346862e-15	5.075089e-13	4.561809e-15	3.445087e+01	1	0
25	2	2	7.506675e-01	-3.109983e-01	1.251580e+01	1.138937e+03	2.925000e+01	100	0	1
26	2	4	4.673330e-01	2.449294e-16	1.325483e-14	1.338738e-12	2.473787e-14	100	1	1
27	2	1	9.674133e-01	1.685969e-01	7.245346e+00	6.810625e+02	1.600000e+01	100	0	1
28	2	3	5.175352e-01	1.315514e-01	5.667303e+00	5.568125e+02	1.300000e+01	100	1	1
29	2	4	6.007529e-01	-7.832738e-03	7.500000e-01	7.181250e+01	7.500000e-01	7.832898e-01	1	1
30	2	2	6.841099e-01	1.224647e-16	6.332341e-15	6.237356e-13	1.206277e-14	100	1	1
31	2	3	8.007549e-01	1.836970e-16	9.660783e-15	9.636631e-13	1.832378e-14	100	1	1
32	2	1	5.841433e-01	6.123234e-17	3.134945e-15	3.025222e-13	5.908921e-15	100	1	1
33	2	2	8.174608e-01	-2.480804e-01	8.350923e+00	7.912500e+02	2.400000e+01	100	0	1
34	2	4	5.008866e-01	1.054014e-01	4.625945e+00	4.591250e+02	1.050000e+01	100	1	1
35	2	1	1.034053e+00	-2.880554e-01	9.444106e+00	1.161625e+03	2.800000e+01	100	0	1
