Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.516904	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.533490	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.549920	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.566613	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.583059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.599710	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.616392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.633179	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.649654	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.666410	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.683176	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.699791	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.716259	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.732924	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.749705	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.766422	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.783124	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.799869	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.816500	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.832952	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.849746	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.866408	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.882976	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.899748	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.916365	0.00	-0.25	0.00	-15.05	0.00	-905.45	0.00	0.00	-0.00	-0.25
1	1	1	3	0.933097	0.00	-0.50	0.00	-14.94	0.00	6.22	0.00	0.00	-0.00	-0.50
1	1	1	3	0.949533	0.00	-1.75	0.00	-76.05	0.00	-3718.05	0.00	0.00	-0.00	-1.75
1	1	1	3	0.966142	0.00	-4.50	0.00	-165.58	0.00	-5390.12	0.00	0.00	-0.00	-4.50
1	1	1	3	0.982995	0.00	-8.50	0.00	-237.35	0.00	-4258.82	0.00	0.00	-0.00	-8.50
1	1	1	3	0.999663	0.00	-13.50	0.00	-299.96	0.00	-3756.47	0.00	0.00	-0.00	-13.50
1	1	1	3	1.016370	0.25	-18.75	14.96	-314.25	895.74	-855.37	0.25	0.00	-0.00	-18.75
1	1	1	3	1.032989	1.25	-25.00	60.17	-376.06	2720.04	-3719.13	1.25	0.00	-0.00	-25.00
1	1	1	3	1.049719	2.25	-30.75	59.77	-343.69	-23.78	1934.98	2.25	0.00	-0.00	-30.75
1	1	1	3	1.066261	4.25	-36.50	120.91	-347.61	3695.93	-237.01	4.25	0.00	-0.00	-36.50
1	1	1	3	1.082347	6.25	-42.75	124.33	-388.53	212.65	-2543.58	6.25	0.00	-0.00	-42.75
1	1	1	3	1.099134	8.25	-48.50	119.14	-342.52	-309.20	2740.50	8.25	0.00	-0.00	-48.50
1	1	1	3	1.115661	10.00	-54.25	105.89	-347.92	-801.71	-326.56	10.00	0.00	-0.00	-54.25
1	1	1	3	1.132426	12.00	-59.75	119.30	-328.07	799.83	1184.11	12.00	0.00	-0.00	-59.75
1	1	1	3	1.149041	14.00	-66.25	120.37	-391.21	64.59	-3799.92	14.00	0.00	-0.00	-66.25
1	1	1	3	1.165677	16.00	-71.75	120.22	-330.62	-8.81	3642.12	16.00	0.00	-0.00	-71.75
1	1	1	3	1.182156	18.00	-77.50	121.36	-348.92	69.19	-1110.87	18.00	0.00	-0.00	-77.50
1	1	1	3	1.198960	20.00	-83.75	119.02	-371.93	-139.73	-1368.90	20.00	0.00	-0.00	-83.75
1	1	1	3	1.215618	22.00	-89.50	120.07	-345.19	62.99	1605.12	22.00	0.00	-0.00	-89.50
1	1	1	3	1.232264	23.75	-95.25	105.13	-345.43	-897.22	-14.45	23.75	0.00	-0.00	-95.25
2	1	0	4	1.915541	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.932669	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.948766	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.965251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.982010	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	1.998589	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.015309	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.031921	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.048568	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.065366	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.081930	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.098679	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.115317	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.132029	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.148736	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.165336	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00
2	1	1	4	2.182002	0.00	0.25	0.00	15.00	0.00	900.05	0.00	0.25	-0.00	0.00
2	1	1	4	2.198793	0.00	0.75	0.00	29.78	0.00	880.22	0.00	0.75	-0.00	0.00
2	1	1	4	2.215203	0.00	1.50	0.00	45.70	0.00	970.25	0.00	1.50	-0.00	0.00
2	1	1	4	2.231979	0.00	2.25	0.00	44.71	0.00	-59.23	0.00	2.25	-0.00	0.00
2	1	1	4	2.248583	0.00	2.75	0.00	30.11	0.00	-879.02	0.00	2.75	-0.00	0.00
2	1	1	4	2.265120	0.00	3.50	0.00	45.35	0.00	921.57	0.00	3.50	-0.00	0.00
2	1	1	4	2.281898	0.00	4.25	0.00	44.70	0.00	-38.96	0.00	4.25	-0.00	0.00
2	1	1	4	2.298710	0.00	5.00	0.00	44.61	0.00	-5.20	0.00	5.00	-0.00	0.00
2	1	1	4	2.315329	0.00	5.50	0.00	30.09	0.00	-874.04	0.00	5.50	-0.00	0.00
2	1	1	4	2.331894	0.00	6.25	0.00	45.28	0.00	917.00	0.00	6.25	-0.00	0.00
2	1	1	4	2.348475	0.00	7.00	0.00	45.23	0.00	-2.81	0.00	7.00	-0.00	0.00
2	1	1	4	2.365090	0.00	7.75	0.00	45.14	0.00	-5.30	0.00	7.75	-0.00	0.00
2	1	1	4	2.381951	0.00	8.50	0.00	44.48	0.00	-39.28	0.00	8.50	-0.00	0.00
2	1	1	4	2.398574	0.00	9.00	0.00	30.08	0.00	-866.32	0.00	9.00	-0.00	0.00
2	1	1	4	2.415116	0.00	9.75	0.00	45.34	0.00	922.59	0.00	9.75	-0.00	0.00
2	1	1	4	2.431803	0.00	10.50	0.00	44.95	0.00	-23.58	0.00	10.50	-0.00	0.00
2	1	1	4	2.448433	0.00	11.25	0.00	45.10	0.00	9.19	0.00	11.25	-0.00	0.00
2	1	1	4	2.465234	0.00	11.75	0.00	29.76	0.00	-913.02	0.00	11.75	-0.00	0.00
2	1	1	4	2.481834	0.25	12.50	15.06	45.18	907.27	929.07	0.00	12.50	0.25	-0.00
2	1	1	4	2.498583	1.00	13.00	44.78	29.85	1774.26	-915.23	0.00	13.00	1.00	-0.00
2	1	1	4	2.515308	2.00	13.75	59.79	44.84	897.67	896.36	0.00	13.75	2.00	-0.00
2	1	1	4	2.531832	3.50	14.50	90.78	45.39	1875.32	33.03	0.00	14.50	3.50	-0.00
2	1	1	4	2.548467	6.25	15.25	165.31	45.08	4480.13	-18.35	0.00	15.25	6.25	-0.00
2	1	1	4	2.565076	10.25	16.25	240.85	60.21	4548.19	910.83	0.00	16.25	10.25	-0.00
2	1	1	4	2.581958	14.75	17.25	266.56	59.23	1522.95	-57.86	0.00	17.25	14.75	-0.00
2	1	1	4	2.598375	21.00	17.75	380.70	30.46	6952.47	-1752.96	0.00	17.75	21.00	-0.00
2	1	1	4	2.615249	26.00	17.75	296.30	0.00	-5001.18	-1804.83	0.00	17.75	26.00	-0.00
2	1	1	4	2.631803	32.25	17.75	377.57	0.00	4909.18	0.00	0.00	17.75	32.25	-0.00
2	1	1	4	2.648426	38.50	17.75	375.99	0.00	-94.80	0.00	0.00	17.75	38.50	-0.00
2	1	1	4	2.665164	45.75	17.75	433.14	0.00	3414.17	0.00	0.00	17.75	45.75	-0.00
2	1	1	4	2.681690	53.50	16.75	468.94	-60.51	2166.29	-3661.27	0.00	16.75	53.50	-0.00
2	1	1	4	2.698441	60.50	15.75	417.91	-59.70	-3046.66	48.19	0.00	15.75	60.50	-0.00
2	1	1	4	2.715179	68.25	14.50	462.99	-74.68	2693.46	-894.64	0.00	14.50	68.25	-0.00
2	1	1	4	2.731816	75.25	13.50	420.76	-60.11	-2538.80	875.67	0.00	13.50	75.25	-0.00
2	1	1	4	2.748396	82.25	12.50	422.20	-60.31	87.03	-12.43	0.00	12.50	82.25	-0.00
2	1	1	4	2.765214	89.50	11.50	431.07	-59.46	527.64	50.88	0.00	11.50	89.50	-0.00
2	1	1	4	2.781734	96.50	10.50	423.74	-60.53	-444.07	-65.11	0.00	10.50	96.50	-0.00
3	1	0	1	3.315036	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.332128	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.348488	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.364866	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.381578	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.398131	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.414845	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.431633	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.448346	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.464968	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.481460	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.498314	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.514901	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.531419	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.548187	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.564810	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.581447	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.598292	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.614986	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.631574	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.648142	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.664834	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.681493	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.698238	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.714874	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.731547	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.748086	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3	1	1	1	3.764653	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
