Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.533528	5.35	8.35	10.04	15.66	18.81	29.34	5.35	-0.00	0.00	8.35
1	1	1	3	0.549590	5.35	8.35	0.00	0.00	-624.81	-974.70	5.35	-0.00	0.00	8.35
1	1	1	3	0.565674	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.582424	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.598946	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.615717	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.632258	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.649010	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.665753	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.682463	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.699126	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.715667	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.732657	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.749020	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.765717	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.782555	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
1	1	1	3	0.799025	5.35	8.35	0.00	0.00	0.00	0.00	5.35	-0.00	0.00	8.35
