::Queue started at 31-Jan-2013 10:19:24, with machine clock reading 516976.1907.::
::Experiment started at 31-Jan-2013 10:19:25, with machine clock reading 516976.5895.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	1033953.1662
::Onset of cue expected: [N/A SELF PACED]  recorded: 0.015061 ::
cue	0.0151
::Onset of trial expected: [N/A SELF PACED]  recorded: 0.5482 ::
trial	0.5482
::Onset of return expected: [N/A SELF PACED]  recorded: 5.5966 ::
return	5.5966
::Onset of trial expected: [N/A SELF PACED]  recorded: 8.1458 ::
trial	8.1458
::Onset of return expected: [N/A SELF PACED]  recorded: 14.8624 ::
return	14.8624
::Onset of trial expected: [N/A SELF PACED]  recorded: 18.1463 ::
trial	18.1463
::Onset of return expected: [N/A SELF PACED]  recorded: 19.9799 ::
return	19.9799
::Onset of trial expected: [N/A SELF PACED]  recorded: 21.2633 ::
trial	21.2633
::Onset of return expected: [N/A SELF PACED]  recorded: 22.3636 ::
return	22.3636
::Onset of trial expected: [N/A SELF PACED]  recorded: 24.9306 ::
trial	24.9306
::Onset of return expected: [N/A SELF PACED]  recorded: 26.4308 ::
return	26.4308
::Onset of trial expected: [N/A SELF PACED]  recorded: 28.6555 ::
trial	28.6555
::Onset of return expected: [N/A SELF PACED]  recorded: 31.3546 ::
return	31.3546
::Onset of trial expected: [N/A SELF PACED]  recorded: 32.6374 ::
trial	32.6374
::Onset of return expected: [N/A SELF PACED]  recorded: 37.3691 ::
return	37.3691
::Onset of trial expected: [N/A SELF PACED]  recorded: 44.0337 ::
trial	44.0337
::Onset of return expected: [N/A SELF PACED]  recorded: 45.7671 ::
return	45.7671
::Onset of trial expected: [N/A SELF PACED]  recorded: 46.4005 ::
trial	46.4005
::Onset of return expected: [N/A SELF PACED]  recorded: 48.0674 ::
return	48.0674
::Onset of trial expected: [N/A SELF PACED]  recorded: 49.3677 ::
trial	49.3677
::Onset of return expected: [N/A SELF PACED]  recorded: 65.4265 ::
return	65.4265
::Onset of trial expected: [N/A SELF PACED]  recorded: 113.0941 ::
trial	113.0941
::Onset of return expected: [N/A SELF PACED]  recorded: 133.8701 ::
return	133.8701
::Onset of trial expected: [N/A SELF PACED]  recorded: 143.9661 ::
trial	143.9661
::Onset of return expected: [N/A SELF PACED]  recorded: 157.5343 ::
return	157.5343
::Onset of trial expected: [N/A SELF PACED]  recorded: 175.2062 ::
trial	175.2062
::Onset of return expected: [N/A SELF PACED]  recorded: 201.491 ::
return	201.4910
::Onset of trial expected: [N/A SELF PACED]  recorded: 223.4732 ::
trial	223.4732
::Onset of return expected: [N/A SELF PACED]  recorded: 235.8463 ::
return	235.8463
::Onset of trial expected: [N/A SELF PACED]  recorded: 253.449 ::
trial	253.4490
::Onset of return expected: [N/A SELF PACED]  recorded: 265.6257 ::
return	265.6257
::Onset of trial expected: [N/A SELF PACED]  recorded: 269.4578 ::
trial	269.4578
::Onset of return expected: [N/A SELF PACED]  recorded: 272.6902 ::
return	272.6902
::Onset of rest expected: [N/A SELF PACED]  recorded: 273.3565 ::
rest	273.3565
::Onset of cue expected: [N/A SELF PACED]  recorded: 285.3873 ::
cue	285.3873
::Onset of trial expected: [N/A SELF PACED]  recorded: 285.9039 ::
trial	285.9039
::Onset of return expected: [N/A SELF PACED]  recorded: 332.8365 ::
return	332.8365
::Onset of trial expected: [N/A SELF PACED]  recorded: 338.0681 ::
trial	338.0681
::Onset of return expected: [N/A SELF PACED]  recorded: 342.7166 ::
return	342.7166
::Onset of trial expected: [N/A SELF PACED]  recorded: 351.314 ::
trial	351.3140
::Onset of return expected: [N/A SELF PACED]  recorded: 353.5644 ::
return	353.5644
::Onset of trial expected: [N/A SELF PACED]  recorded: 357.3149 ::
trial	357.3149
::Onset of return expected: [N/A SELF PACED]  recorded: 358.0318 ::
return	358.0318
::Onset of trial expected: [N/A SELF PACED]  recorded: 372.0067 ::
trial	372.0067
::Onset of return expected: [N/A SELF PACED]  recorded: 377.9047 ::
return	377.9047
::Onset of trial expected: [N/A SELF PACED]  recorded: 381.5869 ::
trial	381.5869
::Onset of return expected: [N/A SELF PACED]  recorded: 389.4866 ::
return	389.4866
::Onset of trial expected: [N/A SELF PACED]  recorded: 391.1034 ::
trial	391.1034
::Onset of return expected: [N/A SELF PACED]  recorded: 392.7203 ::
return	392.7203
::Onset of trial expected: [N/A SELF PACED]  recorded: 395.3541 ::
trial	395.3541
::Onset of return expected: [N/A SELF PACED]  recorded: 404.3292 ::
return	404.3292
::Onset of trial expected: [N/A SELF PACED]  recorded: 406.5617 ::
trial	406.5617
::Onset of return expected: [N/A SELF PACED]  recorded: 408.811 ::
return	408.8110
::Onset of trial expected: [N/A SELF PACED]  recorded: 410.827 ::
trial	410.8270
::Onset of return expected: [N/A SELF PACED]  recorded: 412.5764 ::
return	412.5764
::Onset of trial expected: [N/A SELF PACED]  recorded: 413.3096 ::
trial	413.3096
