Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
1	1	3	4.899991e+00	2.269783e-01	1.608004e+01	2.041350e+03	2.330052e+01	100	0	1
1	0	3	2.400925e+00	0	2.342335e+01	9.534966e+03	6.942507e+01	2.784063e+01	1	0
2	1	4	6.567781e+00	-1.051516e-01	2.420758e+01	1.484641e+04	7.351416e+01	5.959096e+01	1	1
2	0	4	1.134796e+00	0	8.094731e+00	3.148668e+03	2.968072e+01	3.446409e+01	1	0
3	1	1	1.684788e+00	7.697527e-02	6.266144e+00	9.319280e+02	1.344640e+01	7.906972e+01	0	1
3	0	1	1.018040e+00	0	3.255757e+01	8.598592e+03	5.117720e+01	4.656648e+01	1	0
4	1	2	9.512697e-01	-1.237172e-01	4.440832e+00	4.437942e+02	1.211802e+01	100	0	1
4	0	2	2.351549e+00	0	1.618003e+01	4.436984e+03	3.239694e+01	8.767303e+01	1	0
5	1	3	1.351614e+00	-1.037424e-01	8.251827e+00	1.388328e+03	1.294707e+01	2.353361e+01	0	1
5	0	3	1.267988e+00	0	2.055561e+01	4.843542e+03	3.635125e+01	4.613621e+01	1	0
6	1	1	2.550276e+00	-7.800506e-01	1.710997e+01	2.503313e+03	6.727604e+01	100	0	1
6	0	1	5.842918e-01	0	4.220051e+01	1.292743e+04	8.727576e+01	2.532484e+01	1	0
7	1	4	4.583255e+00	-6.604139e-02	1.572106e+01	5.924574e+03	5.314636e+01	4.264275e+01	1	1
7	0	4	6.415698e+00	0	1.330192e+01	7.975094e+03	5.365609e+01	8.500562e+01	1	0
8	1	2	1.584743e+00	1.793841e-01	1.039656e+01	1.140899e+03	1.702182e+01	100	0	1
8	0	2	3.679828e-01	0	1.449275e+01	2.794662e+03	2.370071e+01	4.941958e+01	1	0
9	1	3	1.534721e+00	-6.241881e-02	5.154094e+00	8.429769e+02	1.055870e+01	2.052076e+01	1	1
9	0	3	1.151407e+00	0	2.330466e+00	5.035844e+02	6.095684e+00	5.034668e+01	1	0
10	1	4	1.592027e+01	1.083276e-01	1.000245e+01	8.481757e+03	3.573459e+01	1.014086e+01	0	1
10	0	4	7.178035e-01	0	1.712188e+01	3.999265e+03	2.976340e+01	4.493223e+01	1	0
11	1	1	2.062120e+01	1.685969e-01	1.077582e+01	1.215851e+04	5.631667e+01	3.346717e+01	0	1
11	0	1	2.349978e+00	0	1.264121e+01	4.355914e+03	2.775434e+01	2.736334e+01	1	0
