Trial	Type	Target/Home(1,0)	Target #	Time(s)	Xpos	Ypos	Xvel	Yvel	Xaccel	Yaccel	Xerror	Yerror	Xprojection	Yprojection
1	1	0	3	0.519129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.548049	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.564152	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.580470	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.597370	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.613466	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.630044	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.648045	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.663015	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.681014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.697499	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.713796	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.729595	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.747759	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.763159	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.781109	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.796872	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.813097	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.831107	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.846456	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.864585	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.879903	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.897932	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.914287	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.930712	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.947254	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.963716	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.979965	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	0.998004	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.013334	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.029730	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.047587	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.064163	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.080948	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.096762	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.113702	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.129891	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.146938	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
1	1	1	3	1.162915	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.00	-0.00
