Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Reached Target
1	1	3	-1.706953e+05	0	0	0	0	0	1	0
2	1	4	-1.706935e+05	0	0	0	0	0	1	0
3	1	1	7.171384e-01	-3.138887e+00	2.537044e-02	2.435810e+00	2.597656e-01	100	0	1
4	1	2	9.834812e-01	3.101867e-01	1.057421e+01	9.680979e+02	2.934570e+01	100	0	1
5	1	3	-1.706883e+05	3.023683e-02	1.792207e+00	3.244420e+02	2.951172e+00	6.140559e+01	1	0
6	1	1	1.351651e+00	-8.168251e-03	3.631377e+00	3.492009e+02	5.025391e+00	5.374937e+01	1	1
7	1	4	1.000650e+00	5.712401e-02	1.042484e+00	1.012778e+02	5.555664e+00	100	1	1
8	1	2	8.010873e-01	6.277922e-02	6.194581e+00	5.903907e+02	7.814453e+00	7.923049e+01	1	1
9	1	3	-1.706813e+05	1.836970e-16	8.994106e-02	7.713060e+00	2.597656e-01	3.885213e+01	1	0
10	1	4	9.503269e-01	8.209241e-02	2.571793e+00	2.469474e+02	7.900391e+00	100	1	1
11	1	1	9.679542e-01	6.743271e-02	3.039606e+00	2.891663e+02	6.424805e+00	100	1	1
12	1	2	8.001885e-01	5.154330e-02	2.362363e+00	2.266346e+02	5.209961e+00	9.565647e+01	1	1
13	1	1	-1.706743e+05	-2.304867e-01	4.994172e+00	5.035774e+02	1.267480e+01	9.322925e+01	0	0
14	1	3	8.511897e-01	-2.517279e-02	2.404003e+00	2.560428e+02	2.681641e+00	4.717824e+01	1	1
15	1	2	1.050940e+00	1.034949e-01	5.718545e+00	5.688500e+02	1.033203e+01	100	1	1
16	1	4	7.007960e-01	5.398017e-03	7.781438e-01	7.503236e+01	1.302734e+00	3.562220e+01	1	1
